3 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
629       832       4               12               1.8        ERR069709
173       198       1               25               2.4        ERR124226
629       832       4               29               1.8        ERR068001
173       198       1               31               2.4        ERR069764
629       832       4               37               3.1        ERR065325
629       832       4               42               3.1        ERR065960
173       198       1               79               2.4        ERR065332
173       198       1               106              2.4        ERR068014
173       198       1               113              2.4        ERR129094
629       832       4               116              1.8        ERR068005
173       198       1               122              2.4        ERR069792
629       832       4               128              1.8        ERR065353
629       832       4               131              1.8        ERR065953
173       198       1               134              2.4        ERR069725
173       198       1               140              2.4        ERR068031
173       198       1               149              2.4        ERR129026
629       832       4               152              1.8        ERR069710
629       832       4               159              0.9        ERR129027
173       198       1               170              2.4        ERR069698
173       198       1               174              2.4        ERR065354
173       198       1               184              2.4        ERR124274
173       198       1               185              2.4        ERR067993
173       198       1               207              2.4        ERR124283
173       198       1               208              2.4        ERR065293
323       337       3               210              4.2        ERR069737
629       832       4               220              1.8        ERR068004
629       832       4               228              3.1        ERR129050
173       198       1               232              2.4        ERR129206
173       198       1               234              2.4        ERR124221
173       198       1               236              2.4        ERR068026
173       198       1               244              2.4        ERR065297
173       198       1               246              2.4        ERR129061
173       198       1               250              2.4        ERR069769
629       832       4               255              1.8        ERR124223
629       832       4               256              1.8        ERR069734
629       832       4               260              1.8        ERR129092
173       198       1               283              2.4        ERR065320
173       198       1               317              2.4        ERR069724
173       198       1               319              2.4        ERR069803
173       198       1               328              2.4        ERR068042
173       198       1               329              2.4        ERR069692
173       198       1               330              2.4        ERR124249
629       832       4               331              1.8        ERR069759
173       198       1               332              2.4        ERR069723
173       198       1               338              2.4        ERR129198
629       832       4               343              1.8        ERR069827
173       198       1               348              2.4        ERR067978
629       832       4               349              1.8        ERR069741
173       198       1               353              2.4        ERR068032
173       198       1               359              2.4        ERR069722
629       832       4               365              3.1        ERR065299
173       198       1               371              2.4        ERR124239
173       198       1               380              2.4        ERR068028
173       198       1               407              2.4        ERR069697
173       198       1               417              2.4        ERR124272
173       198       1               421              2.4        ERR129151
629       832       4               429              3.1        ERR069743
173       198       1               444              2.4        ERR065349
173       198       1               451              2.4        ERR124300
173       198       1               455              2.4        ERR069841
173       198       1               468              2.4        ERR069810
629       832       4               476              1.8        ERR069788
629       832       4               478              1.8        ERR069784
173       198       1               498              2.4        ERR129054
629       832       4               513              1.8        ERR068043
173       198       1               525              2.4        ERR068009
173       198       1               528              2.4        ERR129060
173       198       1               548              2.4        ERR069815
173       198       1               563              2.4        ERR068049
629       832       4               570              0.9        ERR129115
173       198       1               571              2.4        ERR068022
629       832       4               604              1.8        ERR067979
173       198       1               605              2.4        ERR129095
