2 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
22        101       3               16               2.1        ERR129105
22        101       3               18               1.9        ERR129196
22        101       3               25               2.1        ERR129195
26        101       3               45               0.9        ERR129187
26        101       3               47               0.7        ERR069824
26        101       3               62               0.5        ERR129102
26        101       3               63               0.7        ERR069729
22        101       3               78               2.1        ERR065342
22        101       3               95               1.7        ERR124311
26        101       3               114              0.7        ERR068016
26        101       3               118              0.7        ERR069698
26        101       3               129              0.7        ERR069708
26        101       3               148              0.7        ERR065304
22        101       3               149              1.9        ERR129144
26        101       3               167              0.7        ERR124221
22        101       3               171              1.9        ERR129077
26        101       3               176              0.7        ERR124305
26        101       3               198              0.7        ERR065959
22        101       3               206              2.1        ERR067998
22        101       3               217              1.7        ERR129057
26        101       3               220              0.7        ERR069772
26        101       3               226              0.7        ERR124253
22        101       3               231              2.1        ERR124320
26        101       3               235              0.7        ERR068042
26        101       3               247              0.7        ERR069806
26        101       3               249              0.7        ERR067978
26        101       3               253              0.7        ERR068032
22        101       3               263              2.1        ERR069818
26        101       3               271              0.7        ERR068023
22        101       3               286              2.1        ERR069714
26        101       3               288              0.5        ERR129071
26        101       3               297              0.7        ERR124272
26        101       3               300              0.5        ERR129151
22        101       3               316              1.9        ERR068010
26        101       3               323              0.7        ERR069730
26        101       3               325              0.7        ERR124300
26        101       3               335              1.6        ERR069765
22        101       3               345              1.9        ERR129182
22        101       3               366              1.7        ERR129135
22        101       3               381              2.1        ERR069799
26        101       3               398              0.7        ERR069840
26        101       3               405              0.7        ERR069816
26        101       3               409              0.7        ERR068049
26        101       3               424              1.6        ERR069740
1002      1038      3               424              13.3       ERR069740
26        101       3               432              0.7        ERR065956
26        101       3               437              0.9        ERR129047
