2 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
340       356       3               27               0.2        ERR069823
340       356       3               75               0.2        ERR067964
340       356       3               87               0.2        ERR069835
340       356       3               139              0.2        ERR069746
340       356       3               171              0.2        ERR069812
340       356       3               198              0.2        ERR065292
340       356       3               254              0.2        ERR065967
340       356       3               268              0.2        ERR065344
340       356       3               335              0.2        ERR065962
189       270       3               383              5.7        ERR069777
340       356       3               400              0.2        ERR069755
340       356       3               462              0.2        ERR069765
340       356       3               489              0.2        ERR124231
340       356       3               500              0.2        ERR069732
340       356       3               527              0.2        ERR065330
340       356       3               532              0.2        ERR069719
340       356       3               543              0.2        ERR069770
340       356       3               551              0.2        ERR069721
340       356       3               581              0.2        ERR069740
