StrainIndex  Lineage  Cluster  Name
1            3        9        ERR069738
2            3        9        ERR065974
3            3        9        ERR129065
4            3        8        ERR129037
5            3        8        ERR069700
6            3        4        ERR124247
7            1        1        ERR124222
8            2        3        ERR065305
9            3        8        ERR069786
10           2        6        ERR129179
11           3        7        ERR129176
12           3        5        ERR069709
13           3        8        ERR067985
14           3        9        ERR129212
15           3        9        ERR068037
16           3        10       ERR069814
17           2        6        ERR124241
18           3        10       ERR069795
19           2        6        ERR124293
20           3        5        ERR069735
21           2        3        ERR069773
22           3        8        ERR067966
23           3        10       ERR129029
24           3        10       ERR129105
25           3        5        ERR124226
26           3        8        ERR129196
27           3        10       ERR069823
28           2        6        ERR124319
29           3        5        ERR068001
30           3        7        ERR129117
31           3        9        ERR069764
32           3        10       ERR068007
33           3        10       ERR068008
34           3        8        ERR067969
35           2        6        ERR069703
36           3        10       ERR129195
37           2        3        ERR065325
38           2        3        ERR124256
39           2        6        ERR129087
40           3        5        ERR069819
41           3        10       ERR129129
42           2        3        ERR065960
43           3        10       ERR069796
44           3        8        ERR065326
45           3        9        ERR069712
46           3        10       ERR124244
47           1        1        ERR129075
48           3        8        ERR069713
49           3        9        ERR069826
50           3        9        ERR065341
51           3        10       ERR069771
52           3        7        ERR069706
53           3        10       ERR065970
54           3        9        ERR129130
55           3        9        ERR129096
56           3        8        ERR129107
57           2        3        ERR069809
58           2        3        ERR065302
59           3        9        ERR129187
60           3        8        ERR124314
61           3        9        ERR069686
62           3        9        ERR069824
63           2        3        ERR068048
64           3        10       ERR065972
65           3        2        ERR129164
66           3        9        ERR069688
67           3        10       ERR069685
68           3        9        ERR124307
69           2        6        ERR067962
70           3        10       ERR124257
71           3        8        ERR129127
72           3        10       ERR065301
73           3        9        ERR124287
74           3        5        ERR068025
75           3        10       ERR067964
76           3        5        ERR069811
77           3        8        ERR069727
78           3        10       ERR129063
79           3        7        ERR065332
80           3        9        ERR129028
81           3        10       ERR065287
82           3        7        ERR129213
83           3        8        ERR129155
84           3        7        ERR129042
85           2        6        ERR129148
86           2        3        ERR129040
87           3        10       ERR069835
88           3        9        ERR129146
89           3        2        ERR129102
90           3        9        ERR069729
91           3        5        ERR129152
92           3        9        ERR069748
93           3        7        ERR069843
94           3        10       ERR124229
95           3        2        ERR129088
96           3        8        ERR069752
97           2        3        ERR065350
98           3        10       ERR129149
99           3        8        ERR129214
100          3        10       ERR069833
101          3        5        ERR124310
102          3        8        ERR068046
103          3        8        ERR129215
104          3        10       ERR129140
105          3        10       ERR069831
106          3        9        ERR068014
107          3        10       ERR124315
108          3        7        ERR124255
109          3        10       ERR065342
110          3        7        ERR124235
111          3        8        ERR129159
112          3        9        ERR129204
113          3        9        ERR129094
114          3        9        ERR069689
115          3        10       ERR069751
116          3        4        ERR068005
117          2        6        ERR069749
118          3        2        ERR067981
119          3        9        ERR067996
120          3        10       ERR129052
121          3        10       ERR069785
122          3        9        ERR069792
123          3        4        ERR124271
124          3        10       ERR069687
125          2        6        ERR124277
126          3        2        ERR124228
127          3        9        ERR129044
128          3        5        ERR065353
129          2        6        ERR129074
130          3        10       ERR069817
131          3        5        ERR065953
132          3        9        ERR129076
133          3        8        ERR129154
134          3        7        ERR069725
135          3        8        ERR068040
136          3        9        ERR129051
137          3        7        ERR129157
138          3        9        ERR124311
139          3        10       ERR069746
140          3        9        ERR068031
141          3        8        ERR067986
142          3        8        ERR124291
143          3        9        ERR129055
144          3        9        ERR069780
145          3        5        ERR065327
146          3        8        ERR069822
147          3        10       ERR129207
148          2        6        ERR124288
149          3        7        ERR129026
150          3        9        ERR124218
151          3        8        ERR068027
152          3        5        ERR069710
153          3        8        ERR065310
154          3        10       ERR129160
155          2        6        ERR065300
156          3        10       ERR069789
157          3        9        ERR065343
158          3        8        ERR069802
159          3        4        ERR129027
160          3        10       ERR129170
161          3        5        ERR129048
162          3        9        ERR065968
163          3        9        ERR065965
164          3        10       ERR068044
165          3        9        ERR129180
166          3        9        ERR068016
167          2        6        ERR065324
168          3        10       ERR129112
169          3        2        ERR129158
170          3        7        ERR069698
171          3        10       ERR069812
172          3        8        ERR124302
173          3        9        ERR129083
174          3        9        ERR065354
175          3        8        ERR069787
176          3        10       ERR068017
177          3        4        ERR129066
178          3        5        ERR129039
179          2        6        ERR065329
180          3        10       ERR124269
181          2        6        ERR129200
182          3        9        ERR067995
183          3        2        ERR068012
184          3        7        ERR124274
185          3        4        ERR067993
186          3        7        ERR069708
187          3        8        ERR129106
188          3        10       ERR069717
189          3        10       ERR067974
190          3        8        ERR069744
191          3        8        ERR129210
192          3        10       ERR129108
193          3        9        ERR129132
194          3        10       ERR069711
195          2        6        ERR068019
196          2        6        ERR129099
197          3        10       ERR129059
198          3        10       ERR065292
199          3        2        ERR067961
200          3        5        ERR069820
201          3        9        ERR129216
202          3        8        ERR129116
203          2        6        ERR124250
204          3        9        ERR069690
205          3        7        ERR065973
206          3        5        ERR065309
207          3        7        ERR124283
208          3        8        ERR065293
209          3        10       ERR069825
210          2        3        ERR069737
211          2        6        ERR124316
212          3        9        ERR065304
213          3        8        ERR129144
214          3        5        ERR124232
215          3        8        ERR068018
216          3        8        ERR124296
217          3        10       ERR067960
218          3        10       ERR068050
219          2        3        ERR068039
220          3        5        ERR068004
221          3        10       ERR129032
222          3        9        ERR124248
223          3        8        ERR068041
224          2        6        ERR129086
225          2        3        ERR065317
226          2        6        ERR069834
227          1        1        ERR069720
228          2        3        ERR129050
229          3        5        ERR129064
230          3        9        ERR069830
231          3        10       ERR069774
232          3        9        ERR129206
233          3        8        ERR069801
234          3        7        ERR124221
235          3        8        ERR129080
236          3        7        ERR068026
237          3        8        ERR129147
238          3        10       ERR069829
239          3        8        ERR129077
240          3        5        ERR067994
241          2        6        ERR069726
242          3        9        ERR065338
243          3        4        ERR129041
244          3        7        ERR065297
245          3        10       ERR129120
246          3        7        ERR129061
247          3        10       ERR124219
248          3        8        ERR065345
249          3        5        ERR124305
250          3        5        ERR069769
251          3        5        ERR065295
252          3        9        ERR069768
253          3        10       ERR129197
254          3        10       ERR065967
255          3        4        ERR124223
256          3        5        ERR069734
257          3        7        ERR129167
258          2        6        ERR129143
259          2        6        ERR124299
260          3        5        ERR129092
261          3        9        ERR129090
262          2        6        ERR068002
263          3        7        ERR068003
264          3        8        ERR124268
265          3        8        ERR129181
266          3        10       ERR069696
267          3        10       ERR129072
268          3        10       ERR065344
269          3        5        ERR129111
270          3        9        ERR068006
271          3        7        ERR068035
272          3        10       ERR069798
273          3        9        ERR124278
274          3        8        ERR069760
275          3        10       ERR067984
276          3        5        ERR069782
277          2        6        ERR124236
278          3        10       ERR068045
279          3        9        ERR065959
280          3        9        ERR129045
281          3        10       ERR069781
282          3        9        ERR069832
283          3        7        ERR065320
284          3        2        ERR124292
285          3        10       ERR129186
286          3        7        ERR124308
287          3        7        ERR129043
288          3        10       ERR069805
289          3        10       ERR124220
290          3        9        ERR069800
291          3        10       ERR068021
292          3        10       ERR067998
293          3        2        ERR124312
294          3        10       ERR065971
295          2        3        ERR129183
296          3        10       ERR068034
297          3        8        ERR065311
298          3        9        ERR068020
299          3        9        ERR069767
300          3        8        ERR067967
301          3        10       ERR069691
302          3        8        ERR129161
303          3        9        ERR069716
304          3        4        ERR124289
305          3        10       ERR129153
306          3        9        ERR129057
307          3        9        ERR067977
308          3        8        ERR129131
309          3        9        ERR069772
310          2        3        ERR124281
311          3        9        ERR069750
312          3        9        ERR069715
313          3        7        ERR124227
314          3        2        ERR069683
315          3        5        ERR069813
316          3        5        ERR124253
317          3        7        ERR069724
318          3        9        ERR065966
319          3        4        ERR069803
320          3        10       ERR124267
321          3        5        ERR124254
322          3        10       ERR129168
323          3        10       ERR124320
324          3        5        ERR065298
325          3        8        ERR069804
326          3        7        ERR065303
327          3        5        ERR065957
328          3        8        ERR068042
329          3        9        ERR069692
330          3        7        ERR124249
331          3        4        ERR069759
332          3        9        ERR069723
333          3        9        ERR067976
334          3        9        ERR065307
335          3        10       ERR065962
336          3        10       ERR069745
337          3        10       ERR129081
338          3        7        ERR129198
339          2        6        ERR069742
340          3        2        ERR069718
341          3        2        ERR124224
342          3        9        ERR069790
343          3        5        ERR069827
344          3        10       ERR129142
345          3        4        ERR124309
346          3        9        ERR069806
347          3        8        ERR129068
348          3        7        ERR067978
349          3        4        ERR069741
350          3        9        ERR129136
351          3        7        ERR129062
352          3        5        ERR129203
353          3        7        ERR068032
354          3        5        ERR065316
355          3        5        ERR124217
356          3        4        ERR067991
357          3        10       ERR124284
358          3        8        ERR129079
359          3        4        ERR069722
360          3        9        ERR124260
361          3        9        ERR069701
362          3        10       ERR129162
363          2        3        ERR129124
364          3        8        ERR124246
365          2        3        ERR065299
366          3        4        ERR129184
367          3        7        ERR124233
368          3        5        ERR124266
369          3        10       ERR069818
370          2        6        ERR068029
371          3        7        ERR124239
372          2        6        ERR124279
373          3        10       ERR129175
374          2        6        ERR065294
375          3        8        ERR129139
376          3        9        ERR069778
377          3        8        ERR068015
378          3        8        ERR129128
379          2        6        ERR129163
380          3        7        ERR068028
381          3        10       ERR065355
382          3        7        ERR068023
383          3        8        ERR069777
384          3        7        ERR069791
385          3        10       ERR124263
386          3        10       ERR069704
387          2        6        ERR129134
388          3        10       ERR129025
389          2        6        ERR065351
390          3        9        ERR069807
391          3        10       ERR129209
392          3        10       ERR069761
393          3        10       ERR129034
394          3        10       ERR129172
395          3        8        ERR124240
396          3        2        ERR065315
397          3        8        ERR065346
398          2        3        ERR069731
399          3        10       ERR069828
400          3        10       ERR069755
401          3        9        ERR129156
402          2        6        ERR067988
403          3        10       ERR069714
404          3        7        ERR068036
405          3        2        ERR129071
406          2        6        ERR129035
407          3        9        ERR069697
408          3        9        ERR065306
409          3        5        ERR069838
410          3        9        ERR065313
411          3        4        ERR129038
412          2        6        ERR124294
413          3        2        ERR124243
414          3        8        ERR067975
415          3        10       ERR129046
416          3        10       ERR129053
417          3        7        ERR124272
418          3        9        ERR065289
419          3        2        ERR124285
420          3        2        ERR129126
421          3        9        ERR129151
422          3        10       ERR124225
423          2        3        ERR065321
424          2        3        ERR068011
425          3        5        ERR124264
426          3        8        ERR069707
427          3        4        ERR124252
428          3        9        ERR129082
429          3        9        ERR069743
430          3        8        ERR067980
431          3        9        ERR069836
432          3        8        ERR068047
433          3        10       ERR065288
434          3        9        ERR124258
435          3        7        ERR065314
436          2        6        ERR124301
437          3        10       ERR129091
438          3        4        ERR067982
439          3        2        ERR124276
440          3        10       ERR129118
441          3        4        ERR065318
442          3        8        ERR068010
443          3        2        ERR129067
444          3        4        ERR065349
445          2        6        ERR068030
446          2        6        ERR069728
447          3        5        ERR067997
448          3        10       ERR065291
449          3        9        ERR069730
450          3        8        ERR069763
451          3        7        ERR124300
452          3        9        ERR129202
453          2        6        ERR124290
454          3        8        ERR129178
455          3        4        ERR069841
456          3        8        ERR065955
457          3        9        ERR124265
458          3        10       ERR129121
459          3        8        ERR067968
460          3        2        ERR069739
461          3        5        ERR069766
462          3        10       ERR069765
463          3        10       ERR129123
464          3        9        ERR067965
465          3        10       ERR065969
466          3        7        ERR069842
467          3        10       ERR129185
468          3        9        ERR069810
469          3        10       ERR129174
470          3        9        ERR124318
471          3        8        ERR129177
472          2        6        ERR065352
473          3        9        ERR129113
474          3        8        ERR069839
475          3        8        ERR129182
476          3        5        ERR069788
477          3        9        ERR067983
478          3        5        ERR069784
479          2        3        ERR065347
480          3        9        ERR065290
481          3        8        ERR065322
482          3        10       ERR069693
483          3        5        ERR129169
484          3        9        ERR068013
485          3        8        ERR124242
486          3        9        ERR129138
487          3        10       ERR065337
488          3        8        ERR129137
489          3        10       ERR124231
490          3        7        ERR129036
491          3        9        ERR124304
492          3        9        ERR065296
493          3        8        ERR065308
494          3        10       ERR065958
495          3        9        ERR124282
496          3        9        ERR067989
497          3        7        ERR129078
498          3        8        ERR129054
499          3        8        ERR069747
500          3        10       ERR069732
501          3        8        ERR129208
502          3        10       ERR124251
503          3        2        ERR129110
504          3        10       ERR065975
505          3        9        ERR129135
506          3        7        ERR069699
507          3        8        ERR069702
508          3        7        ERR069793
509          2        6        ERR129119
510          3        10       ERR124234
511          2        6        ERR124273
512          3        10       ERR068038
513          3        5        ERR068043
514          3        8        ERR065964
515          3        10       ERR129125
516          3        10       ERR069705
517          3        10       ERR065328
518          3        7        ERR129031
519          3        7        ERR129049
520          3        9        ERR129205
521          3        10       ERR069799
522          3        7        ERR067990
523          3        8        ERR069694
524          3        9        ERR129058
525          3        9        ERR068009
526          3        8        ERR124303
527          3        10       ERR065330
528          3        7        ERR129060
529          2        6        ERR129173
530          3        4        ERR124313
531          3        10       ERR069758
532          3        10       ERR069719
533          3        5        ERR124317
534          2        3        ERR129188
535          2        3        ERR124280
536          3        8        ERR069837
537          2        3        ERR129056
538          3        8        ERR124245
539          3        10       ERR069779
540          3        10       ERR129033
541          2        3        ERR069775
542          3        8        ERR068000
543          3        10       ERR069770
544          3        10       ERR069684
545          3        9        ERR124306
546          3        5        ERR129084
547          3        2        ERR129073
548          3        9        ERR069815
549          1        1        ERR069840
550          3        9        ERR129192
551          3        10       ERR069721
552          3        9        ERR069736
553          3        9        ERR129098
554          2        6        ERR069733
555          3        10       ERR129190
556          3        10       ERR069797
557          3        5        ERR069757
558          3        8        ERR065339
559          3        9        ERR069816
560          3        8        ERR124238
561          3        10       ERR069753
562          3        2        ERR129199
563          3        7        ERR068049
564          3        10       ERR069776
565          2        6        ERR129104
566          3        9        ERR069783
567          3        9        ERR129103
568          3        2        ERR069695
569          2        6        ERR067963
570          3        4        ERR129115
571          3        4        ERR068022
572          3        4        ERR124230
573          3        7        ERR069762
574          2        6        ERR067970
575          3        10       ERR069794
576          3        10       ERR124295
577          3        8        ERR067973
578          3        10       ERR069821
579          2        6        ERR067992
580          3        10       ERR065340
581          3        10       ERR069740
582          3        8        ERR065963
583          3        5        ERR129145
584          2        6        ERR124275
585          3        9        ERR065331
586          3        10       ERR067972
587          2        6        ERR124297
588          3        10       ERR068024
589          3        7        ERR067999
590          3        10       ERR065323
591          3        9        ERR124237
592          3        9        ERR067987
593          3        8        ERR129141
594          3        10       ERR065319
595          3        9        ERR065956
596          3        7        ERR129193
597          3        8        ERR129093
598          3        9        ERR069808
599          2        6        ERR129089
600          3        9        ERR129047
601          3        9        ERR129133
602          3        9        ERR065312
603          3        8        ERR065348
604          3        4        ERR067979
605          3        9        ERR129095
606          2        6        ERR124286
607          3        8        ERR129211
608          2        3        ERR129201
609          2        6        ERR068033
610          3        10       ERR124270
611          3        8        ERR124298
612          3        9        ERR129194
613          3        10       ERR129171
614          3        8        ERR129122
615          3        8        ERR129100
616          3        9        ERR129030
