StrainIndex  Lineage  Cluster  Name
1            3        9        ERR069738
2            3        7        ERR065974
3            2        6        ERR129065
4            2        3        ERR129037
5            3        8        ERR069700
6            2        6        ERR124247
7            1        1        ERR124222
8            3        8        ERR065305
9            3        7        ERR069786
10           3        7        ERR129179
11           3        4        ERR129176
12           3        9        ERR069709
13           2        3        ERR067985
14           2        2        ERR129212
15           3        8        ERR068037
16           3        5        ERR069814
17           3        7        ERR124241
18           3        8        ERR069795
19           3        7        ERR124293
20           3        9        ERR069735
21           3        9        ERR069773
22           3        8        ERR067966
23           2        6        ERR129029
24           3        5        ERR129105
25           3        5        ERR124226
26           3        5        ERR129196
27           3        9        ERR069823
28           3        4        ERR124319
29           3        9        ERR068001
30           3        4        ERR129117
31           3        9        ERR069764
32           3        5        ERR068007
33           3        8        ERR068008
34           3        8        ERR067969
35           3        7        ERR069703
36           3        5        ERR129195
37           3        9        ERR065325
38           3        7        ERR124256
39           3        7        ERR129087
40           3        7        ERR069819
41           3        8        ERR129129
42           3        9        ERR065960
43           3        8        ERR069796
44           3        5        ERR065326
45           3        9        ERR069712
46           3        4        ERR124244
47           1        1        ERR129075
48           2        3        ERR069713
49           2        6        ERR069826
50           3        7        ERR065341
51           3        8        ERR069771
52           3        4        ERR069706
53           3        8        ERR065970
54           3        7        ERR129130
55           3        9        ERR129096
56           2        6        ERR129107
57           3        7        ERR069809
58           3        9        ERR065302
59           3        9        ERR129187
60           3        8        ERR124314
61           3        8        ERR069686
62           3        4        ERR069824
63           2        6        ERR068048
64           3        8        ERR065972
65           3        9        ERR129164
66           3        8        ERR069688
67           3        7        ERR069685
68           3        9        ERR124307
69           3        7        ERR067962
70           3        5        ERR124257
71           2        3        ERR129127
72           3        5        ERR065301
73           2        6        ERR124287
74           3        9        ERR068025
75           3        9        ERR067964
76           3        9        ERR069811
77           2        3        ERR069727
78           3        8        ERR129063
79           3        5        ERR065332
80           3        7        ERR129028
81           3        8        ERR065287
82           3        4        ERR129213
83           2        6        ERR129155
84           3        4        ERR129042
85           3        7        ERR129148
86           3        9        ERR129040
87           3        9        ERR069835
88           2        6        ERR129146
89           3        4        ERR129102
90           3        4        ERR069729
91           3        9        ERR129152
92           2        2        ERR069748
93           3        4        ERR069843
94           3        8        ERR124229
95           3        9        ERR129088
96           3        5        ERR069752
97           2        6        ERR065350
98           3        8        ERR129149
99           3        5        ERR129214
100          3        8        ERR069833
101          3        5        ERR124310
102          3        5        ERR068046
103          2        3        ERR129215
104          3        8        ERR129140
105          3        8        ERR069831
106          3        9        ERR068014
107          3        8        ERR124315
108          3        4        ERR124255
109          3        5        ERR065342
110          3        4        ERR124235
111          2        3        ERR129159
112          3        9        ERR129204
113          3        9        ERR129094
114          2        2        ERR069689
115          3        8        ERR069751
116          3        9        ERR068005
117          3        7        ERR069749
118          3        9        ERR067981
119          3        8        ERR067996
120          2        6        ERR129052
121          3        4        ERR069785
122          3        9        ERR069792
123          3        4        ERR124271
124          3        8        ERR069687
125          3        7        ERR124277
126          2        6        ERR124228
127          3        4        ERR129044
128          3        9        ERR065353
129          3        7        ERR129074
130          3        8        ERR069817
131          3        9        ERR065953
132          2        6        ERR129076
133          2        3        ERR129154
134          3        5        ERR069725
135          3        5        ERR068040
136          3        9        ERR129051
137          3        4        ERR129157
138          3        9        ERR124311
139          3        9        ERR069746
140          3        9        ERR068031
141          3        5        ERR067986
142          2        3        ERR124291
143          2        6        ERR129055
144          2        6        ERR069780
145          3        9        ERR065327
146          2        3        ERR069822
147          3        8        ERR129207
148          3        4        ERR124288
149          3        5        ERR129026
150          3        4        ERR124218
151          2        6        ERR068027
152          3        9        ERR069710
153          2        3        ERR065310
154          3        8        ERR129160
155          3        7        ERR065300
156          3        5        ERR069789
157          3        8        ERR065343
158          2        6        ERR069802
159          3        9        ERR129027
160          3        8        ERR129170
161          3        5        ERR129048
162          3        9        ERR065968
163          3        7        ERR065965
164          3        8        ERR068044
165          2        2        ERR129180
166          2        6        ERR068016
167          3        7        ERR065324
168          3        8        ERR129112
169          3        9        ERR129158
170          3        5        ERR069698
171          3        9        ERR069812
172          2        3        ERR124302
173          3        7        ERR129083
174          3        9        ERR065354
175          3        8        ERR069787
176          3        8        ERR068017
177          2        6        ERR129066
178          3        9        ERR129039
179          3        7        ERR065329
180          3        8        ERR124269
181          3        7        ERR129200
182          3        8        ERR067995
183          3        9        ERR068012
184          3        5        ERR124274
185          3        7        ERR067993
186          3        4        ERR069708
187          2        6        ERR129106
188          3        8        ERR069717
189          3        8        ERR067974
190          3        8        ERR069744
191          2        3        ERR129210
192          3        8        ERR129108
193          3        9        ERR129132
194          3        8        ERR069711
195          3        7        ERR068019
196          3        7        ERR129099
197          3        8        ERR129059
198          3        9        ERR065292
199          2        6        ERR067961
200          3        9        ERR069820
201          3        7        ERR129216
202          2        6        ERR129116
203          3        7        ERR124250
204          3        9        ERR069690
205          3        4        ERR065973
206          3        5        ERR065309
207          3        5        ERR124283
208          3        5        ERR065293
209          2        6        ERR069825
210          3        9        ERR069737
211          3        7        ERR124316
212          2        6        ERR065304
213          3        5        ERR129144
214          3        9        ERR124232
215          3        9        ERR068018
216          2        3        ERR124296
217          3        8        ERR067960
218          3        8        ERR068050
219          3        9        ERR068039
220          3        9        ERR068004
221          3        8        ERR129032
222          3        9        ERR124248
223          2        3        ERR068041
224          3        7        ERR129086
225          3        8        ERR065317
226          3        7        ERR069834
227          1        1        ERR069720
228          3        9        ERR129050
229          3        5        ERR129064
230          2        6        ERR069830
231          3        8        ERR069774
232          3        9        ERR129206
233          2        3        ERR069801
234          3        5        ERR124221
235          2        3        ERR129080
236          3        5        ERR068026
237          2        6        ERR129147
238          3        8        ERR069829
239          3        5        ERR129077
240          3        9        ERR067994
241          3        7        ERR069726
242          3        8        ERR065338
243          3        4        ERR129041
244          3        5        ERR065297
245          3        8        ERR129120
246          3        5        ERR129061
247          2        6        ERR124219
248          2        6        ERR065345
249          3        5        ERR124305
250          3        5        ERR069769
251          3        7        ERR065295
252          3        9        ERR069768
253          3        8        ERR129197
254          3        9        ERR065967
255          3        9        ERR124223
256          3        9        ERR069734
257          3        4        ERR129167
258          3        7        ERR129143
259          3        7        ERR124299
260          3        9        ERR129092
261          3        9        ERR129090
262          3        7        ERR068002
263          3        4        ERR068003
264          2        3        ERR124268
265          3        9        ERR129181
266          3        8        ERR069696
267          3        8        ERR129072
268          3        9        ERR065344
269          3        5        ERR129111
270          2        2        ERR068006
271          3        4        ERR068035
272          3        7        ERR069798
273          3        7        ERR124278
274          3        5        ERR069760
275          3        8        ERR067984
276          3        7        ERR069782
277          3        7        ERR124236
278          3        8        ERR068045
279          2        6        ERR065959
280          3        9        ERR129045
281          3        8        ERR069781
282          2        2        ERR069832
283          3        5        ERR065320
284          2        6        ERR124292
285          3        8        ERR129186
286          3        4        ERR124308
287          3        4        ERR129043
288          3        8        ERR069805
289          3        8        ERR124220
290          2        6        ERR069800
291          3        5        ERR068021
292          3        5        ERR067998
293          2        6        ERR124312
294          3        7        ERR065971
295          3        8        ERR129183
296          3        8        ERR068034
297          2        6        ERR065311
298          3        9        ERR068020
299          3        9        ERR069767
300          3        9        ERR067967
301          3        8        ERR069691
302          2        6        ERR129161
303          2        2        ERR069716
304          3        4        ERR124289
305          3        8        ERR129153
306          3        9        ERR129057
307          3        9        ERR067977
308          2        3        ERR129131
309          3        4        ERR069772
310          3        8        ERR124281
311          2        2        ERR069750
312          3        9        ERR069715
313          3        4        ERR124227
314          3        9        ERR069683
315          3        7        ERR069813
316          3        5        ERR124253
317          3        5        ERR069724
318          2        6        ERR065966
