4 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
1         102       2               6                0.6        ERR068037
1         102       2               8                1.3        ERR069773
1         102       2               18               0.9        ERR069712
1         102       2               21               0.9        ERR129096
1         102       2               23               1.3        ERR065302
1         102       2               25               0.9        ERR069686
1         102       2               27               0.9        ERR069688
1         102       2               28               0.9        ERR124307
1         102       2               29               0.9        ERR124257
1         102       2               36               1.3        ERR129040
1         102       2               43               0.9        ERR065350
1         102       2               47               0.9        ERR067996
1         102       2               50               0.9        ERR124271
1         102       2               56               0.9        ERR129051
1         102       2               66               0.6        ERR065343
1         102       2               69               0.9        ERR065968
1         102       2               82               0.9        ERR129132
1         102       2               88               0.9        ERR069690
1         102       2               93               0.9        ERR068018
1         102       2               94               1.3        ERR068039
1         102       2               101              0.9        ERR129041
1         102       2               106              0.9        ERR069768
1         102       2               111              0.9        ERR129090
1         102       2               119              1.3        ERR129045
1         102       2               126              0.9        ERR068020
1         102       2               130              0.9        ERR124289
1         102       2               132              0.9        ERR067977
1         122       3               133              0.5        ERR069750
1         102       2               134              0.9        ERR069715
1         102       2               152              0.9        ERR124309
1         122       3               158              0.5        ERR069701
1         102       2               159              1.3        ERR129124
1         102       2               161              0.9        ERR129184
1         102       2               171              0.9        ERR069731
1         180       2               180              1.6        ERR067975
1         102       2               182              0.9        ERR129126
1         102       2               184              1.3        ERR065321
1         102       2               191              0.9        ERR065318
1         11        7               197              9.8        ERR069841
1         102       2               199              0.9        ERR124265
1         102       2               203              0.9        ERR067965
1         102       2               205              0.9        ERR129185
1         102       2               207              0.9        ERR124318
1         102       2               209              0.9        ERR129113
1         122       3               211              0.5        ERR067983
1         102       2               213              0.9        ERR065347
1         102       2               217              0.9        ERR068013
1         102       2               220              0.9        ERR124304
1         102       2               221              0.9        ERR124282
1         122       3               222              0.5        ERR067989
1         102       2               235              0.9        ERR129058
1         102       2               241              1.3        ERR129188
1         102       2               243              1.3        ERR069775
1         102       2               267              0.9        ERR067972
1         102       2               269              0.9        ERR124237
