StrainIndex  Lineage  Cluster  Name
1            2        5        ERR065305
2            2        5        ERR069795
3            1        2        ERR069735
4            1        3        ERR068001
5            2        5        ERR068008
6            2        5        ERR129129
7            2        5        ERR069771
8            2        5        ERR065970
9            1        3        ERR129187
10           2        5        ERR065972
11           2        5        ERR129164
12           2        5        ERR129063
13           2        5        ERR124229
14           2        5        ERR069833
15           2        5        ERR129140
16           2        5        ERR069831
17           2        5        ERR069751
18           2        5        ERR069817
19           2        5        ERR129051
20           2        5        ERR129207
21           1        3        ERR124218
22           2        5        ERR129160
23           2        5        ERR129170
24           2        5        ERR065968
25           2        4        ERR068016
26           2        5        ERR129112
27           2        4        ERR129158
28           2        5        ERR068017
29           2        4        ERR068012
30           2        5        ERR069717
31           2        5        ERR129108
32           2        5        ERR129132
33           2        5        ERR069711
34           2        5        ERR069690
35           1        2        ERR069737
36           2        4        ERR065304
37           2        5        ERR068018
38           2        5        ERR067960
39           2        5        ERR068050
40           2        5        ERR065317
41           2        5        ERR069774
42           2        5        ERR069829
43           2        5        ERR129120
44           2        5        ERR129197
45           2        5        ERR065967
46           2        5        ERR129072
47           2        5        ERR067984
48           1        3        ERR129045
49           2        5        ERR069781
50           2        5        ERR129186
51           2        5        ERR069805
52           2        5        ERR068034
53           2        5        ERR069691
54           2        5        ERR129153
55           2        5        ERR124281
56           2        5        ERR124267
57           2        5        ERR069745
58           2        5        ERR129081
59           2        4        ERR069742
60           2        5        ERR129142
61           2        5        ERR124284
62           1        2        ERR069722
63           2        5        ERR129175
64           2        4        ERR065294
65           2        5        ERR124263
66           2        5        ERR069704
67           2        5        ERR129025
68           2        5        ERR069807
69           2        5        ERR129209
70           2        5        ERR069761
71           2        5        ERR129034
72           2        5        ERR069755
73           2        5        ERR129046
74           2        5        ERR129126
75           2        5        ERR124225
76           2        5        ERR068011
77           2        5        ERR065288
78           2        5        ERR065314
79           2        5        ERR129091
80           2        5        ERR129118
81           2        5        ERR065318
82           1        2        ERR065349
83           2        5        ERR124265
84           2        5        ERR129121
85           2        5        ERR129123
86           2        5        ERR129174
87           2        4        ERR065352
88           2        5        ERR129113
89           1        3        ERR069788
90           2        5        ERR065337
91           2        4        ERR129078
92           2        5        ERR065975
93           2        5        ERR124234
94           2        5        ERR068038
95           2        5        ERR129125
96           2        5        ERR069705
97           2        5        ERR065328
98           2        5        ERR069758
99           2        5        ERR069719
100          2        5        ERR124280
101          2        5        ERR129033
102          2        5        ERR069684
103          1        3        ERR124306
104          2        5        ERR129084
105          2        5        ERR129190
106          2        5        ERR069753
107          2        4        ERR129199
108          2        5        ERR069776
109          1        3        ERR129103
110          1        2        ERR068022
111          2        5        ERR069794
112          2        5        ERR124295
113          2        5        ERR065340
114          2        5        ERR068024
115          2        5        ERR124237
116          2        5        ERR065319
117          1        1        ERR069808
