28 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
887       1045      4               2                0.5        ERR065974
1601      1775      4               2                5.0        ERR065974
1232      1614      3               5                0.8        ERR069700
1741      1795      3               6                0.1        ERR124247
976       1255      2               10               5.7        ERR129179
1488      1531      2               10               1.4        ERR129179
1601      1723      5               11               11.4       ERR129176
1601      1723      5               12               11.4       ERR069709
416       453       3               14               0.9        ERR129212
1127      1206      4               14               4.5        ERR129212
976       1255      2               17               5.7        ERR124241
1488      1531      2               17               1.4        ERR124241
976       1255      2               19               5.7        ERR124293
1488      1531      2               19               1.4        ERR124293
1657      1775      3               20               6.8        ERR069735
1741      1795      3               21               0.1        ERR069773
1232      1614      3               22               0.8        ERR067966
1169      1227      5               25               6.4        ERR124226
1657      1775      3               27               6.8        ERR069823
1100      1213      5               28               0.6        ERR124319
1214      1222      3               28               5.4        ERR124319
1657      1775      3               28               7.4        ERR124319
1601      1723      5               29               11.4       ERR068001
1601      1723      5               30               11.4       ERR129117
1207      1614      3               34               1.0        ERR067969
976       1255      2               39               5.7        ERR129087
1488      1531      2               39               1.4        ERR129087
823       1064      4               41               0.8        ERR129129
1741      1795      3               41               0.8        ERR129129
887       1045      4               50               0.5        ERR065341
1601      1775      4               50               6.2        ERR065341
887       1045      4               54               0.5        ERR129130
1601      1775      4               54               5.0        ERR129130
1741      1795      3               58               0.1        ERR065302
1207      1614      3               60               1.0        ERR124314
634       757       2               62               4.8        ERR069824
649       664       1               65               1.5        ERR129164
1741      1795      3               65               0.9        ERR129164
976       1255      2               69               5.7        ERR067962
1488      1531      2               69               1.4        ERR067962
1657      1775      3               74               7.8        ERR068025
1657      1775      3               75               6.8        ERR067964
1657      1775      3               76               7.8        ERR069811
823       1064      4               81               0.8        ERR065287
1741      1795      3               81               0.8        ERR065287
1601      1723      5               82               11.4       ERR129213
1601      1723      5               84               11.4       ERR129042
976       1255      2               85               5.7        ERR129148
1488      1531      2               85               1.4        ERR129148
1741      1795      3               86               0.1        ERR129040
