StrainIndex  Lineage  Cluster  Name
1            4        6        ERR129065
2            4        6        ERR129176
3            1        2        ERR069814
4            4        7        ERR069795
5            4        7        ERR129196
6            4        7        ERR124319
7            4        6        ERR129117
8            1        2        ERR068007
9            3        5        ERR065325
10           4        7        ERR129129
11           3        5        ERR065960
12           4        7        ERR124244
13           4        6        ERR069826
14           3        5        ERR069706
15           4        7        ERR065970
16           2        1        ERR129187
17           2        4        ERR069824
18           4        7        ERR065972
19           4        6        ERR124287
20           4        7        ERR065287
21           4        6        ERR129213
22           4        6        ERR129042
23           4        6        ERR129146
24           2        4        ERR069729
25           3        5        ERR069843
26           4        7        ERR124229
27           4        7        ERR129149
28           4        7        ERR069833
29           2        4        ERR068014
30           4        6        ERR124235
31           2        4        ERR129094
32           4        7        ERR069751
33           3        5        ERR069792
34           2        4        ERR124271
35           4        7        ERR069687
36           4        3        ERR124228
37           4        6        ERR129076
38           4        6        ERR129157
39           3        5        ERR068031
40           4        6        ERR129055
41           4        6        ERR069780
42           4        7        ERR129207
43           4        7        ERR124288
44           4        6        ERR068027
45           4        7        ERR068044
46           3        5        ERR065354
47           4        6        ERR069708
48           4        6        ERR129106
49           4        7        ERR067974
50           4        7        ERR069711
51           4        3        ERR067961
52           4        6        ERR129116
53           3        5        ERR065973
54           3        5        ERR069737
55           4        7        ERR129144
56           4        7        ERR067960
57           4        7        ERR068050
58           4        7        ERR129032
59           3        5        ERR129050
60           4        3        ERR129064
61           4        7        ERR069774
62           2        4        ERR129206
63           4        7        ERR129080
64           4        7        ERR069829
65           2        4        ERR129041
66           4        6        ERR129167
67           3        5        ERR068003
68           2        4        ERR129181
69           3        5        ERR068035
70           4        7        ERR068045
71           2        4        ERR129045
72           4        3        ERR124292
73           4        7        ERR129186
74           4        6        ERR124308
75           4        7        ERR124220
76           4        3        ERR124312
77           4        7        ERR068034
78           4        6        ERR065311
79           4        7        ERR069691
80           2        4        ERR124289
81           2        4        ERR069772
82           4        7        ERR124267
83           4        6        ERR065303
84           3        5        ERR069692
85           3        5        ERR069723
86           4        6        ERR067976
87           4        6        ERR065307
88           4        7        ERR129081
89           4        3        ERR069718
90           4        3        ERR124224
91           2        4        ERR124309
92           2        4        ERR069806
93           3        5        ERR129062
94           3        5        ERR065299
95           2        4        ERR129184
96           4        7        ERR129175
97           4        6        ERR068023
98           3        5        ERR069791
99           4        7        ERR124263
100          4        7        ERR069704
101          1        2        ERR069807
102          4        7        ERR069761
103          4        7        ERR129034
104          1        2        ERR065315
105          4        7        ERR069828
106          3        5        ERR068036
107          3        5        ERR069697
108          4        6        ERR065306
109          4        6        ERR065313
110          4        7        ERR124294
111          4        3        ERR124243
112          4        7        ERR129046
113          4        7        ERR124225
114          4        6        ERR129082
115          4        7        ERR065288
116          3        5        ERR065314
117          4        7        ERR129091
118          2        4        ERR065318
119          4        7        ERR068010
120          4        3        ERR129067
121          4        7        ERR065291
122          2        4        ERR069730
123          4        7        ERR129121
124          1        2        ERR069739
125          3        5        ERR069842
126          3        5        ERR069810
127          4        7        ERR129174
128          4        7        ERR129182
129          4        6        ERR065322
130          4        7        ERR065337
131          3        5        ERR129078
132          4        7        ERR124251
133          4        7        ERR065975
134          3        5        ERR069699
135          3        5        ERR069793
136          4        7        ERR068038
137          4        7        ERR129125
138          4        7        ERR069705
139          4        6        ERR129205
140          3        5        ERR067990
141          4        7        ERR124313
142          4        7        ERR129033
143          4        3        ERR129073
144          4        6        ERR129098
145          4        7        ERR129190
146          2        4        ERR069816
147          1        2        ERR069695
148          3        5        ERR069762
149          4        6        ERR067973
150          4        7        ERR065340
151          4        7        ERR124297
152          3        5        ERR067999
153          4        6        ERR129141
154          4        7        ERR065319
155          2        4        ERR065956
156          2        1        ERR129047
157          4        6        ERR129133
158          2        4        ERR129095
159          4        7        ERR124286
