StrainIndex  Lineage  Cluster  Name
1            3        4        ERR069738
2            4        3        ERR065974
3            5        9        ERR129065
4            6        7        ERR129037
5            6        10       ERR069700
6            5        9        ERR124247
7            3        4        ERR124222
8            6        10       ERR065305
9            4        3        ERR069786
10           6        8        ERR129179
11           4        5        ERR129176
12           6        8        ERR069709
13           6        7        ERR067985
14           5        9        ERR129212
15           3        4        ERR068037
16           6        6        ERR069814
17           6        8        ERR124241
18           4        3        ERR069795
19           6        8        ERR124293
20           6        10       ERR069735
21           6        10       ERR069773
22           6        10       ERR067966
23           2        2        ERR129029
24           5        9        ERR129105
25           6        10       ERR124226
26           4        3        ERR129196
27           6        6        ERR069823
28           4        5        ERR124319
29           6        8        ERR068001
30           4        5        ERR129117
31           4        5        ERR069764
32           6        6        ERR068007
33           6        10       ERR068008
34           6        10       ERR067969
35           6        8        ERR069703
36           5        9        ERR129195
37           4        5        ERR065325
38           6        7        ERR124256
39           6        8        ERR129087
40           5        9        ERR069819
41           6        10       ERR129129
42           4        5        ERR065960
43           6        10       ERR069796
44           6        7        ERR065326
45           6        7        ERR069712
46           6        7        ERR124244
47           3        4        ERR129075
48           6        7        ERR069713
49           5        9        ERR069826
50           4        3        ERR065341
51           6        10       ERR069771
52           3        4        ERR069706
53           4        3        ERR065970
54           4        3        ERR129130
55           3        4        ERR129096
56           5        9        ERR129107
57           6        7        ERR069809
58           6        10       ERR065302
59           6        10       ERR129187
60           6        10       ERR124314
61           3        4        ERR069686
62           5        9        ERR069824
63           6        7        ERR068048
64           6        10       ERR065972
65           6        6        ERR129164
66           3        4        ERR069688
67           4        5        ERR069685
68           3        4        ERR124307
69           6        8        ERR067962
70           6        6        ERR124257
71           6        7        ERR129127
72           5        9        ERR065301
73           4        5        ERR124287
74           6        6        ERR068025
75           6        6        ERR067964
76           6        6        ERR069811
77           6        7        ERR069727
78           6        10       ERR129063
79           6        10       ERR065332
80           6        8        ERR129028
81           6        10       ERR065287
82           4        5        ERR129213
83           5        9        ERR129155
84           4        5        ERR129042
85           6        8        ERR129148
86           6        10       ERR129040
87           6        6        ERR069835
88           2        2        ERR129146
89           4        5        ERR129102
90           5        9        ERR069729
91           6        6        ERR129152
92           5        9        ERR069748
93           3        4        ERR069843
94           6        10       ERR124229
95           6        6        ERR129088
96           6        7        ERR069752
97           6        10       ERR129149
98           6        7        ERR129214
99           6        10       ERR069833
100          5        9        ERR124310
