StrainIndex  Lineage  Cluster  Name
1            4        8        ERR069738
2            4        7        ERR065974
3            4        7        ERR129065
4            4        10       ERR129037
5            4        4        ERR069700
6            4        10       ERR124247
7            4        10       ERR124222
8            4        9        ERR065305
9            4        10       ERR069786
10           4        10       ERR129179
11           4        8        ERR129176
12           4        10       ERR069709
13           4        10       ERR067985
14           4        10       ERR129212
15           4        8        ERR068037
16           4        10       ERR069814
17           4        10       ERR124241
18           4        9        ERR069795
19           4        10       ERR124293
20           4        10       ERR069735
21           4        8        ERR069773
22           4        4        ERR067966
23           4        4        ERR129029
24           4        9        ERR129105
25           4        8        ERR124226
26           4        9        ERR129196
27           4        10       ERR069823
28           4        8        ERR124319
29           4        10       ERR068001
30           4        8        ERR129117
31           4        10       ERR069764
32           4        10       ERR068007
33           4        9        ERR068008
34           4        4        ERR067969
35           4        10       ERR069703
36           4        9        ERR129195
37           4        10       ERR065325
38           3        5        ERR124256
39           4        10       ERR129087
40           4        10       ERR069819
41           4        9        ERR129129
42           4        10       ERR065960
43           4        9        ERR069796
44           4        10       ERR065326
45           3        5        ERR069712
46           4        10       ERR124244
47           4        10       ERR129075
48           4        10       ERR069713
49           4        7        ERR069826
50           4        7        ERR065341
51           4        10       ERR069771
52           4        10       ERR069706
53           4        9        ERR065970
54           4        7        ERR129130
55           4        8        ERR129096
56           4        7        ERR129107
57           3        5        ERR069809
58           4        8        ERR065302
59           4        10       ERR129187
60           4        4        ERR124314
61           4        8        ERR069686
62           4        8        ERR069824
63           4        10       ERR068048
64           4        10       ERR129164
65           4        8        ERR069688
66           4        10       ERR069685
67           4        8        ERR124307
68           4        10       ERR067962
69           4        10       ERR124257
70           4        10       ERR129127
71           4        9        ERR065301
72           4        10       ERR124287
73           4        10       ERR068025
74           4        10       ERR067964
75           4        10       ERR069811
76           4        10       ERR069727
77           4        9        ERR129063
78           4        10       ERR065332
79           4        10       ERR129028
80           4        9        ERR065287
81           4        8        ERR129213
82           4        7        ERR129155
83           4        10       ERR129042
84           4        10       ERR129148
85           4        8        ERR129040
86           4        10       ERR069835
87           4        10       ERR129146
88           4        10       ERR129102
89           4        8        ERR069729
90           4        10       ERR129152
91           4        10       ERR069748
92           4        10       ERR069843
93           4        9        ERR124229
94           4        10       ERR129088
95           4        10       ERR069752
96           3        5        ERR065350
97           4        9        ERR129149
98           4        10       ERR129214
99           4        9        ERR069833
100          4        10       ERR124310
101          4        10       ERR068046
102          4        10       ERR129215
103          4        9        ERR129140
104          4        9        ERR069831
105          4        10       ERR068014
106          4        9        ERR124315
107          4        10       ERR124255
108          4        9        ERR065342
109          4        10       ERR124235
110          4        10       ERR129159
111          4        8        ERR129204
112          4        10       ERR129094
113          4        10       ERR069689
114          4        9        ERR069751
115          4        7        ERR068005
116          4        10       ERR069749
117          4        10       ERR067981
118          4        8        ERR067996
119          4        4        ERR129052
120          4        9        ERR069785
121          4        10       ERR069792
122          2        3        ERR124271
123          4        9        ERR069687
124          4        10       ERR124277
125          3        6        ERR124228
126          4        10       ERR129044
127          4        10       ERR065353
128          4        10       ERR129074
129          4        9        ERR069817
130          4        10       ERR065953
131          4        10       ERR129076
132          4        10       ERR129154
133          4        10       ERR069725
134          4        10       ERR068040
135          3        5        ERR129051
136          4        8        ERR129157
137          4        10       ERR124311
138          4        10       ERR069746
139          4        10       ERR068031
140          4        10       ERR067986
141          4        10       ERR124291
142          4        10       ERR129055
143          4        7        ERR069780
144          4        10       ERR065327
145          4        10       ERR069822
146          4        9        ERR129207
147          4        8        ERR124288
148          4        10       ERR129026
149          4        10       ERR124218
150          4        7        ERR068027
151          4        10       ERR069710
152          4        10       ERR065310
153          4        9        ERR129160
154          4        10       ERR065300
155          4        10       ERR069789
156          4        8        ERR065343
157          4        7        ERR069802
158          4        7        ERR129027
159          4        9        ERR129170
