StrainIndex  Lineage  Cluster  Name
1            2        6        ERR069738
2            2        2        ERR065974
3            2        6        ERR129065
4            2        4        ERR129037
5            2        6        ERR069700
6            2        5        ERR124247
7            2        6        ERR124222
8            2        5        ERR065305
9            2        3        ERR069786
10           2        3        ERR129179
11           2        3        ERR129176
12           2        6        ERR069709
13           2        4        ERR067985
14           2        5        ERR129212
15           2        6        ERR068037
16           2        4        ERR069814
17           2        3        ERR124241
18           2        5        ERR069795
19           2        6        ERR124293
20           2        3        ERR069735
21           2        6        ERR069773
22           2        6        ERR067966
23           2        6        ERR129029
24           2        5        ERR129105
25           2        5        ERR124226
26           2        5        ERR129196
27           2        6        ERR069823
28           2        3        ERR124319
29           2        6        ERR068001
30           2        3        ERR129117
31           2        3        ERR069764
32           2        4        ERR068007
33           2        6        ERR067969
34           2        3        ERR069703
35           2        5        ERR129195
36           2        3        ERR065325
37           2        6        ERR124256
38           2        3        ERR129087
39           2        5        ERR129129
40           2        3        ERR065960
41           2        5        ERR069796
42           2        4        ERR065326
43           2        4        ERR069712
44           2        5        ERR124244
45           2        6        ERR129075
46           2        4        ERR069713
47           2        6        ERR069826
48           2        2        ERR065341
49           2        5        ERR069771
50           2        6        ERR069706
51           2        5        ERR065970
52           2        2        ERR129130
53           2        6        ERR129096
54           2        6        ERR129107
55           2        6        ERR069809
56           2        6        ERR065302
57           2        3        ERR129187
58           2        6        ERR124314
59           2        6        ERR069686
60           2        6        ERR069824
61           2        6        ERR068048
62           2        5        ERR065972
63           2        6        ERR129164
64           2        6        ERR069688
65           2        3        ERR069685
66           2        6        ERR124307
67           2        3        ERR067962
68           2        4        ERR129127
69           2        5        ERR065301
70           2        6        ERR124287
71           2        6        ERR068025
72           2        6        ERR067964
73           2        6        ERR069811
74           2        4        ERR069727
75           2        5        ERR129063
76           2        4        ERR065332
77           2        6        ERR129028
78           2        5        ERR065287
79           2        3        ERR129213
80           2        3        ERR129042
81           2        3        ERR129148
82           2        6        ERR129040
83           2        6        ERR069835
84           2        6        ERR129146
85           2        6        ERR129102
86           2        6        ERR069729
87           2        6        ERR129152
88           2        5        ERR069748
89           2        6        ERR069843
90           2        5        ERR124229
91           2        6        ERR129088
92           2        4        ERR069752
93           2        6        ERR065350
94           2        5        ERR129149
95           2        4        ERR129214
96           2        5        ERR069833
97           2        6        ERR124310
98           2        4        ERR068046
99           2        4        ERR129215
100          2        5        ERR129140
101          2        5        ERR069831
102          2        3        ERR068014
103          2        5        ERR124315
104          2        6        ERR124255
105          2        5        ERR065342
106          2        6        ERR124235
107          2        4        ERR129159
108          2        6        ERR129204
109          2        3        ERR129094
110          2        5        ERR069689
111          2        5        ERR069751
112          2        6        ERR068005
113          2        3        ERR069749
114          1        1        ERR067981
115          2        6        ERR067996
116          2        6        ERR129052
117          2        6        ERR069785
118          2        3        ERR069792
119          2        5        ERR124271
120          2        5        ERR069687
121          2        3        ERR124277
122          2        6        ERR124228
123          2        5        ERR129044
124          2        6        ERR065353
125          2        3        ERR129074
126          2        5        ERR069817
127          2        6        ERR065953
128          2        6        ERR129076
129          2        4        ERR129154
130          2        4        ERR069725
131          2        4        ERR068040
132          2        4        ERR129051
133          2        3        ERR129157
134          2        6        ERR124311
135          2        6        ERR069746
136          2        3        ERR068031
137          2        4        ERR067986
138          2        4        ERR124291
139          2        6        ERR129055
140          2        6        ERR069780
141          2        6        ERR065327
142          2        4        ERR069822
143          2        5        ERR129207
144          2        3        ERR124288
145          2        4        ERR129026
146          2        4        ERR124218
147          2        6        ERR068027
148          2        6        ERR069710
149          2        4        ERR065310
150          2        5        ERR129160
151          2        3        ERR065300
152          2        4        ERR069789
153          2        6        ERR065343
154          2        6        ERR129027
155          2        5        ERR129170
156          2        6        ERR129048
157          2        4        ERR065968
158          2        2        ERR065965
159          2        5        ERR068044
160          2        5        ERR129180
161          2        6        ERR068016
162          2        3        ERR065324
163          2        5        ERR129112
164          1        1        ERR129158
165          2        4        ERR069698
166          2        6        ERR069812
