7 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
73        477       2               1                0.1        ERR069738
478       622       5               1                4.4        ERR069738
623       724       2               1                0.6        ERR069738
1393      1413      4               1                3.1        ERR069738
1         31        5               8                1.1        ERR069709
146       313       4               8                3.8        ERR069709
73        477       2               10               0.1        ERR068037
478       622       5               10               4.4        ERR068037
623       724       2               10               0.6        ERR068037
1393      1413      4               10               3.1        ERR068037
1393      1413      4               20               3.1        ERR069823
1         31        5               22               1.1        ERR068001
146       313       4               22               3.8        ERR068001
73        477       2               38               0.1        ERR129096
478       622       5               38               4.4        ERR129096
623       724       2               38               0.6        ERR129096
1393      1413      4               38               3.1        ERR129096
73        477       2               43               0.1        ERR069686
478       622       5               43               4.4        ERR069686
623       724       2               43               0.6        ERR069686
1393      1413      4               43               3.1        ERR069686
73        477       2               46               0.1        ERR069688
478       622       5               46               4.4        ERR069688
623       724       2               46               0.6        ERR069688
1393      1413      4               46               3.1        ERR069688
73        477       2               47               0.1        ERR124307
478       622       5               47               4.4        ERR124307
623       724       2               47               0.6        ERR124307
1393      1413      4               47               3.1        ERR124307
1393      1413      4               52               3.1        ERR067964
1393      1413      4               58               3.1        ERR069835
73        477       2               70               0.1        ERR129204
478       622       5               70               4.4        ERR129204
623       724       2               70               0.6        ERR129204
1393      1413      4               70               3.1        ERR129204
1         31        5               71               1.4        ERR068005
146       313       4               71               4.6        ERR068005
73        477       2               74               0.1        ERR067996
478       622       5               74               4.4        ERR067996
623       724       2               74               0.6        ERR067996
1393      1413      4               74               3.1        ERR067996
1         31        5               78               1.1        ERR065353
146       313       4               78               3.8        ERR065353
1         31        5               80               1.1        ERR065953
146       313       4               80               3.8        ERR065953
1393      1413      4               86               3.1        ERR069746
1         31        5               95               1.1        ERR069710
146       313       4               95               3.8        ERR069710
73        477       2               99               0.1        ERR065343
478       622       5               99               4.4        ERR065343
623       724       2               99               0.6        ERR065343
1393      1413      4               99               3.1        ERR065343
1         31        5               101              1.1        ERR129027
146       313       4               101              3.8        ERR129027
1393      1413      4               107              3.1        ERR069812
73        477       2               113              0.1        ERR067995
478       622       5               113              4.4        ERR067995
623       724       2               113              0.6        ERR067995
1393      1413      4               113              3.1        ERR067995
1393      1413      4               122              3.1        ERR065292
1         31        5               137              1.1        ERR068004
146       313       4               137              3.8        ERR068004
73        477       2               138              0.1        ERR124248
478       622       5               138              4.4        ERR124248
623       724       2               138              0.6        ERR124248
1393      1413      4               138              3.1        ERR124248
73        477       2               152              0.1        ERR065338
478       622       5               152              4.4        ERR065338
623       724       2               152              0.6        ERR065338
1393      1413      4               152              3.1        ERR065338
1393      1413      4               161              3.1        ERR065967
1         31        5               163              1.1        ERR069734
146       313       4               163              3.8        ERR069734
1         31        5               166              1.1        ERR129092
146       313       4               166              3.8        ERR129092
1393      1413      4               171              3.1        ERR065344
73        477       2               183              0.1        ERR069767
478       622       5               183              4.4        ERR069767
623       724       2               183              0.6        ERR069767
1393      1413      4               183              3.1        ERR069767
1         31        5               200              1.4        ERR069759
146       313       4               200              4.6        ERR069759
1393      1413      4               201              3.1        ERR065962
1         31        5               205              1.1        ERR069827
146       313       4               205              3.8        ERR069827
1         31        5               208              1.4        ERR069741
146       313       4               208              4.6        ERR069741
73        477       2               216              0.1        ERR124260
478       622       5               216              4.4        ERR124260
623       724       2               216              0.6        ERR124260
1393      1413      4               216              3.1        ERR124260
73        477       2               227              0.1        ERR069778
478       622       5               227              4.4        ERR069778
623       724       2               227              0.6        ERR069778
1393      1413      4               227              3.1        ERR069778
1393      1413      4               241              3.1        ERR069755
73        477       2               242              0.1        ERR129156
478       622       5               242              4.4        ERR129156
623       724       2               242              0.6        ERR129156
1393      1413      4               242              3.1        ERR129156
73        477       2               257              0.1        ERR069836
478       622       5               257              4.4        ERR069836
623       724       2               257              0.6        ERR069836
1393      1413      4               257              3.1        ERR069836
1393      1413      4               274              3.1        ERR069765
73        477       2               275              0.1        ERR067965
478       622       5               275              4.4        ERR067965
623       724       2               275              0.6        ERR067965
1393      1413      4               275              3.1        ERR067965
73        477       2               278              0.1        ERR124318
478       622       5               278              4.4        ERR124318
623       724       2               278              0.6        ERR124318
1393      1413      4               278              3.1        ERR124318
1         31        5               284              1.1        ERR069788
146       313       4               284              3.8        ERR069788
1         31        5               285              1.1        ERR069784
146       313       4               285              3.8        ERR069784
1393      1413      4               293              3.1        ERR124231
1         31        5               308              1.1        ERR068043
146       313       4               308              3.8        ERR068043
1393      1413      4               317              3.1        ERR065330
1393      1413      4               320              3.1        ERR069719
1393      1413      4               324              3.1        ERR069770
1393      1413      4               327              3.1        ERR069721
73        477       2               336              0.1        ERR069783
478       622       5               336              4.4        ERR069783
623       724       2               336              0.6        ERR069783
1393      1413      4               336              3.1        ERR069783
1         31        5               339              1.4        ERR129115
146       313       4               339              4.6        ERR129115
1393      1413      4               345              3.1        ERR069740
73        477       2               354              0.1        ERR067987
478       622       5               354              4.4        ERR067987
623       724       2               354              0.6        ERR067987
1393      1413      4               354              3.1        ERR067987
1393      1413      2               358              2.0        ERR069808
1         31        5               363              1.4        ERR067979
146       313       4               363              4.6        ERR067979
