StrainIndex  Lineage  Cluster  Name
1            4        4        ERR069738
2            3        5        ERR129065
3            2        3        ERR124247
4            2        2        ERR124247
5            4        7        ERR065305
6            4        6        ERR069786
7            4        6        ERR069786
8            4        6        ERR129176
9            4        6        ERR129176
10           4        4        ERR068037
11           3        5        ERR129029
12           4        8        ERR069823
13           4        6        ERR129117
14           4        7        ERR068008
15           4        8        ERR124256
16           4        7        ERR069796
17           4        8        ERR069712
18           3        5        ERR069826
19           4        7        ERR069771
20           4        4        ERR129096
21           3        5        ERR129107
22           4        8        ERR069809
23           4        8        ERR129187
24           4        4        ERR069686
25           4        8        ERR068048
26           4        7        ERR065972
27           4        8        ERR129164
28           4        4        ERR069688
29           4        6        ERR069685
30           4        6        ERR069685
31           4        4        ERR124307
32           3        5        ERR124287
33           4        8        ERR068025
34           4        8        ERR067964
35           4        8        ERR069811
36           4        7        ERR129063
37           4        6        ERR129213
38           4        6        ERR129213
39           3        5        ERR129155
40           4        6        ERR129042
41           4        6        ERR129042
42           4        8        ERR069835
43           3        5        ERR129146
44           4        8        ERR129152
45           4        7        ERR129088
46           4        8        ERR065350
47           4        7        ERR129149
48           4        8        ERR124310
49           4        7        ERR129140
50           4        7        ERR069831
51           4        8        ERR068014
52           4        7        ERR124315
53           4        6        ERR124235
54           4        6        ERR124235
55           4        4        ERR129204
56           4        8        ERR129094
57           4        8        ERR067981
58           4        4        ERR067996
59           3        5        ERR129052
60           4        6        ERR124228
61           4        7        ERR069817
62           3        5        ERR129076
63           4        8        ERR129051
64           4        6        ERR129157
65           4        6        ERR129157
66           4        8        ERR124311
67           4        8        ERR069746
68           3        5        ERR129055
69           3        5        ERR069780
70           4        8        ERR065327
71           2        3        ERR124218
72           2        2        ERR124218
73           3        5        ERR068027
74           4        7        ERR129160
75           4        4        ERR065343
76           3        5        ERR069802
77           4        7        ERR129170
78           4        8        ERR129048
79           4        8        ERR065968
80           4        7        ERR129112
81           4        8        ERR129158
82           4        8        ERR069812
83           4        7        ERR068017
84           4        8        ERR129039
85           4        7        ERR124269
86           4        4        ERR067995
87           4        8        ERR068012
88           4        6        ERR069708
89           4        6        ERR069708
90           3        5        ERR129106
91           4        7        ERR069717
92           4        7        ERR067974
93           4        7        ERR129108
94           4        8        ERR129132
95           4        7        ERR129059
96           4        8        ERR065292
97           4        6        ERR067961
98           4        6        ERR067961
99           3        5        ERR129116
100          4        8        ERR069690
101          4        8        ERR065309
102          4        8        ERR124232
103          4        8        ERR068018
104          4        7        ERR068050
105          4        7        ERR129032
106          4        4        ERR124248
107          4        7        ERR065317
108          3        5        ERR069830
109          4        8        ERR129206
110          3        5        ERR129147
111          4        8        ERR067994
112          4        4        ERR065338
113          4        7        ERR129120
114          3        5        ERR124219
115          3        5        ERR065345
116          4        8        ERR124305
117          4        8        ERR069768
118          4        7        ERR129197
119          4        8        ERR065967
120          4        6        ERR129167
121          4        6        ERR129167
122          4        8        ERR129090
123          2        3        ERR129181
124          2        2        ERR129181
125          4        7        ERR069696
126          4        7        ERR129072
127          4        8        ERR065344
128          4        8        ERR129111
129          4        6        ERR069798
130          4        6        ERR069798
131          4        7        ERR067984
132          4        7        ERR069781
133          4        6        ERR124292
134          4        6        ERR124308
135          4        6        ERR124308
136          4        6        ERR129043
137          4        6        ERR129043
138          4        7        ERR069805
139          3        5        ERR069800
140          4        6        ERR124312
141          4        6        ERR124312
142          4        6        ERR065971
143          4        6        ERR065971
144          4        7        ERR129183
145          4        7        ERR068034
146          3        5        ERR065311
147          4        8        ERR068020
148          4        4        ERR069767
149          3        5        ERR067967
150          3        5        ERR129161
151          4        7        ERR129153
152          4        8        ERR129057
153          4        8        ERR067977
154          4        7        ERR124281
155          4        8        ERR069715
156          4        6        ERR124227
157          4        8        ERR069683
158          4        8        ERR124253
159          3        5        ERR065966
160          4        8        ERR124254
161          4        6        ERR129168
162          4        6        ERR129168
163          4        8        ERR065298
164          4        6        ERR065303
165          4        6        ERR065303
166          4        8        ERR065957
167          3        5        ERR067976
168          3        5        ERR065307
169          4        8        ERR065962
170          4        7        ERR069745
171          4        6        ERR069718
172          4        6        ERR124224
173          3        5        ERR069790
174          4        7        ERR129142
175          4        8        ERR129203
176          4        8        ERR065316
177          4        8        ERR124217
178          4        7        ERR124284
179          4        8        ERR069722
180          4        4        ERR124260
181          4        8        ERR124266
182          4        4        ERR069778
183          3        5        ERR068015
184          3        5        ERR065355
185          4        6        ERR068023
186          4        6        ERR068023
187          3        5        ERR069777
188          3        5        ERR069807
189          4        7        ERR129209
190          4        7        ERR069761
191          4        6        ERR129172
192          4        6        ERR129172
193          3        5        ERR065346
194          4        8        ERR069731
195          4        8        ERR069755
196          4        4        ERR129156
197          3        5        ERR065306
198          3        5        ERR065313
199          2        2        ERR124294
200          2        3        ERR124294
201          4        6        ERR124243
202          4        7        ERR129046
203          4        8        ERR124285
204          4        8        ERR129126
205          1        1        ERR129151
206          4        7        ERR068011
207          4        8        ERR124264
208          3        5        ERR129082
209          3        5        ERR069743
210          3        5        ERR067980
211          4        4        ERR069836
212          4        7        ERR065288
213          2        2        ERR124258
214          2        3        ERR124258
215          4        7        ERR129091
216          4        6        ERR124276
217          4        7        ERR129118
218          4        6        ERR129067
219          4        6        ERR129067
220          4        8        ERR065349
221          4        6        ERR068030
222          4        6        ERR068030
223          4        8        ERR067997
224          3        5        ERR065955
225          4        8        ERR124265
226          4        7        ERR129121
227          4        8        ERR069766
228          4        8        ERR069765
229          4        7        ERR129123
230          4        4        ERR067965
231          4        6        ERR065969
232          4        6        ERR065969
233          4        7        ERR129174
234          4        4        ERR124318
235          4        8        ERR129113
236          4        8        ERR065347
237          4        8        ERR065290
238          3        5        ERR065322
239          4        6        ERR069693
240          4        6        ERR069693
241          4        8        ERR129169
242          4        8        ERR068013
243          4        8        ERR124231
244          4        8        ERR124304
245          4        8        ERR124282
246          4        8        ERR069732
247          3        5        ERR129208
248          4        8        ERR129135
249          4        7        ERR124234
250          4        7        ERR129125
251          4        7        ERR065328
252          3        5        ERR129205
253          3        5        ERR069694
254          4        8        ERR129058
255          4        8        ERR068009
256          4        8        ERR065330
257          4        7        ERR069758
258          4        8        ERR069719
259          4        8        ERR124317
260          4        7        ERR124280
261          3        5        ERR124245
262          4        6        ERR069779
263          4        6        ERR069779
264          4        7        ERR129033
265          4        8        ERR069770
266          4        7        ERR069684
267          2        2        ERR124306
268          2        3        ERR124306
269          4        6        ERR129073
270          1        1        ERR069815
271          4        6        ERR069840
272          4        6        ERR069840
273          3        5        ERR129192
274          4        8        ERR069721
275          3        5        ERR069736
276          3        5        ERR129098
277          4        8        ERR069757
278          3        5        ERR065339
279          3        5        ERR124238
280          4        7        ERR069753
281          4        8        ERR129199
282          4        7        ERR069776
283          4        4        ERR069783
284          4        8        ERR068022
285          4        7        ERR069794
286          3        5        ERR067973
287          4        8        ERR069740
288          4        8        ERR129145
289          3        5        ERR065331
290          4        7        ERR068024
291          4        7        ERR065323
292          4        8        ERR124237
293          4        4        ERR067987
294          3        5        ERR129141
295          4        8        ERR129047
296          3        5        ERR129133
297          2        2        ERR065312
298          2        3        ERR065312
299          3        5        ERR065348
300          4        8        ERR129095
301          4        8        ERR129201
302          4        7        ERR124270
303          3        5        ERR129171
304          3        5        ERR129122
305          3        5        ERR129100
