StrainIndex  Lineage  Cluster  Name
1            3        3        ERR069738
2            4        4        ERR129065
3            3        3        ERR129037
4            3        3        ERR124247
5            2        2        ERR124222
6            3        3        ERR065305
7            4        4        ERR069786
8            4        4        ERR129176
9            3        3        ERR067985
10           3        3        ERR129212
11           3        3        ERR068037
12           4        4        ERR069814
13           3        3        ERR069795
14           4        4        ERR069735
15           4        4        ERR129029
16           4        4        ERR129105
17           4        4        ERR124226
18           4        4        ERR129196
19           4        4        ERR124319
20           4        4        ERR129117
21           4        4        ERR068007
22           3        3        ERR068008
23           4        4        ERR129195
24           4        4        ERR069819
25           3        3        ERR129129
26           3        3        ERR069796
27           4        4        ERR065326
28           4        4        ERR124244
29           2        2        ERR129075
30           3        3        ERR069713
31           4        4        ERR069826
32           3        3        ERR069771
33           4        4        ERR069706
34           3        3        ERR065970
35           3        3        ERR129096
36           4        4        ERR129107
37           4        4        ERR129187
38           3        3        ERR069686
39           4        4        ERR069824
40           3        3        ERR065972
41           3        3        ERR069688
42           4        4        ERR069685
43           3        3        ERR124307
44           4        4        ERR124257
45           3        3        ERR129127
46           4        4        ERR065301
47           4        4        ERR124287
48           3        3        ERR069727
49           3        3        ERR129063
50           4        4        ERR065332
51           3        3        ERR065287
52           4        4        ERR129213
53           4        4        ERR129155
54           4        4        ERR129042
55           4        4        ERR129146
56           4        4        ERR129102
57           4        4        ERR069729
58           3        3        ERR069748
59           2        2        ERR069843
60           3        3        ERR124229
61           4        4        ERR069752
62           3        3        ERR129149
63           4        4        ERR129214
64           3        3        ERR069833
65           4        4        ERR068046
66           3        3        ERR129215
67           3        3        ERR129140
68           3        3        ERR069831
69           4        4        ERR068014
70           3        3        ERR124315
71           2        2        ERR124255
72           4        4        ERR065342
73           4        4        ERR124235
74           3        3        ERR129159
75           3        3        ERR129204
76           4        4        ERR129094
77           3        3        ERR069689
78           3        3        ERR069751
79           3        3        ERR067996
80           4        4        ERR129052
81           3        3        ERR124271
82           3        3        ERR069687
83           4        4        ERR124228
84           3        3        ERR069817
85           4        4        ERR129076
86           3        3        ERR129154
87           4        4        ERR069725
88           4        4        ERR068040
89           4        4        ERR129157
90           4        4        ERR067986
91           3        3        ERR124291
92           4        4        ERR129055
93           4        4        ERR069780
94           3        3        ERR069822
95           3        3        ERR129207
96           4        4        ERR124288
97           4        4        ERR129026
98           4        4        ERR124218
99           4        4        ERR068027
100          3        3        ERR065310
101          3        3        ERR129160
102          4        4        ERR069789
103          3        3        ERR065343
104          4        4        ERR069802
105          3        3        ERR129170
106          3        3        ERR068044
107          3        3        ERR129180
108          4        4        ERR068016
109          3        3        ERR129112
110          4        4        ERR069698
111          3        3        ERR124302
112          3        3        ERR068017
113          4        4        ERR129066
114          3        3        ERR124269
115          3        3        ERR067995
116          4        4        ERR124274
117          4        4        ERR069708
118          4        4        ERR129106
119          3        3        ERR069717
120          3        3        ERR067974
121          3        3        ERR129210
122          3        3        ERR129108
123          3        3        ERR069711
124          3        3        ERR129059
125          4        4        ERR067961
126          4        4        ERR129116
127          2        2        ERR065973
128          4        4        ERR124283
129          4        4        ERR065293
130          4        4        ERR065304
131          4        4        ERR129144
132          3        3        ERR124296
133          3        3        ERR067960
134          3        3        ERR068050
135          3        3        ERR129032
136          3        3        ERR124248
137          4        4        ERR068041
138          3        3        ERR065317
139          2        2        ERR069720
140          4        4        ERR069830
141          3        3        ERR069774
142          4        4        ERR129206
143          3        3        ERR069801
144          4        4        ERR124221
145          3        3        ERR129080
146          4        4        ERR068026
147          4        4        ERR129147
148          3        3        ERR069829
149          4        4        ERR129077
150          3        3        ERR065338
151          3        3        ERR129041
152          4        4        ERR065297
153          3        3        ERR129120
154          4        4        ERR129061
155          4        4        ERR124219
156          4        4        ERR065345
157          4        4        ERR069769
