2 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
352       407       3               6                7.3        ERR124247
217       304       3               7                0.2        ERR124222
352       407       3               7                6.2        ERR124222
217       304       3               14               0.6        ERR129212
352       407       3               14               8.8        ERR129212
217       298       3               24               1.4        ERR129105
217       298       3               26               1.4        ERR129196
217       298       3               36               1.4        ERR129195
217       304       3               47               0.2        ERR129075
352       407       3               47               6.2        ERR129075
217       304       3               52               0.2        ERR069706
352       407       3               52               6.2        ERR069706
217       298       3               72               1.4        ERR065301
217       304       3               73               0.8        ERR124287
352       407       3               73               7.1        ERR124287
217       304       3               88               0.8        ERR129146
352       407       3               88               7.1        ERR129146
217       304       3               92               0.6        ERR069748
352       407       3               92               8.8        ERR069748
217       304       3               93               0.2        ERR069843
352       407       3               93               6.2        ERR069843
262       304       3               101              3.2        ERR124310
352       407       3               101              7.4        ERR124310
217       304       3               108              0.2        ERR124255
352       407       3               108              6.2        ERR124255
217       298       3               109              1.4        ERR065342
217       304       3               114              0.6        ERR069689
352       407       3               114              8.8        ERR069689
217       304       3               132              0.8        ERR129076
352       407       3               132              7.1        ERR129076
217       304       3               143              0.8        ERR129055
352       407       3               143              7.1        ERR129055
262       304       3               161              3.2        ERR129048
352       407       3               161              7.4        ERR129048
217       304       3               165              0.6        ERR129180
352       407       3               165              8.8        ERR129180
217       304       3               205              0.2        ERR065973
352       407       3               205              6.2        ERR065973
262       304       3               206              3.2        ERR065309
352       407       3               206              7.4        ERR065309
217       298       3               213              1.4        ERR129144
217       304       3               227              0.2        ERR069720
352       407       3               227              6.2        ERR069720
217       298       3               239              1.4        ERR129077
262       304       3               249              3.2        ERR124305
352       407       3               249              7.4        ERR124305
217       304       3               263              0.2        ERR068003
352       407       3               263              6.2        ERR068003
262       304       3               269              3.2        ERR129111
352       407       3               269              7.4        ERR129111
217       304       3               270              0.6        ERR068006
352       407       3               270              8.8        ERR068006
217       304       3               271              0.2        ERR068035
352       407       3               271              6.2        ERR068035
217       304       3               282              0.6        ERR069832
352       407       3               282              8.8        ERR069832
217       298       3               292              1.4        ERR067998
217       304       3               303              0.6        ERR069716
352       407       3               303              8.8        ERR069716
217       304       3               311              0.6        ERR069750
352       407       3               311              8.8        ERR069750
262       304       3               316              3.2        ERR124253
352       407       3               316              7.4        ERR124253
217       298       3               323              1.4        ERR124320
217       304       3               333              0.8        ERR067976
352       407       3               333              7.1        ERR067976
217       304       3               334              0.8        ERR065307
352       407       3               334              7.1        ERR065307
217       304       3               351              0.2        ERR129062
352       407       3               351              6.2        ERR129062
262       304       3               354              3.2        ERR065316
352       407       3               354              7.4        ERR065316
262       304       3               355              3.2        ERR124217
352       407       3               355              7.4        ERR124217
217       304       3               361              0.6        ERR069701
352       407       3               361              8.8        ERR069701
217       304       3               367              0.2        ERR124233
352       407       3               367              6.2        ERR124233
262       304       3               368              3.2        ERR124266
352       407       3               368              7.4        ERR124266
217       298       3               369              1.4        ERR069818
217       304       3               384              0.2        ERR069791
352       407       3               384              6.2        ERR069791
217       298       3               403              1.4        ERR069714
217       304       3               404              0.2        ERR068036
352       407       3               404              6.2        ERR068036
217       304       3               410              0.8        ERR065313
352       407       3               410              7.1        ERR065313
217       304       3               428              0.8        ERR129082
352       407       3               428              7.1        ERR129082
217       304       3               435              0.2        ERR065314
352       407       3               435              6.2        ERR065314
217       298       3               442              1.4        ERR068010
217       304       3               466              0.2        ERR069842
352       407       3               466              6.2        ERR069842
217       298       3               475              1.4        ERR129182
217       304       3               477              0.6        ERR067983
352       407       3               477              8.8        ERR067983
217       304       3               490              0.2        ERR129036
352       407       3               490              6.2        ERR129036
217       304       3               496              0.6        ERR067989
352       407       3               496              8.8        ERR067989
217       304       3               497              0.2        ERR129078
352       407       3               497              6.2        ERR129078
217       304       3               506              0.2        ERR069699
352       407       3               506              6.2        ERR069699
217       304       3               508              0.2        ERR069793
352       407       3               508              6.2        ERR069793
217       304       3               518              0.2        ERR129031
352       407       3               518              6.2        ERR129031
217       304       3               519              0.2        ERR129049
352       407       3               519              6.2        ERR129049
217       304       3               520              0.8        ERR129205
352       407       3               520              7.1        ERR129205
217       298       3               521              1.4        ERR069799
217       304       3               522              0.2        ERR067990
352       407       3               522              6.2        ERR067990
217       304       3               553              0.8        ERR129098
352       407       3               553              7.1        ERR129098
262       304       3               557              3.2        ERR069757
352       407       3               557              7.4        ERR069757
217       304       3               573              0.2        ERR069762
352       407       3               573              6.2        ERR069762
262       304       3               583              3.2        ERR129145
352       407       3               583              7.4        ERR129145
217       304       3               589              0.2        ERR067999
352       407       3               589              6.2        ERR067999
217       304       3               596              0.2        ERR129193
352       407       3               596              6.2        ERR129193
217       304       3               601              0.8        ERR129133
352       407       3               601              7.1        ERR129133
