5 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
1357      1699      2               7                5.5        ERR124222
1503      1602      2               31               2.0        ERR069764
1         11        5               38               0.7        ERR124256
1357      1699      2               47               5.5        ERR129075
1357      1699      2               52               5.5        ERR069706
1503      1699      3               89               3.4        ERR129102
1357      1699      2               93               5.5        ERR069843
1503      1602      2               106              2.0        ERR068014
1357      1699      2               108              5.5        ERR124255
1503      1602      2               113              2.0        ERR129094
2111      2277      1               121              1.0        ERR069785
1357      1699      2               205              5.5        ERR065973
1357      1699      2               227              5.5        ERR069720
1503      1602      2               232              2.0        ERR129206
1357      1699      2               263              5.5        ERR068003
1357      1699      2               271              5.5        ERR068035
1357      1699      2               351              5.5        ERR129062
1357      1699      2               367              5.5        ERR124233
1357      1699      2               384              5.5        ERR069791
1357      1699      2               404              5.5        ERR068036
1503      1699      3               405              3.4        ERR129071
1357      1699      2               435              5.5        ERR065314
1357      1699      2               466              5.5        ERR069842
1357      1699      2               490              5.5        ERR129036
1357      1699      2               497              5.5        ERR129078
1357      1699      2               506              5.5        ERR069699
1357      1699      2               508              5.5        ERR069793
1357      1699      2               518              5.5        ERR129031
1357      1699      2               519              5.5        ERR129049
1357      1699      2               522              5.5        ERR067990
1503      1602      2               525              2.0        ERR068009
2111      2277      1               556              1.0        ERR069797
1357      1699      2               573              5.5        ERR069762
2111      2277      1               578              1.0        ERR069821
1357      1699      2               589              5.5        ERR067999
1357      1699      2               596              5.5        ERR129193
1503      1602      2               605              2.0        ERR129095
