StrainIndex  Lineage  Cluster  Name
1            2        1        ERR069738
2            2        6        ERR065974
3            2        10       ERR129065
4            2        9        ERR129037
5            1        7        ERR069700
6            2        6        ERR124247
7            2        2        ERR124222
8            2        10       ERR065305
9            2        9        ERR069786
10           2        5        ERR129179
11           1        4        ERR129176
12           1        8        ERR069709
13           2        9        ERR067985
14           2        6        ERR129212
15           2        1        ERR068037
16           2        2        ERR069814
17           2        5        ERR124241
18           2        6        ERR069795
19           2        5        ERR124293
20           1        8        ERR069735
21           2        2        ERR069773
22           1        7        ERR067966
23           2        10       ERR129029
24           2        10       ERR129105
25           2        6        ERR124226
26           2        2        ERR129196
27           2        10       ERR069823
28           2        9        ERR124319
29           1        8        ERR068001
30           1        4        ERR129117
31           1        3        ERR069764
32           2        2        ERR068007
33           2        10       ERR068008
34           1        7        ERR067969
35           2        5        ERR069703
36           2        10       ERR129195
37           1        7        ERR065325
38           1        3        ERR124256
39           2        5        ERR129087
40           1        8        ERR069819
41           1        7        ERR129129
42           1        7        ERR065960
43           2        10       ERR069796
44           2        9        ERR065326
45           1        3        ERR069712
46           1        7        ERR124244
47           2        2        ERR129075
48           2        9        ERR069713
49           2        10       ERR069826
50           2        6        ERR065341
51           2        10       ERR069771
52           2        9        ERR069706
53           2        6        ERR065970
54           2        6        ERR129130
55           2        1        ERR129096
56           2        10       ERR129107
57           1        3        ERR069809
58           2        2        ERR065302
59           1        8        ERR129187
60           1        7        ERR124314
61           2        1        ERR069686
62           2        6        ERR069824
63           1        3        ERR068048
64           2        10       ERR065972
65           1        3        ERR129164
66           2        1        ERR069688
67           2        9        ERR069685
68           2        1        ERR124307
69           2        5        ERR067962
70           2        9        ERR124257
71           2        9        ERR129127
72           1        7        ERR065301
73           1        8        ERR124287
74           2        10       ERR068025
75           2        10       ERR067964
76           2        10       ERR069811
77           2        9        ERR069727
78           2        10       ERR129063
79           1        4        ERR065332
80           2        6        ERR129028
81           1        7        ERR065287
82           1        4        ERR129213
83           2        10       ERR129155
84           1        4        ERR129042
85           2        5        ERR129148
86           2        2        ERR129040
87           2        10       ERR069835
88           1        8        ERR129146
89           2        6        ERR069729
90           2        10       ERR129152
91           2        6        ERR069748
92           2        9        ERR069843
93           1        7        ERR124229
94           1        3        ERR129088
95           2        9        ERR069752
96           1        3        ERR065350
97           2        6        ERR129149
98           2        9        ERR129214
99           1        7        ERR069833
100          1        8        ERR124310
101          2        9        ERR068046
102          2        9        ERR129215
103          2        10       ERR129140
104          2        10       ERR069831
105          1        8        ERR068014
106          2        10       ERR124315
107          2        9        ERR124255
108          1        7        ERR065342
109          1        4        ERR124235
110          2        9        ERR129159
111          2        1        ERR129204
112          1        8        ERR129094
113          2        6        ERR069689
114          2        6        ERR069751
115          1        8        ERR068005
116          2        5        ERR069749
117          1        3        ERR067981
118          2        1        ERR067996
119          2        10       ERR129052
120          1        7        ERR069785
121          1        8        ERR069792
122          2        10       ERR124271
123          1        7        ERR069687
124          2        5        ERR124277
125          1        8        ERR124228
126          2        2        ERR129044
127          1        8        ERR065353
128          2        5        ERR129074
129          2        10       ERR069817
130          1        8        ERR065953
131          1        8        ERR129076
132          2        9        ERR129154
133          1        4        ERR069725
134          2        9        ERR068040
135          1        3        ERR129051
136          1        4        ERR129157
137          2        10       ERR124311
138          2        10       ERR069746
139          1        8        ERR068031
140          2        9        ERR067986
141          2        9        ERR124291
142          1        8        ERR129055
143          2        10       ERR069780
144          2        10       ERR065327
145          2        9        ERR069822
146          1        7        ERR129207
147          2        9        ERR124288
148          1        4        ERR129026
149          1        8        ERR124218
150          2        10       ERR068027
151          1        8        ERR069710
152          2        9        ERR065310
153          2        6        ERR129160
154          2        5        ERR065300
155          2        9        ERR069789
156          2        1        ERR065343
157          2        10       ERR069802
158          1        8        ERR129027
159          2        10       ERR129170
160          1        8        ERR129048
161          1        3        ERR065968
162          2        6        ERR065965
163          1        7        ERR068044
164          2        6        ERR129180
165          2        2        ERR068016
166          2        5        ERR065324
167          2        10       ERR129112
168          1        3        ERR129158
169          1        4        ERR069698
170          2        10       ERR069812
171          2        9        ERR124302
172          2        6        ERR129083
173          1        8        ERR065354
174          1        7        ERR069787
175          2        10       ERR068017
176          2        2        ERR129066
177          2        10       ERR129039
178          2        5        ERR065329
179          2        10       ERR124269
180          2        5        ERR129200
181          2        1        ERR067995
182          1        3        ERR068012
183          1        8        ERR124274
184          2        9        ERR067993
185          1        4        ERR069708
186          2        10       ERR129106
187          2        10       ERR069717
188          2        10       ERR067974
189          1        7        ERR069744
190          2        9        ERR129210
191          2        10       ERR129108
192          1        3        ERR129132
193          2        6        ERR069711
194          2        5        ERR068019
195          2        5        ERR129099
196          2        10       ERR129059
197          2        10       ERR065292
198          1        8        ERR067961
199          1        7        ERR069820
200          2        6        ERR129216
201          2        10       ERR129116
202          2        5        ERR124250
203          1        3        ERR069690
204          2        9        ERR065973
205          1        8        ERR065309
206          1        4        ERR124283
207          1        4        ERR065293
208          2        10       ERR069737
209          2        5        ERR124316
210          2        2        ERR065304
211          2        2        ERR129144
212          2        10       ERR124232
213          1        3        ERR068018
214          2        9        ERR124296
215          2        6        ERR067960
216          2        6        ERR068050
217          2        2        ERR068039
218          1        8        ERR068004
219          2        6        ERR129032
220          2        1        ERR124248
221          2        9        ERR068041
222          2        5        ERR129086
223          2        10       ERR065317
224          2        5        ERR069834
225          2        2        ERR069720
226          1        7        ERR129050
227          2        9        ERR129064
228          2        10       ERR069830
229          1        7        ERR069774
230          1        8        ERR129206
231          2        9        ERR069801
232          1        4        ERR124221
233          2        9        ERR129080
234          1        4        ERR068026
235          2        10       ERR129147
236          1        7        ERR069829
237          2        2        ERR129077
238          2        10       ERR067994
239          2        5        ERR069726
240          2        1        ERR065338
241          2        10       ERR129041
242          1        4        ERR065297
243          2        10       ERR129120
244          1        4        ERR129061
245          2        10       ERR124219
246          2        10       ERR065345
247          1        8        ERR124305
248          2        6        ERR069769
249          1        8        ERR065295
250          1        3        ERR069768
251          2        10       ERR129197
252          2        10       ERR065967
253          1        8        ERR124223
254          1        8        ERR069734
255          1        4        ERR129167
256          2        5        ERR129143
257          2        5        ERR124299
258          1        8        ERR129092
259          1        3        ERR129090
260          2        5        ERR068002
261          2        9        ERR068003
262          2        9        ERR124268
263          1        4        ERR129181
264          2        10       ERR069696
265          2        10       ERR129072
266          2        10       ERR065344
267          1        8        ERR129111
268          2        6        ERR068006
269          2        9        ERR068035
270          2        9        ERR069798
271          2        6        ERR124278
272          2        9        ERR069760
273          2        10       ERR067984
274          2        6        ERR069782
275          2        5        ERR124236
276          1        7        ERR068045
277          2        2        ERR065959
278          1        8        ERR129045
279          2        10       ERR069781
280          2        6        ERR069832
281          1        4        ERR065320
282          1        8        ERR124292
283          1        7        ERR129186
284          1        4        ERR124308
285          1        4        ERR129043
286          2        10       ERR069805
287          1        7        ERR124220
288          2        10       ERR069800
289          2        9        ERR068021
290          2        10       ERR067998
291          1        8        ERR124312
292          2        9        ERR065971
