StrainIndex  Lineage  Cluster  Name
1            4        6        ERR069738
2            3        7        ERR129037
3            4        1        ERR069786
4            1        4        ERR129176
5            3        7        ERR067985
6            4        6        ERR068037
7            3        2        ERR069814
8            4        8        ERR069823
9            1        4        ERR124319
10           1        4        ERR129117
11           4        6        ERR069764
12           3        2        ERR068007
13           4        6        ERR065325
14           4        6        ERR065960
15           3        7        ERR065326
16           4        8        ERR124244
17           3        7        ERR069713
18           4        8        ERR069706
19           4        6        ERR129096
20           4        6        ERR069686
21           4        6        ERR069688
22           4        1        ERR069685
23           4        6        ERR124307
24           3        2        ERR124257
25           3        7        ERR129127
26           2        3        ERR068025
27           4        8        ERR067964
28           3        7        ERR069727
29           4        8        ERR065332
30           4        6        ERR129028
31           1        4        ERR129213
32           1        4        ERR129042
33           4        8        ERR069835
34           4        8        ERR129102
35           3        7        ERR069752
36           3        7        ERR129214
37           2        3        ERR124310
38           3        7        ERR068046
39           3        7        ERR129215
40           4        8        ERR068014
41           3        7        ERR129159
42           4        8        ERR129094
43           4        6        ERR067996
44           4        8        ERR069792
45           2        5        ERR124271
46           2        5        ERR124228
47           3        2        ERR065953
48           3        7        ERR129154
49           4        8        ERR069725
50           3        7        ERR068040
51           1        4        ERR129157
52           4        8        ERR069746
53           4        8        ERR068031
54           3        7        ERR067986
55           3        7        ERR124291
56           2        3        ERR065327
57           3        7        ERR069822
58           1        4        ERR124288
59           4        8        ERR129026
60           3        7        ERR065310
61           3        2        ERR069789
62           4        6        ERR065343
63           4        8        ERR069698
64           4        8        ERR069812
65           3        7        ERR124302
66           4        6        ERR129083
67           4        8        ERR065354
68           4        6        ERR067995
69           4        8        ERR124274
70           1        4        ERR069708
71           3        7        ERR129210
72           4        8        ERR065292
73           2        5        ERR067961
74           4        6        ERR129216
75           4        8        ERR065973
76           4        8        ERR124283
77           3        7        ERR124296
78           4        6        ERR124248
79           3        7        ERR068041
80           4        6        ERR129050
81           4        8        ERR129206
82           4        8        ERR124221
83           3        7        ERR129080
84           4        8        ERR068026
85           4        6        ERR065338
86           4        8        ERR065297
87           4        8        ERR129061
88           2        3        ERR124305
89           4        8        ERR065967
90           1        4        ERR129167
91           4        8        ERR068003
92           3        7        ERR124268
93           4        8        ERR129181
94           4        8        ERR065344
95           4        8        ERR068035
96           4        1        ERR069798
97           3        7        ERR069760
98           4        8        ERR065320
99           2        5        ERR124292
100          1        4        ERR124308
101          1        4        ERR129043
102          3        2        ERR068021
103          4        1        ERR065971
104          4        6        ERR069767
105          4        8        ERR129161
106          2        5        ERR124289
107          3        7        ERR129131
108          1        4        ERR124227
109          4        8        ERR069724
110          4        6        ERR129168
111          1        4        ERR065303
112          4        8        ERR068042
113          4        8        ERR069692
114          4        8        ERR124249
115          4        8        ERR069723
116          4        6        ERR067976
117          4        6        ERR065307
118          4        8        ERR065962
119          4        8        ERR129198
120          2        5        ERR069742
121          2        5        ERR069718
122          2        5        ERR124224
123          2        5        ERR124309
124          3        7        ERR129068
125          4        8        ERR067978
126          4        6        ERR129136
127          4        8        ERR068032
128          3        7        ERR129079
129          4        6        ERR124260
130          2        5        ERR129162
131          3        7        ERR124246
132          4        6        ERR065299
133          2        3        ERR124266
134          4        8        ERR124239
135          2        5        ERR065294
136          3        7        ERR129139
137          4        6        ERR069778
138          4        8        ERR068028
139          1        4        ERR068023
140          4        8        ERR069791
141          4        1        ERR129172
142          3        7        ERR124240
143          4        8        ERR069755
144          4        6        ERR129156
145          4        8        ERR068036
146          4        8        ERR069697
147          4        6        ERR065313
148          1        4        ERR124294
149          2        5        ERR124243
150          4        8        ERR124272
151          2        3        ERR124264
152          3        7        ERR069707
153          4        6        ERR129082
154          4        6        ERR069836
155          3        7        ERR068047
156          2        5        ERR065314
157          2        5        ERR129067
158          4        8        ERR124300
159          4        6        ERR129202
160          3        7        ERR129178
161          3        7        ERR067968
162          4        8        ERR069765
163          4        6        ERR067965
164          4        1        ERR065969
165          3        2        ERR129185
166          4        8        ERR069810
167          4        6        ERR124318
168          3        7        ERR129177
169          2        5        ERR065352
170          3        7        ERR069839
171          4        1        ERR069693
172          2        3        ERR129169
173          3        7        ERR124242
174          4        6        ERR129138
175          3        7        ERR129137
176          4        8        ERR124231
177          3        7        ERR065308
178          2        5        ERR065958
179          2        5        ERR129078
180          4        8        ERR129054
181          4        8        ERR069732
182          4        8        ERR129208
183          4        8        ERR069699
184          3        7        ERR069702
185          4        8        ERR069793
186          3        7        ERR065964
187          4        6        ERR129205
188          4        8        ERR068009
189          4        8        ERR065330
190          4        8        ERR129060
191          4        8        ERR069719
192          3        7        ERR069837
193          4        8        ERR124245
194          4        1        ERR069779
195          3        7        ERR068000
196          4        8        ERR069770
197          2        5        ERR129073
198          2        5        ERR069840
199          4        8        ERR069721
200          4        6        ERR129098
201          4        6        ERR065339
202          4        8        ERR068049
203          4        6        ERR069783
204          4        6        ERR129103
205          2        3        ERR068022
206          2        5        ERR124230
207          4        8        ERR069740
208          2        3        ERR129145
209          3        2        ERR067972
210          1        4        ERR124297
211          4        6        ERR067987
212          3        7        ERR129093
213          4        6        ERR129133
214          4        8        ERR065348
215          4        8        ERR129095
216          1        4        ERR124286
217          3        7        ERR129211
218          3        7        ERR124298
219          4        8        ERR129100
220          4        6        ERR129030
