3 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
2149      2302      2               9                8.8        ERR069786
2149      2302      2               12               7.9        ERR069709
2149      2302      2               21               7.9        ERR069773
2180      2302      4               24               11.9       ERR129105
2180      2302      4               26               11.9       ERR129196
2149      2302      2               28               8.8        ERR124319
2149      2302      2               29               7.9        ERR068001
2180      2302      4               36               11.9       ERR129195
1982      2302      2               46               3.8        ERR124244
2149      2302      2               58               7.9        ERR065302
2149      2302      2               67               8.8        ERR069685
2180      2302      4               72               11.9       ERR065301
2149      2302      2               84               8.8        ERR129042
2149      2302      2               86               7.9        ERR129040
2180      2302      4               109              11.5       ERR065342
2149      2302      2               110              8.8        ERR124235
2149      2302      2               116              7.9        ERR068005
2149      2302      2               128              7.9        ERR065353
2149      2302      2               131              7.9        ERR065953
2149      2302      2               148              8.8        ERR124288
2149      2302      2               152              7.9        ERR069710
2149      2302      2               186              8.8        ERR069708
2149      2302      2               189              7.6        ERR067974
2180      2302      4               213              11.9       ERR129144
2149      2302      2               219              7.9        ERR068039
2149      2302      2               220              7.9        ERR068004
2180      2302      4               239              11.9       ERR129077
2149      2302      2               255              7.9        ERR124223
2149      2302      2               256              7.9        ERR069734
2149      2302      2               257              8.8        ERR129167
2149      2302      2               260              7.9        ERR129092
2149      2302      2               272              8.8        ERR069798
2149      2302      2               286              8.8        ERR124308
2149      2302      2               287              8.8        ERR129043
2180      2302      4               292              11.9       ERR067998
2149      2302      2               294              8.8        ERR065971
2149      2302      2               313              8.8        ERR124227
2149      2302      2               322              8.8        ERR129168
2180      2302      4               323              11.9       ERR124320
2149      2302      2               326              8.8        ERR065303
2149      2302      2               331              7.9        ERR069759
2149      2302      2               343              7.9        ERR069827
2149      2302      2               349              7.9        ERR069741
2180      2302      2               359              9.8        ERR069722
2149      2302      2               363              7.9        ERR129124
2180      2302      4               369              11.9       ERR069818
2149      2302      2               382              8.8        ERR068023
2149      2302      2               386              7.9        ERR069704
2149      2302      2               393              7.9        ERR129034
2149      2302      2               394              8.8        ERR129172
2149      2302      2               396              7.9        ERR065315
2149      2302      2               399              7.9        ERR069828
2180      2302      4               403              11.9       ERR069714
2149      2302      2               412              8.8        ERR124294
2180      2302      4               416              11.9       ERR129053
2149      2302      2               423              7.9        ERR065321
1141      1170      2               429              0.6        ERR069743
2180      2302      4               442              11.9       ERR068010
2180      2302      2               444              9.8        ERR065349
2149      2302      2               445              7.9        ERR068030
2149      2302      2               457              7.6        ERR129121
2149      2302      2               459              7.9        ERR069739
2149      2302      2               464              8.8        ERR065969
2132      2302      2               468              8.7        ERR129174
2180      2302      4               474              11.9       ERR129182
2132      2302      2               475              9.1        ERR069788
2132      2302      2               477              9.1        ERR069784
2132      2302      2               481              10.1       ERR069693
2132      2302      2               512              9.1        ERR068043
2132      2302      2               514              8.7        ERR129125
2132      2302      2               515              9.1        ERR069705
2180      2302      4               520              11.9       ERR069799
2132      2302      2               533              9.1        ERR129188
2132      2302      2               536              9.1        ERR129056
2132      2302      2               538              10.1       ERR069779
2132      2302      2               540              9.1        ERR069775
2132      2302      2               567              9.1        ERR069695
2180      2302      2               570              9.8        ERR068022
2132      2302      2               586              10.1       ERR124297
2132      2302      2               603              8.7        ERR067979
2132      2302      2               605              10.1       ERR124286
