4 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
406       511       4               2                9.3        ERR065974
281       389       2               17               9.3        ERR129029
281       389       2               20               10.7       ERR069823
281       389       2               34               10.7       ERR069712
406       511       4               38               9.3        ERR065341
406       511       4               41               9.3        ERR129130
281       389       2               58               10.7       ERR067964
281       389       2               68               10.7       ERR069835
281       389       2               91               9.3        ERR129052
281       389       2               102              10.7       ERR129051
281       389       2               105              10.7       ERR069746
281       389       2               120              10.7       ERR065968
406       511       4               121              9.3        ERR065965
281       389       2               126              10.7       ERR069812
281       389       2               142              10.7       ERR129132
281       389       2               147              10.7       ERR065292
281       389       2               152              10.7       ERR069690
281       389       2               156              10.7       ERR068018
281       389       2               179              9.3        ERR124219
281       389       2               182              10.7       ERR069768
281       389       2               184              10.7       ERR065967
281       389       2               188              10.7       ERR129090
281       389       2               193              10.7       ERR065344
406       511       4               195              9.3        ERR124278
281       389       2               207              9.3        ERR069800
281       389       2               213              10.7       ERR068020
281       389       2               220              10.7       ERR067977
281       389       2               224              10.7       ERR069715
281       389       2               228              9.3        ERR065966
55        82        5               235              1.0        ERR065957
281       389       2               238              10.7       ERR065962
281       389       2               242              9.3        ERR069790
281       389       2               262              9.3        ERR065355
281       389       2               279              10.7       ERR069755
406       511       4               290              9.3        ERR065289
281       389       2               291              10.7       ERR124285
345       405       5               293              1.6        ERR129151
281       389       2               319              10.7       ERR124265
281       389       2               324              10.7       ERR069765
281       389       2               331              10.7       ERR129113
281       389       2               337              10.7       ERR068013
281       389       2               341              10.7       ERR124231
281       389       2               342              10.7       ERR124304
406       511       4               343              9.3        ERR065296
281       389       2               345              9.3        ERR124282
281       389       2               363              10.7       ERR129058
281       389       2               365              10.7       ERR065330
281       389       2               369              10.7       ERR069719
281       389       2               380              10.7       ERR069770
345       405       5               384              1.6        ERR069815
281       389       2               386              10.7       ERR069721
281       389       2               387              9.3        ERR069736
281       389       2               409              10.7       ERR069740
281       389       2               412              9.3        ERR065331
281       389       2               415              10.7       ERR124237
281       389       2               431              9.3        ERR129171
