6 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
845       866       2               5                6.9        ERR069700
1186      1306      1               5                8.6        ERR069700
845       866       2               6                7.5        ERR124247
845       866       2               8                7.1        ERR065305
845       866       3               9                12.0       ERR069786
845       866       2               18               7.1        ERR069795
845       866       2               20               7.1        ERR069735
845       866       2               21               7.1        ERR069773
845       866       2               22               6.9        ERR067966
1186      1306      1               22               8.6        ERR067966
845       866       2               25               7.3        ERR124226
845       866       3               28               13.6       ERR124319
845       866       2               33               7.1        ERR068008
845       866       2               34               6.9        ERR067969
1186      1306      1               34               8.6        ERR067969
845       866       2               40               7.1        ERR069819
845       866       2               41               7.1        ERR129129
845       866       2               43               7.1        ERR069796
845       866       3               46               8.3        ERR124244
845       866       2               51               7.1        ERR069771
845       866       2               53               7.1        ERR065970
845       866       2               58               7.1        ERR065302
845       866       2               60               6.9        ERR124314
1186      1306      1               60               8.6        ERR124314
845       866       2               64               7.1        ERR065972
845       866       3               67               12.0       ERR069685
1         334       2               73               5.3        ERR124287
845       866       2               78               7.1        ERR129063
845       866       2               81               7.1        ERR065287
845       866       2               86               7.1        ERR129040
1         334       2               88               5.3        ERR129146
845       866       2               94               7.1        ERR124229
845       866       2               98               7.1        ERR129149
845       866       2               100              7.1        ERR069833
845       866       2               101              7.3        ERR124310
845       866       2               104              7.1        ERR129140
845       866       2               105              7.1        ERR069831
845       866       2               107              7.1        ERR124315
845       866       2               115              7.1        ERR069751
1         334       2               116              4.4        ERR068005
845       866       2               121              7.1        ERR069785
845       866       2               124              7.1        ERR069687
845       866       3               126              10.9       ERR124228
1         334       2               127              5.3        ERR129044
282       418       2               130              4.8        ERR069817
1         334       2               132              5.3        ERR129076
1         334       2               143              5.3        ERR129055
845       866       2               147              7.1        ERR129207
845       866       3               148              13.6       ERR124288
845       866       2               150              6.5        ERR124218
282       385       2               154              2.3        ERR129160
1         334       2               159              4.4        ERR129027
845       866       2               160              7.1        ERR129170
845       866       2               161              7.3        ERR129048
845       866       2               164              7.1        ERR068044
845       866       2               168              7.1        ERR129112
845       866       2               175              6.9        ERR069787
1186      1306      1               175              8.6        ERR069787
845       866       2               176              7.1        ERR068017
845       866       2               180              7.1        ERR124269
193       334       2               185              7.6        ERR067993
845       866       2               188              7.1        ERR069717
845       866       2               189              7.1        ERR067974
845       866       2               190              6.9        ERR069744
1186      1306      1               190              8.6        ERR069744
845       866       2               192              7.1        ERR129108
845       866       2               194              7.1        ERR069711
845       866       2               197              7.1        ERR129059
845       866       3               199              10.9       ERR067961
845       866       2               206              7.3        ERR065309
193       334       2               209              7.6        ERR069825
845       866       2               217              7.1        ERR067960
845       866       2               218              7.1        ERR068050
845       866       2               219              7.1        ERR068039
845       866       2               221              7.1        ERR129032
193       334       2               223              7.6        ERR068041
845       866       2               225              7.1        ERR065317
845       866       2               226              7.1        ERR069834
845       866       2               229              7.5        ERR129064
845       866       2               231              7.1        ERR069774
845       866       2               238              7.1        ERR069829
845       866       2               245              7.1        ERR129120
845       866       2               249              7.3        ERR124305
845       866       2               250              7.3        ERR069769
845       866       2               251              7.3        ERR065295
845       866       2               253              7.1        ERR129197
1         334       2               255              4.4        ERR124223
845       866       2               266              7.1        ERR069696
845       866       2               267              7.1        ERR129072
845       866       2               269              7.3        ERR129111
845       866       3               272              12.0       ERR069798
845       866       2               275              7.1        ERR067984
271       326       2               276              2.0        ERR069782
845       866       2               278              7.1        ERR068045
845       866       2               281              7.1        ERR069781
845       866       3               284              10.9       ERR124292
845       866       2               285              7.1        ERR129186
845       866       2               288              7.1        ERR069805
845       866       2               289              7.1        ERR124220
845       866       3               293              10.9       ERR124312
845       866       3               294              12.0       ERR065971
845       866       2               295              7.1        ERR129183
