RECOMBINATIONS IN LINEAGES
Start     End       Lineage1        Lineage2         log(BF)
1         1670      5               2                383.5     
1671      1686      3               2                5.0       
1687      2032      5               2                103.7     
2033      2362      3               2                139.6     
2363      4466      5               2                449.5     
4746      6228      5               2                243.7     
6497      6543      5               2                9.5       
6545      6584      5               2                7.4       
6586      6651      5               2                12.8      
6661      6708      5               2                12.8      
6714      6731      5               2                3.4       
6743      6775      5               2                8.0       
6787      6802      5               2                2.8       
6834      6858      3               2                9.0       
6859      6878      5               2                4.0       
6879      6905      3               2                9.9       
6920      6930      3               2                2.9       
7158      7174      3               2                5.4       
7232      7248      5               2                3.1       
7249      7689      3               2                62.2      
7744      7761      3               2                5.9       
7851      7872      5               2                2.4       
8516      8611      5               2                28.3      
1         2359      5               3                504.0     
2858      3072      5               3                50.2      
5253      5259      4               3                3.6       
7034      7170      5               3                10.6      
8535      8611      5               3                12.7      
