3 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
456       543       2               14               21.7       ERR129212
508       606       1               37               7.3        ERR065325
508       606       1               42               7.3        ERR065960
456       543       2               92               21.7       ERR069748
508       606       1               106              7.3        ERR068014
508       606       1               113              7.3        ERR129094
456       543       2               114              21.7       ERR069689
508       606       1               122              7.3        ERR069792
508       606       1               140              7.3        ERR068031
456       543       2               165              21.7       ERR129180
508       606       1               174              7.3        ERR065354
508       606       1               210              7.3        ERR069737
508       606       1               228              7.3        ERR129050
508       606       1               232              7.3        ERR129206
456       543       2               270              21.7       ERR068006
508       606       1               280              7.3        ERR129045
456       543       2               282              21.7       ERR069832
456       543       2               303              21.7       ERR069716
456       543       2               311              21.7       ERR069750
508       606       1               329              7.3        ERR069692
508       606       1               332              7.3        ERR069723
508       606       1               359              7.3        ERR069722
456       543       2               361              21.7       ERR069701
508       606       1               365              7.3        ERR065299
508       606       1               407              7.3        ERR069697
498       591       5               421              13.5       ERR129151
508       606       1               444              7.3        ERR065349
508       606       1               468              7.3        ERR069810
456       543       2               477              21.7       ERR067983
456       543       2               496              21.7       ERR067989
508       606       1               525              7.3        ERR068009
498       591       5               548              13.5       ERR069815
508       606       1               571              7.3        ERR068022
508       576       1               598              3.5        ERR069808
508       606       1               605              7.3        ERR129095
