StrainIndex  Lineage  Cluster  Name
1            2        8        ERR069738
2            2        2        ERR065974
3            2        4        ERR129065
4            2        5        ERR129037
5            2        7        ERR069700
6            2        6        ERR124247
7            2        8        ERR124222
8            2        6        ERR065305
9            2        6        ERR069786
10           2        7        ERR129179
11           2        8        ERR129176
12           2        7        ERR069709
13           2        5        ERR067985
14           2        5        ERR129212
15           2        7        ERR068037
16           2        7        ERR069814
17           2        7        ERR124241
18           2        6        ERR069795
19           2        6        ERR124293
20           2        6        ERR069735
21           2        4        ERR069773
22           2        7        ERR067966
23           2        4        ERR129029
24           2        3        ERR129105
25           2        5        ERR124226
26           2        3        ERR129196
27           2        8        ERR069823
28           2        6        ERR124319
29           2        7        ERR068001
30           2        8        ERR129117
31           2        8        ERR069764
32           2        7        ERR068007
33           2        6        ERR068008
34           2        7        ERR067969
35           2        7        ERR069703
36           2        3        ERR129195
37           2        8        ERR065325
38           2        8        ERR124256
39           2        7        ERR129087
40           2        8        ERR069819
41           2        6        ERR129129
42           2        8        ERR065960
43           2        6        ERR069796
44           2        5        ERR065326
45           2        8        ERR069712
46           2        8        ERR124244
47           2        8        ERR129075
48           2        5        ERR069713
49           2        4        ERR069826
50           2        2        ERR065341
51           2        6        ERR069771
52           2        8        ERR069706
53           2        6        ERR065970
54           2        2        ERR129130
55           2        8        ERR129096
56           2        4        ERR129107
57           2        8        ERR069809
58           2        4        ERR065302
59           2        8        ERR129187
60           2        7        ERR124314
61           2        7        ERR069686
62           2        8        ERR069824
63           2        8        ERR068048
64           2        6        ERR065972
65           2        7        ERR129164
66           2        7        ERR069688
67           2        7        ERR069685
68           2        8        ERR124307
69           2        7        ERR067962
70           2        8        ERR124257
71           2        5        ERR129127
72           2        3        ERR065301
73           2        4        ERR124287
74           2        7        ERR068025
75           2        8        ERR067964
76           2        7        ERR069811
77           2        5        ERR069727
78           2        6        ERR129063
79           2        5        ERR065332
80           2        7        ERR129028
81           2        6        ERR065287
82           2        8        ERR129213
83           2        4        ERR129155
84           2        6        ERR129042
85           2        7        ERR129148
86           2        4        ERR129040
87           2        8        ERR069835
88           2        4        ERR129146
89           2        6        ERR129102
90           2        8        ERR069729
91           2        7        ERR129152
92           2        5        ERR069748
93           2        8        ERR069843
94           2        6        ERR124229
95           2        7        ERR129088
96           2        5        ERR069752
97           2        8        ERR065350
98           2        6        ERR129149
99           2        5        ERR129214
100          2        6        ERR069833
101          2        8        ERR124310
102          2        5        ERR068046
103          2        5        ERR129215
104          2        6        ERR129140
105          2        6        ERR069831
106          2        6        ERR068014
107          2        6        ERR124315
108          2        8        ERR124255
109          2        3        ERR065342
110          2        6        ERR124235
111          2        5        ERR129159
112          2        8        ERR129204
113          2        6        ERR129094
114          2        5        ERR069689
115          2        6        ERR069751
116          2        7        ERR068005
117          2        7        ERR069749
118          2        7        ERR067981
119          2        7        ERR067996
120          2        4        ERR129052
121          2        7        ERR069785
122          2        8        ERR069792
123          2        7        ERR124271
124          2        6        ERR069687
125          2        7        ERR124277
126          2        8        ERR124228
127          2        8        ERR129044
128          2        7        ERR065353
129          2        7        ERR129074
130          2        6        ERR069817
131          2        7        ERR065953
132          2        4        ERR129076
133          2        5        ERR129154
134          2        5        ERR069725
135          2        5        ERR068040
136          2        8        ERR129051
137          2        8        ERR129157
138          2        8        ERR124311
139          2        8        ERR069746
140          2        8        ERR068031
141          2        5        ERR067986
142          2        5        ERR124291
143          2        4        ERR129055
144          2        4        ERR069780
145          2        7        ERR065327
146          2        5        ERR069822
147          2        6        ERR129207
148          2        6        ERR124288
149          2        5        ERR129026
150          2        8        ERR124218
151          2        4        ERR068027
152          2        7        ERR069710
153          2        5        ERR065310
154          2        6        ERR129160
155          2        7        ERR065300
156          2        7        ERR069789
157          2        7        ERR065343
158          2        4        ERR069802
159          2        6        ERR129170
160          2        8        ERR129048
161          2        8        ERR065968
162          2        2        ERR065965
163          2        6        ERR068044
164          2        5        ERR129180
165          2        8        ERR068016
166          2        7        ERR065324
167          2        6        ERR129112
168          2        7        ERR129158
169          2        5        ERR069698
170          2        8        ERR069812
171          2        5        ERR124302
172          2        7        ERR129083
173          2        8        ERR065354
174          2        7        ERR069787
175          2        6        ERR068017
176          2        8        ERR129066
177          2        7        ERR129039
178          2        7        ERR065329
179          2        6        ERR124269
180          2        6        ERR129200
181          2        7        ERR067995
182          2        7        ERR068012
183          2        5        ERR124274
184          2        2        ERR067993
185          2        6        ERR069708
186          2        4        ERR129106
187          2        6        ERR069717
188          2        6        ERR067974
189          2        7        ERR069744
190          2        5        ERR129210
191          2        6        ERR129108
192          2        8        ERR129132
193          2        6        ERR069711
194          2        7        ERR068019
195          2        7        ERR129099
196          2        6        ERR129059
197          2        8        ERR065292
198          2        8        ERR067961
199          2        4        ERR069820
200          2        7        ERR129216
201          2        4        ERR129116
202          2        7        ERR124250
203          2        8        ERR069690
204          2        8        ERR065973
205          2        8        ERR065309
206          2        5        ERR124283
207          2        5        ERR065293
208          2        8        ERR069737
209          2        7        ERR124316
210          2        8        ERR065304
211          2        3        ERR129144
212          2        7        ERR124232
213          2        8        ERR068018
214          2        5        ERR124296
215          2        6        ERR067960
216          2        6        ERR068050
217          2        8        ERR068039
218          2        7        ERR068004
219          2        6        ERR129032
220          2        8        ERR124248
221          2        5        ERR068041
222          2        7        ERR129086
223          2        6        ERR065317
224          2        7        ERR069834
225          2        8        ERR069720
226          2        8        ERR129050
227          2        5        ERR129064
228          2        4        ERR069830
229          2        6        ERR069774
230          2        6        ERR129206
231          2        5        ERR069801
232          2        5        ERR124221
233          2        5        ERR129080
234          2        5        ERR068026
235          2        4        ERR129147
236          2        6        ERR069829
237          2        3        ERR129077
238          2        7        ERR067994
239          2        7        ERR069726
240          2        7        ERR065338
241          2        7        ERR129041
242          2        5        ERR065297
243          2        6        ERR129120
244          2        5        ERR129061
245          2        4        ERR124219
246          2        4        ERR065345
247          2        8        ERR124305
248          2        5        ERR069769
249          2        6        ERR065295
250          2        8        ERR069768
251          2        6        ERR129197
252          2        8        ERR065967
253          2        7        ERR124223
254          2        7        ERR069734
255          2        6        ERR129167
256          2        7        ERR129143
257          2        6        ERR124299
258          2        7        ERR129092
259          2        8        ERR129090
260          2        6        ERR068002
261          2        8        ERR068003
262          2        5        ERR124268
263          2        8        ERR129181
264          2        6        ERR069696
265          2        6        ERR129072
266          2        8        ERR065344
267          2        8        ERR129111
268          2        5        ERR068006
269          2        8        ERR068035
270          2        7        ERR069798
271          2        2        ERR124278
272          2        5        ERR069760
273          2        6        ERR067984
274          2        8        ERR069782
275          2        7        ERR124236
276          2        6        ERR068045
277          2        8        ERR065959
278          2        8        ERR129045
279          2        6        ERR069781
280          2        5        ERR069832
281          2        5        ERR065320
282          2        8        ERR124292
283          2        6        ERR129186
284          2        6        ERR124308
285          2        6        ERR129043
286          2        6        ERR069805
287          2        6        ERR124220
288          2        4        ERR069800
289          2        7        ERR068021
290          2        3        ERR067998
291          2        8        ERR124312
292          2        7        ERR065971
293          2        6        ERR068034
294          2        4        ERR065311
295          2        8        ERR068020
296          2        8        ERR069767
297          2        4        ERR067967
298          2        6        ERR069691
299          2        4        ERR129161
300          2        5        ERR069716
301          2        7        ERR124289
302          2        6        ERR129153
303          2        8        ERR129057
304          2        8        ERR067977
