1 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
716       729       4               1                4.7        ERR069738
716       729       4               15               4.7        ERR068037
716       729       4               55               4.7        ERR129096
716       729       4               61               4.7        ERR069686
716       729       4               66               4.7        ERR069688
716       729       4               68               4.7        ERR124307
716       729       4               112              4.7        ERR129204
716       729       4               119              4.7        ERR067996
716       729       4               157              4.7        ERR065343
716       729       4               222              4.7        ERR124248
716       729       4               299              4.7        ERR069767
716       729       4               360              4.7        ERR124260
716       729       4               376              4.7        ERR069778
716       729       4               401              4.7        ERR129156
716       729       4               431              4.7        ERR069836
716       729       4               464              4.7        ERR067965
716       729       4               470              4.7        ERR124318
716       729       4               566              4.7        ERR069783
