StrainIndex  Lineage  Cluster  Name
1            2        7        ERR069738
2            2        6        ERR065974
3            2        2        ERR129065
4            2        5        ERR129037
5            2        7        ERR069700
6            2        7        ERR124247
7            2        7        ERR124222
8            2        7        ERR065305
9            2        7        ERR069786
10           2        6        ERR129179
11           2        7        ERR129176
12           2        5        ERR069709
13           2        5        ERR067985
14           2        6        ERR129212
15           2        7        ERR068037
16           2        6        ERR069814
17           2        6        ERR124241
18           2        7        ERR069795
19           2        6        ERR124293
20           2        7        ERR069735
21           2        4        ERR069773
22           2        7        ERR067966
23           2        2        ERR129029
24           2        4        ERR129105
25           2        4        ERR124226
26           2        4        ERR129196
27           2        7        ERR069823
28           2        3        ERR124319
29           2        5        ERR068001
30           2        7        ERR129117
31           2        4        ERR069764
32           2        6        ERR068007
33           2        7        ERR068008
34           2        7        ERR067969
35           2        6        ERR069703
36           2        4        ERR129195
37           2        6        ERR065325
38           2        3        ERR124256
39           2        7        ERR069819
40           2        7        ERR129129
41           2        6        ERR065960
42           2        7        ERR069796
43           2        5        ERR065326
44           2        6        ERR069712
45           2        3        ERR124244
46           2        7        ERR129075
47           2        5        ERR069713
48           2        2        ERR069826
49           2        6        ERR065341
50           2        7        ERR069771
51           2        7        ERR069706
52           2        7        ERR065970
53           2        6        ERR129130
54           2        7        ERR129096
55           2        5        ERR129107
56           2        3        ERR069809
57           2        4        ERR065302
58           2        6        ERR129187
59           2        7        ERR124314
60           2        7        ERR069686
61           2        4        ERR069824
62           2        3        ERR068048
63           2        7        ERR065972
64           2        7        ERR129164
65           2        7        ERR069688
66           2        7        ERR069685
67           2        7        ERR124307
68           2        6        ERR067962
69           2        3        ERR124257
70           2        5        ERR129127
71           2        4        ERR065301
72           2        6        ERR124287
73           2        3        ERR068025
74           2        7        ERR067964
75           2        6        ERR069811
76           2        5        ERR069727
77           2        7        ERR129063
78           2        6        ERR065332
79           2        6        ERR129028
80           2        7        ERR065287
81           2        7        ERR129213
82           2        5        ERR129155
83           2        7        ERR129042
84           2        6        ERR129148
85           2        4        ERR129040
86           2        7        ERR069835
87           2        6        ERR129146
88           2        6        ERR129102
89           2        4        ERR069729
90           2        6        ERR129152
91           2        6        ERR069748
92           2        7        ERR069843
93           2        7        ERR124229
94           2        7        ERR129088
95           2        5        ERR069752
96           2        3        ERR065350
97           2        7        ERR129149
98           2        5        ERR129214
99           2        7        ERR069833
100          2        7        ERR124310
101          2        5        ERR068046
102          2        5        ERR129215
103          2        7        ERR129140
104          2        7        ERR069831
105          2        4        ERR068014
106          2        7        ERR124315
107          2        7        ERR124255
108          2        4        ERR065342
109          2        7        ERR124235
110          2        5        ERR129159
111          2        7        ERR129204
112          2        4        ERR129094
113          2        6        ERR069689
114          2        7        ERR069751
115          2        4        ERR068005
116          2        6        ERR069749
117          2        7        ERR067981
118          2        7        ERR067996
119          2        2        ERR129052
120          2        7        ERR069785
121          2        7        ERR069792
122          2        6        ERR124271
123          2        7        ERR069687
124          2        6        ERR124277
125          1        1        ERR124228
126          2        2        ERR129044
127          2        7        ERR065353
128          2        6        ERR129074
129          2        7        ERR069817
130          2        5        ERR065953
131          2        7        ERR129076
132          2        5        ERR129154
133          2        6        ERR069725
134          2        5        ERR068040
135          2        6        ERR129051
136          2        7        ERR129157
137          2        3        ERR124311
138          2        7        ERR069746
139          2        7        ERR068031
140          2        5        ERR067986
141          2        5        ERR124291
142          2        6        ERR129055
143          2        2        ERR069780
144          2        6        ERR065327
145          2        5        ERR069822
146          2        7        ERR129207
147          2        3        ERR124288
148          2        6        ERR129026
149          2        5        ERR124218
150          2        2        ERR068027
151          2        5        ERR069710
152          2        5        ERR065310
153          2        7        ERR129160
154          2        6        ERR065300
155          2        6        ERR069789
156          2        7        ERR065343
157          2        5        ERR069802
158          2        4        ERR129027
159          2        7        ERR129170
160          2        7        ERR129048
161          2        6        ERR065968
162          2        6        ERR065965
163          2        5        ERR068044
164          2        6        ERR129180
165          2        3        ERR068016
166          2        6        ERR065324
167          2        7        ERR129112
168          2        7        ERR129158
169          2        6        ERR069698
170          2        7        ERR069812
171          2        5        ERR124302
172          2        6        ERR129083
173          2        7        ERR065354
174          2        7        ERR069787
175          2        7        ERR068017
176          2        3        ERR129066
177          2        6        ERR129039
178          2        6        ERR065329
179          2        7        ERR124269
180          2        6        ERR129200
