StrainIndex  Lineage  Cluster  Name
1            5        10       ERR069738
2            1        2        ERR065974
3            4        6        ERR129065
4            3        8        ERR129037
5            4        6        ERR069700
6            4        9        ERR124247
7            5        4        ERR124222
8            4        9        ERR065305
9            3        1        ERR069786
10           5        10       ERR129179
11           2        3        ERR129176
12           5        10       ERR069709
13           3        8        ERR067985
14           4        6        ERR129212
15           5        10       ERR068037
16           3        8        ERR069814
17           5        10       ERR124241
18           4        9        ERR069795
19           5        10       ERR124293
20           2        3        ERR069735
21           5        7        ERR069773
22           4        6        ERR067966
23           1        2        ERR129029
24           4        5        ERR129105
25           4        9        ERR124226
26           4        5        ERR129196
27           5        10       ERR069823
28           2        3        ERR124319
29           5        10       ERR068001
30           2        3        ERR129117
31           4        5        ERR069764
32           3        8        ERR068007
33           4        9        ERR068008
34           4        6        ERR067969
35           5        10       ERR069703
36           4        5        ERR129195
37           4        9        ERR065325
38           5        10       ERR124256
39           5        10       ERR129087
40           2        3        ERR069819
41           4        9        ERR129129
42           4        9        ERR065960
43           4        9        ERR069796
44           3        8        ERR065326
45           5        7        ERR069712
46           3        8        ERR124244
47           5        4        ERR129075
48           3        8        ERR069713
49           4        6        ERR069826
50           1        2        ERR065341
51           4        9        ERR069771
52           5        4        ERR069706
53           4        9        ERR065970
54           1        2        ERR129130
55           5        10       ERR129096
56           4        6        ERR129107
57           5        10       ERR069809
58           5        7        ERR065302
59           4        5        ERR129187
60           4        6        ERR124314
61           5        10       ERR069686
62           5        7        ERR069824
63           5        7        ERR068048
64           4        9        ERR065972
65           5        7        ERR129164
66           5        10       ERR069688
67           3        1        ERR069685
68           5        10       ERR124307
69           5        10       ERR067962
70           3        8        ERR124257
71           3        8        ERR129127
72           4        5        ERR065301
73           4        5        ERR124287
74           4        5        ERR068025
75           5        10       ERR067964
76           4        5        ERR069811
77           3        8        ERR069727
78           4        9        ERR129063
79           3        8        ERR065332
80           5        10       ERR129028
81           4        9        ERR065287
82           2        3        ERR129213
83           4        6        ERR129155
84           2        3        ERR129042
85           5        10       ERR129148
86           5        7        ERR129040
87           5        10       ERR069835
88           4        5        ERR129146
89           2        3        ERR129102
90           5        7        ERR069729
91           4        5        ERR129152
92           4        6        ERR069748
93           5        4        ERR069843
