3 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
393       419       1               1                1.1        ERR129065
736       750       1               3                0.9        ERR124247
393       419       1               15               1.1        ERR129029
393       419       1               28               1.1        ERR069826
393       419       1               29               1.1        ERR129107
393       419       1               41               1.1        ERR124287
393       419       1               45               1.1        ERR129155
393       419       1               50               1.1        ERR129146
393       419       1               63               1.1        ERR129052
736       750       1               65               0.9        ERR124271
393       419       1               71               1.1        ERR129076
393       419       1               81               1.1        ERR129055
393       419       1               82               1.1        ERR069780
393       419       1               85               1.1        ERR068027
393       419       1               91               1.1        ERR069802
393       419       1               109              1.1        ERR129106
393       419       1               119              1.1        ERR129116
393       419       1               139              1.1        ERR069830
393       419       1               144              1.1        ERR129147
736       750       1               149              0.9        ERR129041
393       419       1               152              1.1        ERR124219
700       778       4               167              1.7        ERR069782
393       419       1               175              1.1        ERR069800
393       419       1               177              1.1        ERR065311
393       419       1               179              1.1        ERR067967
393       419       1               180              1.1        ERR129161
736       750       1               181              0.9        ERR124289
393       419       1               189              1.1        ERR065966
393       419       1               195              1.1        ERR067976
393       419       1               196              1.1        ERR065307
393       419       1               201              1.1        ERR069790
736       750       1               202              0.9        ERR124309
736       750       1               211              0.9        ERR129184
393       419       1               220              1.1        ERR068015
393       419       1               224              1.1        ERR065355
393       419       1               225              1.1        ERR069777
393       419       1               230              1.1        ERR069807
393       419       1               238              1.1        ERR065306
393       419       1               240              1.1        ERR065313
393       419       1               247              1.1        ERR129082
393       419       1               248              1.1        ERR069743
393       419       1               249              1.1        ERR067980
736       750       1               254              0.9        ERR065318
393       419       1               262              1.1        ERR065955
393       419       1               273              1.1        ERR065322
393       419       1               282              1.1        ERR129208
393       419       1               288              1.1        ERR129205
734       750       1               289              0.5        ERR067990
393       419       1               290              1.1        ERR069694
393       419       1               300              1.1        ERR124245
393       419       1               306              1.1        ERR129192
393       419       1               308              1.1        ERR069736
393       419       1               309              1.1        ERR129098
393       419       1               312              1.1        ERR065339
393       419       1               313              1.1        ERR124238
393       419       1               323              1.1        ERR067973
393       419       1               329              1.1        ERR065331
393       419       1               333              1.1        ERR129141
393       419       1               339              1.1        ERR129133
393       419       1               340              1.1        ERR065348
393       419       1               346              1.1        ERR129171
393       419       1               347              1.1        ERR129122
393       419       1               348              1.1        ERR129100
