6 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
734       786       5               3                21.8       ERR124247
691       773       2               8                52.6       ERR069773
1         336       4               12               0.8        ERR124226
665       773       2               12               43.3       ERR124226
263       336       3               25               2.2        ERR124244
691       773       2               31               52.6       ERR065302
691       773       2               47               52.6       ERR129040
301       325       3               67               3.4        ERR068005
691       773       2               130              50.6       ERR068039
1         336       4               135              0.8        ERR129064
665       773       2               135              43.3       ERR129064
1         336       4               148              0.8        ERR069769
665       773       2               148              43.3       ERR069769
301       325       3               152              3.4        ERR124223
301       325       3               197              3.4        ERR069759
301       325       3               209              3.6        ERR069741
691       773       2               219              52.6       ERR129124
176       394       2               251              2.1        ERR129151
691       773       2               253              52.6       ERR065321
1         242       5               262              1.2        ERR067982
691       773       2               321              52.6       ERR129188
691       773       2               325              52.6       ERR069775
176       394       2               329              2.1        ERR069815
301       325       3               366              3.4        ERR067979
