1 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
177       193       3               27               0.7        ERR069823
177       193       3               64               0.7        ERR129164
177       193       3               74               0.7        ERR067964
177       193       3               86               0.7        ERR069835
177       193       3               94               0.7        ERR129088
177       193       3               117              0.7        ERR067981
177       193       3               137              0.7        ERR069746
177       193       3               167              0.7        ERR129158
177       193       3               169              0.7        ERR069812
177       193       3               181              0.7        ERR068012
177       193       3               196              0.7        ERR065292
177       193       3               252              0.7        ERR065967
177       193       3               266              0.7        ERR065344
177       193       3               312              0.7        ERR069683
177       193       3               333              0.7        ERR065962
177       193       3               398              0.7        ERR069755
177       193       3               417              0.7        ERR124285
177       193       3               418              0.7        ERR129126
177       193       3               460              0.7        ERR069765
177       193       3               487              0.7        ERR124231
177       193       3               525              0.7        ERR065330
177       193       3               530              0.7        ERR069719
177       193       3               541              0.7        ERR069770
177       193       3               549              0.7        ERR069721
177       193       3               560              0.7        ERR129199
177       193       3               579              0.7        ERR069740
