StrainIndex  Lineage  Cluster  Name
1            1        2        ERR069735
2            2        3        ERR124257
3            4        5        ERR069843
4            3        4        ERR124310
5            4        5        ERR065973
6            3        4        ERR124305
7            4        5        ERR068035
8            4        5        ERR129062
9            3        4        ERR124266
10           4        5        ERR068036
11           1        2        ERR069838
12           2        1        ERR067982
13           3        4        ERR124265
14           2        3        ERR129185
15           4        5        ERR067990
16           3        4        ERR129145
17           2        3        ERR067972
