StrainIndex  Lineage  Cluster  Name
1            3        10       ERR069738
2            2        7        ERR065974
3            3        5        ERR129065
4            3        8        ERR129037
5            3        4        ERR069700
6            2        7        ERR124247
7            1        1        ERR124222
8            3        4        ERR065305
9            3        6        ERR069786
10           3        10       ERR129179
11           3        8        ERR129176
12           1        2        ERR069709
13           3        8        ERR067985
14           2        3        ERR129212
15           3        10       ERR068037
16           2        3        ERR069814
17           3        10       ERR124241
18           3        9        ERR069795
19           3        10       ERR124293
20           3        6        ERR069735
21           3        10       ERR069773
22           3        4        ERR067966
23           3        5        ERR129029
24           3        10       ERR129105
25           3        9        ERR124226
26           3        10       ERR129196
27           3        6        ERR069823
28           3        8        ERR124319
29           1        2        ERR068001
30           3        8        ERR129117
31           1        2        ERR069764
32           2        3        ERR068007
33           3        9        ERR068008
34           3        4        ERR067969
35           3        10       ERR069703
36           3        10       ERR129195
37           3        4        ERR065325
38           2        7        ERR124256
39           3        10       ERR129087
40           3        6        ERR069819
41           3        9        ERR129129
42           3        4        ERR065960
43           3        9        ERR069796
44           3        8        ERR065326
45           2        7        ERR069712
46           2        7        ERR124244
47           1        1        ERR129075
48           3        8        ERR069713
49           3        5        ERR069826
50           2        7        ERR065341
51           3        9        ERR069771
52           1        1        ERR069706
53           3        9        ERR065970
54           2        7        ERR129130
55           3        10       ERR129096
56           3        5        ERR129107
57           2        7        ERR069809
58           3        10       ERR065302
59           2        3        ERR129187
60           3        4        ERR124314
61           3        10       ERR069686
62           3        6        ERR069824
63           2        7        ERR068048
64           3        9        ERR065972
65           2        7        ERR129164
66           3        10       ERR069688
67           2        3        ERR069685
68           3        10       ERR124307
69           3        10       ERR067962
70           2        3        ERR124257
71           3        8        ERR129127
72           3        10       ERR065301
73           3        5        ERR124287
74           3        6        ERR068025
75           3        6        ERR067964
76           3        6        ERR069811
77           3        8        ERR069727
78           3        9        ERR129063
79           2        7        ERR065332
80           1        2        ERR129028
81           3        10       ERR065287
82           3        8        ERR129213
83           3        5        ERR129155
84           3        8        ERR129042
85           3        10       ERR129148
86           3        10       ERR129040
87           3        6        ERR069835
88           3        5        ERR129146
89           2        3        ERR129102
90           3        6        ERR069729
91           3        6        ERR129152
92           2        3        ERR069748
93           1        1        ERR069843
94           3        9        ERR124229
95           2        7        ERR129088
96           3        8        ERR069752
97           2        7        ERR065350
98           3        9        ERR129149
99           3        8        ERR129214
100          3        9        ERR069833
101          3        6        ERR124310
102          3        8        ERR068046
103          3        8        ERR129215
104          3        9        ERR129140
105          3        9        ERR069831
106          3        10       ERR068014
107          3        9        ERR124315
108          1        1        ERR124255
109          3        10       ERR065342
110          3        8        ERR124235
111          3        8        ERR129159
112          3        10       ERR129204
113          3        10       ERR129094
114          2        3        ERR069689
115          3        9        ERR069751
116          3        6        ERR068005
117          3        10       ERR069749
118          2        7        ERR067981
119          3        10       ERR067996
120          3        5        ERR129052
121          3        9        ERR069785
122          3        4        ERR069792
123          2        7        ERR124271
124          3        9        ERR069687
125          3        10       ERR124277
126          3        8        ERR124228
127          3        6        ERR129044
128          1        2        ERR065353
129          3        10       ERR129074
130          3        9        ERR069817
131          1        2        ERR065953
132          3        5        ERR129076
133          3        8        ERR129154
134          2        7        ERR069725
135          3        8        ERR068040
136          2        7        ERR129051
137          3        8        ERR129157
138          2        3        ERR124311
139          3        6        ERR069746
140          3        4        ERR068031
141          3        8        ERR067986
142          3        8        ERR124291
143          3        5        ERR129055
144          3        5        ERR069780
145          3        6        ERR065327
146          3        8        ERR069822
147          3        9        ERR129207
148          3        8        ERR124288
149          2        7        ERR129026
150          2        3        ERR124218
151          3        5        ERR068027
152          1        2        ERR069710
153          3        8        ERR065310
154          3        9        ERR129160
155          3        10       ERR065300
156          2        3        ERR069789
157          3        10       ERR065343
158          3        5        ERR069802
159          1        2        ERR129027
160          3        9        ERR129170
161          3        6        ERR129048
162          2        7        ERR065968
163          2        7        ERR065965
164          3        10       ERR068044
165          2        3        ERR129180
166          3        4        ERR068016
167          3        10       ERR065324
168          3        9        ERR129112
169          2        7        ERR129158
170          2        7        ERR069698
171          3        6        ERR069812
172          3        8        ERR124302
173          1        2        ERR129083
174          3        4        ERR065354
175          3        4        ERR069787
176          3        9        ERR068017
177          3        4        ERR129066
178          3        6        ERR129039
179          3        10       ERR065329
180          3        9        ERR124269
181          3        10       ERR129200
182          3        10       ERR067995
183          2        7        ERR068012
184          3        9        ERR124274
185          2        7        ERR067993
186          3        8        ERR069708
187          3        5        ERR129106
188          3        9        ERR069717
189          3        9        ERR067974
190          3        4        ERR069744
191          3        8        ERR129210
192          3        9        ERR129108
193          2        7        ERR129132
194          3        9        ERR069711
195          3        10       ERR068019
196          3        10       ERR129099
197          3        9        ERR129059
198          3        6        ERR065292
199          3        8        ERR067961
200          2        7        ERR069820
201          1        2        ERR129216
202          3        5        ERR129116
203          3        10       ERR124250
204          2        7        ERR069690
205          1        1        ERR065973
206          3        6        ERR065309
207          2        7        ERR124283
208          2        7        ERR065293
209          3        4        ERR069825
210          3        4        ERR069737
211          3        10       ERR124316
212          3        4        ERR065304
213          3        10       ERR129144
214          3        6        ERR124232
215          2        7        ERR068018
216          3        8        ERR124296
217          3        9        ERR067960
218          3        9        ERR068050
219          3        10       ERR068039
220          1        2        ERR068004
221          3        9        ERR129032
222          3        10       ERR124248
223          2        3        ERR068041
224          3        10       ERR129086
225          3        4        ERR065317
226          3        10       ERR069834
227          1        1        ERR069720
228          3        4        ERR129050
229          3        10       ERR129064
230          3        5        ERR069830
231          3        9        ERR069774
232          3        10       ERR129206
233          3        8        ERR069801
234          2        7        ERR124221
235          3        8        ERR129080
236          2        7        ERR068026
237          3        5        ERR129147
238          3        9        ERR069829
239          3        10       ERR129077
240          3        6        ERR067994
241          3        10       ERR069726
242          3        10       ERR065338
243          2        7        ERR129041
244          2        7        ERR065297
245          3        9        ERR129120
246          2        7        ERR129061
247          3        5        ERR124219
248          3        5        ERR065345
249          3        6        ERR124305
250          3        9        ERR069769
251          3        6        ERR065295
252          2        7        ERR069768
253          3        9        ERR129197
254          3        6        ERR065967
255          1        2        ERR124223
256          1        2        ERR069734
257          3        8        ERR129167
258          3        10       ERR129143
259          3        10       ERR124299
260          1        2        ERR129092
261          2        7        ERR129090
262          3        10       ERR068002
263          1        1        ERR068003
264          3        8        ERR124268
265          1        2        ERR129181
266          3        9        ERR069696
267          3        9        ERR129072
268          3        6        ERR065344
269          3        6        ERR129111
270          2        3        ERR068006
271          1        1        ERR068035
272          2        3        ERR069798
273          2        7        ERR124278
274          3        8        ERR069760
275          3        9        ERR067984
276          3        6        ERR069782
277          3        10       ERR124236
278          3        10       ERR068045
279          3        4        ERR065959
280          3        4        ERR129045
281          3        9        ERR069781
282          2        3        ERR069832
283          2        7        ERR065320
284          3        8        ERR124292
285          3        9        ERR129186
286          3        8        ERR124308
287          3        8        ERR129043
288          3        9        ERR069805
289          3        10       ERR124220
290          3        5        ERR069800
291          2        3        ERR068021
292          3        10       ERR067998
293          3        8        ERR124312
294          2        3        ERR065971
295          3        4        ERR129183
296          3        9        ERR068034
297          3        5        ERR065311
298          2        7        ERR068020
299          3        10       ERR069767
300          3        5        ERR067967
301          3        9        ERR069691
302          3        5        ERR129161
303          2        3        ERR069716
304          2        7        ERR124289
305          3        9        ERR129153
306          2        3        ERR129057
307          2        7        ERR067977
308          3        8        ERR129131
309          3        6        ERR069772
310          3        4        ERR124281
311          2        3        ERR069750
312          2        7        ERR069715
313          3        8        ERR124227
314          2        7        ERR069683
315          3        6        ERR069813
316          3        6        ERR124253
317          2        7        ERR069724
318          3        5        ERR065966
319          2        7        ERR069803
320          3        9        ERR124267
321          3        6        ERR124254
322          2        3        ERR129168
323          3        10       ERR124320
324          3        6        ERR065298
325          3        8        ERR069804
326          3        8        ERR065303
327          3        6        ERR065957
328          2        7        ERR068042
329          3        4        ERR069692
330          2        7        ERR124249
331          3        6        ERR069759
332          3        4        ERR069723
333          3        5        ERR067976
334          3        5        ERR065307
335          3        6        ERR065962
336          3        9        ERR069745
337          3        9        ERR129081
338          2        7        ERR129198
339          1        2        ERR069742
340          3        8        ERR069718
341          3        8        ERR124224
342          3        5        ERR069790
343          1        2        ERR069827
344          3        9        ERR129142
345          2        7        ERR124309
346          3        6        ERR069806
347          3        8        ERR129068
348          3        9        ERR067978
349          3        6        ERR069741
350          1        2        ERR129136
351          1        1        ERR129062
352          3        6        ERR129203
353          2        7        ERR068032
354          3        6        ERR065316
355          3        6        ERR124217
356          3        4        ERR067991
357          3        9        ERR124284
358          3        8        ERR129079
359          3        5        ERR069722
360          3        10       ERR124260
361          2        3        ERR069701
362          3        9        ERR129162
363          3        10       ERR129124
364          3        8        ERR124246
365          3        4        ERR065299
366          2        7        ERR129184
367          1        1        ERR124233
368          3        6        ERR124266
369          3        10       ERR069818
370          3        10       ERR068029
371          2        7        ERR124239
372          3        10       ERR124279
373          3        9        ERR129175
374          1        2        ERR065294
375          3        8        ERR129139
376          3        10       ERR069778
377          3        5        ERR068015
378          3        4        ERR129128
379          3        10       ERR129163
380          2        7        ERR068028
381          3        5        ERR065355
382          3        8        ERR068023
383          3        5        ERR069777
384          1        1        ERR069791
385          3        9        ERR124263
386          3        9        ERR069704
387          3        10       ERR129134
388          3        9        ERR129025
389          3        10       ERR065351
390          3        5        ERR069807
391          3        9        ERR129209
392          3        9        ERR069761
393          3        9        ERR129034
394          2        3        ERR129172
395          3        8        ERR124240
396          1        2        ERR065315
397          3        5        ERR065346
398          2        7        ERR069731
399          3        9        ERR069828
400          3        6        ERR069755
401          3        10       ERR129156
402          3        10       ERR067988
403          3        10       ERR069714
404          1        1        ERR068036
405          2        3        ERR129071
406          3        10       ERR129035
407          3        4        ERR069697
408          3        5        ERR065306
409          3        6        ERR069838
410          3        5        ERR065313
411          3        4        ERR129038
412          3        8        ERR124294
