3 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
1017      1363      5               16               64.7       ERR129187
1312      1368      5               36               26.1       ERR124228
1312      1368      5               51               26.1       ERR067961
1312      1368      5               60               26.1       ERR129064
1         726       2               67               4.4        ERR068003
1312      1368      5               72               26.1       ERR124292
1312      1368      5               76               26.1       ERR124312
1312      1368      5               89               26.1       ERR069718
1312      1368      5               90               26.1       ERR124224
1312      1368      5               111              26.1       ERR124243
1312      1368      5               120              26.1       ERR129067
1312      1368      5               143              26.1       ERR129073
1017      1363      5               156              64.7       ERR129047
