2 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
316       456       5               2                2.5        ERR129037
316       456       5               6                2.5        ERR067985
316       456       5               23               2.5        ERR065326
316       456       5               26               2.5        ERR069713
316       456       5               39               2.5        ERR129127
316       456       5               43               2.5        ERR069727
316       456       5               55               2.5        ERR069752
316       456       5               58               2.5        ERR129214
316       456       5               61               2.5        ERR068046
316       456       5               62               2.5        ERR129215
316       456       5               66               2.5        ERR129159
316       456       5               74               2.5        ERR129154
316       456       5               76               2.5        ERR068040
316       456       5               80               2.5        ERR067986
316       456       5               81               2.5        ERR124291
316       456       5               83               2.5        ERR069822
316       456       5               87               2.5        ERR065310
316       456       5               99               2.5        ERR124302
316       456       5               109              2.5        ERR129210
316       456       5               124              2.5        ERR124296
316       456       5               129              2.5        ERR068041
316       456       5               135              2.5        ERR069801
316       456       5               137              2.5        ERR129080
316       456       5               151              2.5        ERR124268
316       456       5               161              2.5        ERR069760
316       456       5               179              2.5        ERR129131
316       456       5               190              2.5        ERR069804
316       456       5               200              2.5        ERR129068
316       456       5               207              2.5        ERR129079
316       456       5               211              2.5        ERR124246
316       456       5               218              2.5        ERR129139
316       456       5               227              2.5        ERR124240
316       672       5               236              1.3        ERR129053
316       456       5               246              2.5        ERR069707
316       456       5               248              2.5        ERR068047
316       456       5               260              2.5        ERR129178
316       456       5               268              2.5        ERR129177
316       456       5               270              2.5        ERR069839
316       456       5               277              2.5        ERR124242
316       456       5               280              2.5        ERR129137
316       456       5               285              1.6        ERR065308
316       456       5               299              2.5        ERR065964
316       456       5               314              2.5        ERR069837
316       456       5               318              2.5        ERR068000
316       456       5               346              2.5        ERR129093
1         246       2               347              2.0        ERR069808
316       456       5               349              2.5        ERR129211
316       456       5               352              2.5        ERR124298
