1 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
1103      1135      2               19               3.1        ERR129105
1103      1135      2               21               3.1        ERR129196
1103      1135      2               28               3.1        ERR129195
1103      1135      2               49               3.1        ERR065301
1103      1135      2               74               3.1        ERR065342
1103      1135      2               205              3.1        ERR067998
1103      1135      2               227              3.1        ERR124320
1103      1135      2               253              3.1        ERR069818
1103      1135      2               279              3.1        ERR069714
1103      1135      2               288              3.1        ERR129053
1103      1135      2               357              3.1        ERR069799
