3 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
1261      1305      3               39               9.5        ERR129087
1145      1170      3               126              2.0        ERR124228
1145      1170      3               199              2.0        ERR067961
1145      1170      3               284              2.0        ERR124292
1145      1170      3               293              2.0        ERR124312
1145      1170      3               340              2.0        ERR069718
1145      1170      3               341              2.0        ERR124224
1145      1170      3               413              2.0        ERR124243
1         66        2               414              0.7        ERR067975
1145      1170      3               439              2.0        ERR124276
1145      1170      3               443              2.0        ERR129067
1145      1170      3               547              2.0        ERR129073
1         66        2               598              0.7        ERR069808
