StrainIndex  Lineage  Cluster  Name
1            5        3        ERR069738
2            4        4        ERR129037
3            2        2        ERR069700
4            5        10       ERR124247
5            5        8        ERR124222
6            5        10       ERR065305
7            4        5        ERR069709
8            5        9        ERR067985
9            5        10       ERR129212
10           5        3        ERR068037
11           5        9        ERR069814
12           5        10       ERR069795
13           5        8        ERR069735
14           5        10       ERR069773
15           2        2        ERR067966
16           5        10       ERR129029
17           3        7        ERR129105
18           5        9        ERR124226
19           3        7        ERR129196
20           4        4        ERR069823
21           5        10       ERR124319
22           4        5        ERR068001
23           5        10       ERR069764
24           5        9        ERR068007
25           5        10       ERR068008
26           2        2        ERR067969
27           3        7        ERR129195
28           1        1        ERR065325
29           4        4        ERR124256
30           5        10       ERR069819
31           5        10       ERR129129
32           1        1        ERR065960
33           5        10       ERR069796
34           5        9        ERR065326
35           5        8        ERR069712
36           5        8        ERR124244
37           5        8        ERR129075
38           5        9        ERR069713
39           5        10       ERR069771
40           5        8        ERR069706
41           5        10       ERR065970
42           5        10       ERR129130
43           5        3        ERR129096
44           5        10       ERR129107
45           4        4        ERR069809
46           5        10       ERR065302
47           5        10       ERR129187
48           2        2        ERR124314
49           5        3        ERR069686
50           5        10       ERR069824
51           4        4        ERR068048
52           5        10       ERR065972
53           5        10       ERR129164
54           5        3        ERR069688
55           5        10       ERR069685
56           5        3        ERR124307
57           5        10       ERR067962
58           5        9        ERR124257
59           5        9        ERR129127
60           3        7        ERR065301
61           4        6        ERR068025
62           4        4        ERR067964
63           4        6        ERR069811
64           5        9        ERR069727
65           5        10       ERR129063
66           3        7        ERR065332
67           5        8        ERR129028
68           5        10       ERR065287
69           5        10       ERR129155
70           5        10       ERR129042
71           5        10       ERR129040
72           4        4        ERR069835
73           5        10       ERR129102
74           5        10       ERR069729
75           4        6        ERR129152
76           5        10       ERR069748
77           5        8        ERR069843
78           5        8        ERR129088
79           5        9        ERR069752
80           5        9        ERR065350
81           5        10       ERR129149
82           5        9        ERR129214
83           5        10       ERR069833
84           4        6        ERR124310
85           5        9        ERR068046
86           5        9        ERR129215
87           5        10       ERR129140
88           5        10       ERR069831
89           5        10       ERR068014
90           5        10       ERR124315
91           5        8        ERR124255
92           3        7        ERR065342
93           5        10       ERR124235
94           5        9        ERR129159
95           5        3        ERR129204
96           5        10       ERR129094
97           5        10       ERR069689
98           5        10       ERR069751
99           4        5        ERR068005
100          5        10       ERR069749
101          5        8        ERR067981
102          5        3        ERR067996
103          5        10       ERR069785
104          3        7        ERR069792
105          1        1        ERR124271
106          5        10       ERR069687
107          3        7        ERR124228
108          5        10       ERR129044
109          4        5        ERR065353
110          5        10       ERR069817
111          4        5        ERR065953
112          5        9        ERR129154
113          3        7        ERR069725
114          5        9        ERR068040
115          5        8        ERR129051
116          5        10       ERR124311
117          4        4        ERR069746
118          3        7        ERR068031
119          5        9        ERR067986
120          5        9        ERR124291
121          3        7        ERR129055
122          4        6        ERR065327
123          5        9        ERR069822
124          5        10       ERR129207
125          5        10       ERR124288
126          3        7        ERR129026
127          4        5        ERR069710
128          5        9        ERR065310
129          5        10       ERR129160
130          5        9        ERR069789
131          5        3        ERR065343
132          4        5        ERR129027
133          5        10       ERR129170
134          4        6        ERR129048
135          5        8        ERR065968
136          5        10       ERR068044
137          5        10       ERR129180
138          5        10       ERR068016
139          5        10       ERR065324
140          5        10       ERR129112
141          5        8        ERR129158
142          3        7        ERR069698
143          4        4        ERR069812
144          5        9        ERR124302
145          5        8        ERR129083
146          3        7        ERR065354
147          2        2        ERR069787
148          5        10       ERR068017
149          5        10       ERR129066
150          4        6        ERR129039
151          5        10       ERR065329
152          5        10       ERR124269
153          5        10       ERR129200
154          5        3        ERR067995
155          5        8        ERR068012
156          3        7        ERR124274
157          5        9        ERR067993
158          5        10       ERR129106
159          5        10       ERR069717
160          5        10       ERR067974
161          2        2        ERR069744
162          5        9        ERR129210
163          5        10       ERR129108
164          5        8        ERR129132
165          5        10       ERR068019
166          5        10       ERR129059
167          4        4        ERR065292
168          5        10       ERR069820
169          5        8        ERR129216
170          5        8        ERR069690
171          5        8        ERR065973
172          4        6        ERR065309
173          3        7        ERR124283
174          3        7        ERR065293
175          5        10       ERR069825
176          5        10       ERR069737
177          5        10       ERR065304
178          3        7        ERR129144
179          4        6        ERR124232
180          5        8        ERR068018
181          5        9        ERR124296
182          5        10       ERR067960
183          5        10       ERR068050
184          5        10       ERR068039
185          4        5        ERR068004
186          5        10       ERR129032
187          5        3        ERR124248
188          4        5        ERR068041
189          5        10       ERR069834
190          5        8        ERR069720
191          1        1        ERR129050
192          5        10       ERR069774
193          5        10       ERR129206
194          5        9        ERR069801
195          3        7        ERR124221
196          5        9        ERR129080
197          3        7        ERR068026
198          5        10       ERR069829
199          3        7        ERR129077
200          4        6        ERR067994
201          5        3        ERR065338
202          1        1        ERR129041
203          3        7        ERR065297
204          5        10       ERR129120
205          3        7        ERR129061
206          4        6        ERR124305
207          5        9        ERR069769
208          5        10       ERR065295
209          5        8        ERR069768
210          5        10       ERR129197
211          4        4        ERR065967
212          4        5        ERR124223
213          4        5        ERR069734
214          5        10       ERR129167
215          4        5        ERR129092
216          5        8        ERR129090
217          5        8        ERR068003
218          5        9        ERR124268
219          1        1        ERR129181
220          5        10       ERR069696
221          5        10       ERR129072
222          4        4        ERR065344
223          4        6        ERR129111
224          5        10       ERR068006
225          5        8        ERR068035
226          5        10       ERR069798
227          5        10       ERR124278
228          5        9        ERR069760
229          5        10       ERR067984
230          5        10       ERR069782
231          5        10       ERR068045
232          5        10       ERR065959
233          5        8        ERR129045
234          5        10       ERR069781
235          5        10       ERR069832
236          3        7        ERR065320
237          3        7        ERR124292
238          5        10       ERR129186
239          5        10       ERR069805
240          5        10       ERR124220
241          5        9        ERR068021
242          3        7        ERR067998
243          3        7        ERR124312
244          5        10       ERR065971
245          5        10       ERR129183
246          5        10       ERR068034
247          5        8        ERR068020
248          5        3        ERR069767
249          5        10       ERR069716
250          1        1        ERR124289
251          5        10       ERR129153
252          5        10       ERR129057
253          5        8        ERR067977
254          5        9        ERR129131
255          5        10       ERR069772
256          5        10       ERR124281
257          5        10       ERR069750
258          5        8        ERR069715
259          5        8        ERR069683
260          5        10       ERR069813
261          4        6        ERR124253
262          3        7        ERR069724
263          5        9        ERR069803
264          5        10       ERR124267
265          4        6        ERR124254
266          3        7        ERR124320
267          4        6        ERR065298
268          5        9        ERR069804
269          5        10       ERR065957
270          3        7        ERR068042
271          3        7        ERR069692
272          3        7        ERR124249
273          4        5        ERR069759
274          3        7        ERR069723
275          4        4        ERR065962
276          5        10       ERR069745
277          3        7        ERR129198
278          5        10       ERR069742
279          3        7        ERR069718
280          3        7        ERR124224
281          4        5        ERR069827
282          5        10       ERR129142
283          1        1        ERR124309
284          5        10       ERR069806
285          5        9        ERR129068
286          3        7        ERR067978
287          4        5        ERR069741
288          5        8        ERR129136
289          5        8        ERR129062
290          4        6        ERR129203
291          3        7        ERR068032
292          4        6        ERR065316
293          4        6        ERR124217
294          5        10       ERR067991
295          5        10       ERR124284
296          5        9        ERR129079
297          5        3        ERR124260
298          5        10       ERR069701
299          5        10       ERR129162
300          5        10       ERR129124
301          5        9        ERR124246
302          1        1        ERR065299
303          1        1        ERR129184
304          5        8        ERR124233
305          4        6        ERR124266
306          3        7        ERR069818
307          3        7        ERR124239
308          5        10       ERR129175
309          5        10       ERR065294
310          5        9        ERR129139
311          5        3        ERR069778
312          2        2        ERR129128
313          3        7        ERR068028
314          5        8        ERR069791
315          5        10       ERR124263
316          5        10       ERR069704
317          5        10       ERR129134
318          5        10       ERR129025
319          5        10       ERR065351
320          5        10       ERR129209
321          5        10       ERR069761
322          5        10       ERR129034
323          5        9        ERR124240
324          4        5        ERR065315
325          5        9        ERR069731
326          5        10       ERR069828
327          4        4        ERR069755
328          5        3        ERR129156
329          5        10       ERR067988
330          3        7        ERR069714
331          5        8        ERR068036
332          5        10       ERR129071
333          3        7        ERR069697
334          5        10       ERR065306
335          5        10       ERR069838
336          5        10       ERR124294
337          3        7        ERR124243
338          5        9        ERR067975
339          5        10       ERR129046
340          3        7        ERR129053
341          3        7        ERR124272
342          5        8        ERR124285
343          5        8        ERR129126
344          5        9        ERR129151
345          5        10       ERR065321
346          5        10       ERR068011
347          4        6        ERR124264
348          5        9        ERR069707
349          5        9        ERR124252
350          5        3        ERR069836
351          5        9        ERR068047
352          5        10       ERR065288
353          5        9        ERR124258
354          5        8        ERR065314
355          5        10       ERR124301
356          5        10       ERR129091
357          5        9        ERR067982
358          3        7        ERR124276
359          5        10       ERR129118
360          1        1        ERR065318
361          3        7        ERR068010
362          3        7        ERR129067
363          5        10       ERR068030
364          5        10       ERR069728
365          4        6        ERR067997
366          5        10       ERR065291
367          5        10       ERR069730
368          2        2        ERR069763
