4 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
686       841       3               1                3.6        ERR069738
686       841       3               15               3.6        ERR068037
1022      1105      1               21               5.9        ERR069773
686       841       3               55               3.6        ERR129096
1022      1105      1               58               5.9        ERR065302
686       841       3               61               3.6        ERR069686
686       841       3               66               3.6        ERR069688
686       841       3               68               3.6        ERR124307
1022      1105      1               86               5.9        ERR129040
686       841       3               112              3.6        ERR129204
686       841       3               119              3.6        ERR067996
686       841       3               157              3.6        ERR065343
686       841       3               182              3.6        ERR067995
1022      1105      1               219              5.9        ERR068039
686       841       3               222              3.6        ERR124248
686       841       3               242              3.6        ERR065338
686       841       3               299              3.6        ERR069767
1         119       3               313              7.8        ERR124227
686       841       3               360              3.6        ERR124260
1022      1105      1               363              5.9        ERR129124
686       841       3               376              3.6        ERR069778
686       841       3               401              3.6        ERR129156
1022      1105      1               423              5.9        ERR065321
686       841       3               431              3.6        ERR069836
686       841       3               464              3.6        ERR067965
686       841       3               470              3.6        ERR124318
46        47        1               531              2.7        ERR069758
1022      1105      1               534              5.9        ERR129188
1022      1105      1               537              5.9        ERR129056
1022      1105      1               541              5.9        ERR069775
686       841       3               566              3.6        ERR069783
686       841       3               592              3.6        ERR067987
