1 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
1316      1323      3               26               3.6        ERR069823
1316      1323      3               72               3.6        ERR067964
1316      1323      3               84               3.6        ERR069835
1316      1323      3               136              3.6        ERR069746
1316      1323      3               166              3.6        ERR069812
1316      1323      3               193              3.6        ERR065292
1316      1323      3               249              3.6        ERR065967
1316      1323      3               263              3.6        ERR065344
1316      1323      3               328              3.6        ERR065962
1316      1323      3               393              3.6        ERR069755
1316      1323      3               454              3.6        ERR069765
1316      1323      3               481              3.6        ERR124231
1316      1323      3               491              3.6        ERR069732
1316      1323      3               518              3.6        ERR065330
1316      1323      3               523              3.6        ERR069719
1316      1323      3               534              3.6        ERR069770
1316      1323      3               542              3.6        ERR069721
1316      1323      3               572              3.6        ERR069740
