StrainIndex  Lineage  Cluster  Name
1            3        10       ERR069738
2            3        10       ERR065974
3            3        10       ERR129037
4            2        1        ERR069700
5            2        7        ERR124247
6            3        8        ERR124222
7            3        9        ERR065305
8            2        6        ERR069786
9            3        8        ERR129179
10           3        4        ERR129176
11           3        10       ERR069709
12           3        10       ERR067985
13           2        6        ERR129212
14           3        10       ERR068037
15           3        10       ERR069814
16           3        8        ERR124241
17           3        9        ERR069795
18           3        8        ERR124293
19           2        7        ERR069735
20           3        10       ERR069773
21           2        1        ERR067966
22           1        3        ERR129105
23           1        3        ERR129196
24           3        10       ERR069823
25           3        4        ERR124319
26           3        10       ERR068001
27           3        4        ERR129117
28           3        5        ERR069764
29           3        10       ERR068007
30           3        9        ERR068008
31           2        1        ERR067969
32           3        8        ERR069703
33           1        3        ERR129195
34           3        5        ERR065325
35           3        10       ERR124256
36           3        8        ERR129087
37           2        7        ERR069819
38           3        9        ERR129129
39           3        5        ERR065960
40           3        9        ERR069796
41           3        10       ERR065326
42           3        10       ERR069712
43           2        6        ERR124244
44           3        8        ERR129075
45           3        10       ERR069713
46           3        10       ERR065341
47           3        9        ERR069771
48           3        8        ERR069706
49           3        9        ERR065970
50           3        10       ERR129130
51           3        10       ERR129096
52           3        10       ERR069809
53           3        10       ERR065302
54           3        8        ERR129187
55           2        1        ERR124314
56           3        10       ERR069686
57           3        10       ERR069824
58           3        10       ERR068048
59           3        9        ERR065972
60           3        10       ERR129164
61           3        10       ERR069688
62           3        10       ERR069685
63           3        10       ERR124307
64           3        8        ERR067962
65           3        8        ERR124257
66           3        10       ERR129127
67           1        3        ERR065301
68           2        2        ERR068025
69           3        10       ERR067964
70           2        2        ERR069811
71           3        10       ERR069727
72           3        9        ERR129063
73           3        10       ERR065332
74           2        6        ERR129028
75           3        9        ERR065287
76           3        4        ERR129213
77           3        4        ERR129042
78           3        8        ERR129148
79           3        10       ERR129040
80           3        10       ERR069835
81           2        7        ERR129102
82           3        10       ERR069729
83           2        2        ERR129152
84           2        6        ERR069748
85           3        8        ERR069843
86           3        9        ERR124229
87           3        10       ERR129088
88           3        10       ERR069752
89           3        10       ERR065350
90           3        9        ERR129149
91           3        10       ERR129214
92           3        9        ERR069833
93           2        7        ERR124310
94           3        10       ERR068046
95           3        10       ERR129215
96           3        9        ERR129140
97           3        9        ERR069831
98           2        7        ERR068014
99           3        9        ERR124315
100          3        8        ERR124255
101          1        3        ERR065342
102          3        4        ERR124235
103          3        10       ERR129159
104          3        10       ERR129204
105          2        7        ERR129094
106          2        6        ERR069689
107          3        9        ERR069751
108          3        10       ERR068005
109          3        8        ERR069749
110          3        10       ERR067981
111          3        10       ERR067996
112          3        5        ERR069792
113          3        10       ERR124271
114          3        9        ERR069687
115          3        8        ERR124277
116          2        7        ERR124228
117          3        10       ERR129044
118          3        10       ERR065353
119          3        8        ERR129074
120          3        9        ERR069817
121          3        10       ERR065953
122          3        10       ERR129076
123          3        10       ERR129154
124          3        10       ERR069725
125          3        10       ERR068040
126          3        10       ERR129051
127          3        4        ERR129157
128          3        10       ERR124311
129          3        10       ERR069746
130          3        5        ERR068031
131          3        10       ERR067986
132          3        10       ERR124291
133          2        2        ERR065327
134          3        10       ERR069822
135          3        9        ERR129207
136          3        4        ERR124288
137          3        10       ERR129026
138          2        7        ERR124218
139          3        10       ERR069710
140          3        10       ERR065310
141          3        9        ERR129160
142          3        8        ERR065300
143          3        8        ERR069789
144          3        10       ERR065343
145          3        10       ERR129027
146          3        9        ERR129170
147          2        7        ERR129048
148          3        10       ERR065968
149          3        10       ERR065965
150          3        9        ERR068044
151          2        6        ERR129180
152          3        10       ERR068016
153          3        8        ERR065324
154          3        9        ERR129112
155          3        10       ERR129158
156          3        10       ERR069698
157          3        10       ERR069812
158          3        10       ERR124302
159          2        6        ERR129083
160          3        5        ERR065354
161          2        1        ERR069787
162          3        9        ERR068017
163          3        10       ERR129066
164          2        2        ERR129039
165          3        8        ERR065329
166          3        9        ERR124269
167          3        8        ERR129200
168          3        10       ERR067995
169          3        10       ERR068012
170          3        10       ERR124274
171          3        4        ERR069708
172          3        9        ERR069717
173          3        9        ERR067974
174          2        1        ERR069744
175          3        10       ERR129210
176          3        9        ERR129108
177          3        10       ERR129132
178          3        9        ERR069711
179          3        8        ERR068019
180          3        8        ERR129099
181          3        9        ERR129059
182          3        10       ERR065292
183          2        7        ERR067961
184          2        6        ERR069820
185          2        6        ERR129216
186          3        8        ERR124250
187          3        10       ERR069690
188          3        8        ERR065973
189          2        7        ERR065309
190          3        10       ERR124283
191          3        10       ERR065293
192          2        1        ERR069825
193          3        5        ERR069737
194          3        8        ERR124316
195          3        10       ERR065304
196          1        3        ERR129144
197          2        2        ERR124232
198          3        10       ERR068018
199          3        10       ERR124296
200          3        9        ERR067960
201          3        9        ERR068050
202          3        10       ERR068039
203          3        10       ERR068004
204          3        9        ERR129032
205          3        10       ERR124248
206          3        10       ERR068041
207          3        8        ERR129086
208          3        9        ERR065317
209          3        8        ERR069834
210          3        8        ERR069720
211          3        5        ERR129050
212          3        9        ERR069774
213          2        7        ERR129206
214          3        10       ERR069801
215          3        10       ERR124221
216          3        10       ERR129080
217          3        10       ERR068026
218          3        9        ERR069829
219          1        3        ERR129077
220          3        8        ERR069726
221          3        10       ERR065338
222          3        10       ERR129041
223          3        10       ERR065297
224          3        9        ERR129120
225          3        10       ERR129061
226          2        7        ERR124305
227          2        7        ERR065295
228          3        10       ERR069768
229          3        9        ERR129197
230          3        10       ERR065967
231          3        10       ERR124223
232          3        10       ERR069734
233          3        4        ERR129167
234          3        8        ERR129143
235          3        8        ERR124299
236          3        10       ERR129092
237          3        10       ERR129090
238          3        8        ERR068002
239          3        5        ERR068003
240          3        10       ERR124268
241          3        10       ERR129181
242          3        9        ERR069696
243          3        9        ERR129072
244          3        10       ERR065344
245          2        7        ERR129111
246          2        6        ERR068006
247          3        8        ERR068035
248          3        10       ERR069798
249          3        10       ERR124278
250          3        10       ERR069760
251          3        9        ERR067984
252          2        7        ERR069782
253          3        8        ERR124236
254          3        9        ERR068045
255          3        10       ERR065959
256          3        5        ERR129045
257          3        9        ERR069781
258          2        6        ERR069832
259          3        10       ERR065320
260          2        7        ERR124292
261          3        9        ERR129186
262          3        4        ERR124308
263          3        10       ERR129043
264          3        9        ERR069805
265          3        9        ERR124220
266          3        8        ERR068021
267          1        3        ERR067998
268          2        7        ERR124312
269          3        10       ERR065971
270          3        9        ERR129183
271          3        9        ERR068034
272          3        10       ERR068020
273          3        10       ERR069767
274          3        9        ERR069691
275          2        6        ERR069716
276          3        10       ERR124289
277          3        9        ERR129153
278          3        10       ERR129057
279          3        10       ERR067977
280          3        10       ERR129131
281          3        10       ERR069772
282          3        9        ERR124281
283          2        6        ERR069750
284          3        10       ERR069715
285          3        10       ERR124227
286          3        10       ERR069683
287          2        7        ERR069813
288          2        7        ERR124253
289          3        10       ERR069724
290          3        9        ERR124267
291          2        2        ERR124254
292          3        10       ERR129168
293          1        3        ERR124320
294          2        2        ERR065298
295          3        10       ERR069804
296          3        4        ERR065303
297          2        7        ERR065957
298          3        10       ERR068042
299          3        5        ERR069692
300          3        10       ERR124249
301          3        10       ERR069759
302          3        5        ERR069723
303          3        10       ERR065307
304          3        10       ERR065962
305          3        9        ERR069745
306          3        9        ERR129081
307          3        10       ERR129198
308          3        8        ERR069742
309          2        7        ERR069718
310          2        7        ERR124224
311          3        10       ERR069827
312          3        9        ERR129142
313          3        10       ERR124309
314          3        10       ERR069806
315          3        10       ERR129068
316          3        10       ERR067978
317          3        10       ERR069741
318          2        6        ERR129136
319          3        5        ERR129062
320          2        2        ERR129203
321          3        10       ERR068032
322          2        7        ERR065316
323          2        7        ERR124217
324          3        10       ERR067991
325          3        9        ERR124284
326          3        10       ERR129079
327          2        7        ERR069722
328          3        10       ERR124260
329          2        6        ERR069701
