31 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
480       539       5               1                11.4       ERR069738
482       539       6               2                7.4        ERR065974
74        172       3               5                0.9        ERR069700
367       545       7               5                8.6        ERR069700
480       539       5               6                11.4       ERR124247
482       539       6               9                5.9        ERR069786
480       539       5               15               11.4       ERR068037
482       539       6               21               5.9        ERR069773
74        172       3               22               0.9        ERR067966
367       544       7               22               8.7        ERR067966
442       539       7               26               12.0       ERR129196
166       249       6               33               1.6        ERR068008
269       342       2               33               1.4        ERR068008
74        172       3               34               0.9        ERR067969
367       544       7               34               8.7        ERR067969
480       539       5               38               11.4       ERR124256
480       539       5               45               11.4       ERR069712
482       539       6               46               5.4        ERR124244
482       539       6               50               7.4        ERR065341
482       535       6               54               8.1        ERR129130
480       539       5               55               11.4       ERR129096
480       539       5               57               11.4       ERR069809
482       539       6               58               5.9        ERR065302
74        172       3               60               0.9        ERR124314
367       544       7               60               8.7        ERR124314
480       539       5               61               11.4       ERR069686
482       539       6               62               5.7        ERR069824
480       539       5               63               11.4       ERR068048
480       539       5               65               11.4       ERR129164
480       539       5               66               11.4       ERR069688
482       539       6               67               5.7        ERR069685
480       539       5               68               11.4       ERR124307
216       220       2               70               6.2        ERR124257
906       954       3               70               6.2        ERR124257
1         73        5               74               0.9        ERR068025
202       220       4               74               3.4        ERR068025
403       503       7               74               0.6        ERR068025
480       539       5               75               6.5        ERR067964
482       535       6               76               7.6        ERR069811
1         63        5               79               1.5        ERR065332
64        116       3               79               0.8        ERR065332
875       885       1               79               0.4        ERR065332
480       539       5               80               11.4       ERR129028
482       539       6               86               5.9        ERR129040
1         193       2               89               7.8        ERR129102
482       539       6               90               5.7        ERR069729
482       535       6               91               7.6        ERR129152
480       539       5               95               11.4       ERR129088
480       539       5               97               11.4       ERR065350
1         229       6               105              1.8        ERR069831
386       544       7               105              13.7       ERR069831
480       539       5               112              11.4       ERR129204
482       539       6               116              5.9        ERR068005
480       539       5               118              11.4       ERR067981
480       539       5               119              11.0       ERR067996
482       539       6               122              5.7        ERR069792
480       539       5               123              11.4       ERR124271
482       539       6               127              5.9        ERR129044
328       346       3               130              0.7        ERR069817
482       539       6               134              5.7        ERR069725
480       539       5               136              11.4       ERR129051
480       558       5               138              11.7       ERR124311
482       539       6               140              5.7        ERR068031
482       535       6               145              7.6        ERR065327
210       220       2               149              3.0        ERR129026
779       958       5               149              3.2        ERR129026
482       539       6               150              5.7        ERR124218
1         229       6               154              1.8        ERR129160
386       544       7               154              13.7       ERR129160
482       535       6               156              6.1        ERR069789
480       539       5               157              11.4       ERR065343
482       539       6               161              5.9        ERR129048
480       539       5               162              11.4       ERR065968
482       535       6               163              8.1        ERR065965
788       954       6               167              0.2        ERR065324
480       539       5               169              11.4       ERR129158
482       539       6               170              5.7        ERR069698
480       539       5               173              11.4       ERR129083
482       539       6               174              5.7        ERR065354
74        175       3               175              0.7        ERR069787
367       544       7               175              8.7        ERR069787
482       535       6               178              7.6        ERR129039
480       539       5               182              11.4       ERR067995
480       539       5               183              11.4       ERR068012
1         144       4               184              5.7        ERR124274
482       572       7               184              0.9        ERR124274
573       620       4               184              1.8        ERR124274
74        175       3               190              0.7        ERR069744
367       544       7               190              8.7        ERR069744
166       249       6               192              1.6        ERR129108
269       342       2               192              1.4        ERR129108
480       539       5               193              11.4       ERR129132
1         76        7               195              2.2        ERR068019
77        133       4               195              0.9        ERR068019
134       258       7               195              0.5        ERR068019
482       539       6               200              5.9        ERR069820
480       539       5               201              11.4       ERR129216
480       539       5               204              11.4       ERR069690
482       539       6               206              5.9        ERR065309
482       539       6               207              5.7        ERR124283
482       539       6               208              5.7        ERR065293
442       539       7               212              12.0       ERR129144
482       535       6               213              7.6        ERR124232
480       539       5               214              11.4       ERR068018
482       539       6               218              5.9        ERR068039
480       539       5               221              11.4       ERR124248
166       249       6               225              0.8        ERR069834
269       346       2               225              1.3        ERR069834
482       539       6               233              5.7        ERR124221
210       220       2               235              3.0        ERR068026
779       958       5               235              3.2        ERR068026
442       539       7               238              12.0       ERR129077
482       535       6               239              7.6        ERR067994
480       539       5               241              11.4       ERR065338
480       539       5               242              11.4       ERR129041
482       539       6               243              5.7        ERR065297
1         85        2               245              0.8        ERR129061
592       631       4               245              2.1        ERR129061
480       539       5               251              11.4       ERR069768
480       539       5               260              11.4       ERR129090
480       558       5               264              11.3       ERR129181
482       539       6               268              5.9        ERR129111
482       539       6               271              5.7        ERR069798
482       535       6               272              8.1        ERR124278
1         85        2               282              0.8        ERR065320
592       631       4               282              2.1        ERR065320
482       535       6               290              6.1        ERR068021
482       539       6               293              5.7        ERR065971
48        128       3               295              1.5        ERR068034
480       539       5               297              11.4       ERR068020
480       539       5               298              11.4       ERR069767
480       539       5               303              11.4       ERR124289
480       539       5               306              11.4       ERR067977
482       539       6               308              5.7        ERR069772
480       539       5               311              11.4       ERR069715
480       539       5               313              11.4       ERR069683
482       539       6               315              5.9        ERR124253
482       539       6               316              5.7        ERR069724
480       539       5               318              11.0       ERR069803
1         73        5               320              0.9        ERR124254
202       220       4               320              3.4        ERR124254
403       503       7               320              0.6        ERR124254
1         73        5               323              0.9        ERR065298
202       220       4               323              3.4        ERR065298
403       503       7               323              0.6        ERR065298
482       539       6               327              5.7        ERR068042
482       539       6               328              5.7        ERR069692
482       539       6               329              5.7        ERR124249
482       539       6               330              5.9        ERR069759
482       539       6               331              5.7        ERR069723
166       249       6               335              1.7        ERR069745
269       346       2               335              2.3        ERR069745
210       220       2               337              3.0        ERR129198
779       958       5               337              3.2        ERR129198
482       635       6               338              3.8        ERR069742
480       539       5               344              11.4       ERR124309
482       539       6               345              5.7        ERR069806
1         144       4               347              5.7        ERR067978
482       572       7               347              0.9        ERR067978
573       620       4               347              1.8        ERR067978
480       539       5               349              11.4       ERR129136
482       535       6               351              7.6        ERR129203
1         85        2               352              0.8        ERR068032
592       631       4               352              2.1        ERR068032
482       539       6               353              5.9        ERR065316
482       539       6               354              5.9        ERR124217
1         233       6               356              3.1        ERR124284
389       544       7               356              14.9       ERR124284
480       539       5               358              11.4       ERR069722
480       539       5               359              11.4       ERR124260
482       539       6               362              5.9        ERR129124
480       539       5               365              11.4       ERR129184
1         59        2               367              0.1        ERR124266
77        136       2               367              0.1        ERR124266
482       539       6               370              5.7        ERR124239
1         213       5               373              2.0        ERR065294
414       416       4               373              3.0        ERR065294
417       434       2               373              2.3        ERR065294
480       539       5               375              11.4       ERR069778
210       220       2               379              3.0        ERR068028
779       958       5               379              3.2        ERR068028
414       529       4               382              0.6        ERR069777
530       564       8               382              9.0        ERR069777
586       666       1               382              0.5        ERR069777
802       866       4               382              0.9        ERR069777
1         85        3               391              0.5        ERR069761
824       892       5               391              1.8        ERR069761
482       539       6               393              5.7        ERR129172
480       539       5               397              11.4       ERR069731
480       539       5               400              11.4       ERR129156
1         193       2               404              7.8        ERR129071
482       539       6               406              5.7        ERR069697
1         144       4               416              5.7        ERR124272
482       572       7               416              0.9        ERR124272
573       620       4               416              1.8        ERR124272
482       535       6               417              8.1        ERR065289
480       539       5               419              11.4       ERR129126
480       539       5               420              11.0       ERR129151
482       539       6               422              5.9        ERR065321
1         70        5               424              0.8        ERR124264
211       220       4               424              5.4        ERR124264
403       503       7               424              0.6        ERR124264
281       342       6               428              0.1        ERR069743
480       539       5               429              11.4       ERR069836
1         161       4               431              5.0        ERR065288
530       715       3               431              0.2        ERR065288
480       539       5               432              11.4       ERR124258
1         99        5               436              4.0        ERR067982
1         233       6               438              3.1        ERR129118
389       544       7               438              14.9       ERR129118
480       539       5               439              11.4       ERR065318
442       539       7               440              12.0       ERR068010
480       539       5               442              11.4       ERR065349
442       529       8               443              1.0        ERR068030
1         70        5               445              0.8        ERR067997
211       220       4               445              5.4        ERR067997
409       503       7               445              0.4        ERR067997
482       539       6               447              5.7        ERR069730
74        175       3               448              0.7        ERR069763
367       544       7               448              8.7        ERR069763
482       539       6               449              5.7        ERR124300
480       539       5               450              11.4       ERR129202
