StrainIndex  Lineage  Cluster  Name
1            7        9        ERR069738
2            7        10       ERR065974
3            7        10       ERR129065
4            7        10       ERR129037
5            5        3        ERR069700
6            7        10       ERR124247
7            3        4        ERR124222
8            7        8        ERR065305
9            7        10       ERR069786
10           7        9        ERR129179
11           7        10       ERR129176
12           7        9        ERR069709
13           7        10       ERR067985
14           7        10       ERR129212
15           7        9        ERR068037
16           7        10       ERR069814
17           7        9        ERR124241
18           7        8        ERR069795
19           7        9        ERR124293
20           7        9        ERR069735
21           7        10       ERR069773
22           5        3        ERR067966
23           7        9        ERR129029
24           5        6        ERR129105
25           7        10       ERR124226
26           7        10       ERR129196
27           6        7        ERR069823
28           7        10       ERR124319
29           7        9        ERR068001
30           7        9        ERR129117
31           7        10       ERR069764
32           7        10       ERR068007
33           1        1        ERR068008
34           5        3        ERR067969
35           7        9        ERR069703
36           5        6        ERR129195
37           7        9        ERR065325
38           7        9        ERR124256
39           7        9        ERR129087
40           7        10       ERR069819
41           7        8        ERR129129
42           7        9        ERR065960
43           7        8        ERR069796
44           7        10       ERR065326
45           7        9        ERR069712
46           7        10       ERR124244
47           3        4        ERR129075
48           7        10       ERR069713
49           7        10       ERR069826
50           7        10       ERR065341
51           7        8        ERR069771
52           7        10       ERR069706
53           7        8        ERR065970
54           7        10       ERR129130
55           7        9        ERR129096
56           7        9        ERR129107
57           7        9        ERR069809
58           7        10       ERR065302
59           7        10       ERR129187
60           5        3        ERR124314
61           7        9        ERR069686
62           7        10       ERR069824
63           7        9        ERR068048
64           7        8        ERR065972
65           7        9        ERR129164
66           7        9        ERR069688
67           7        10       ERR069685
68           7        9        ERR124307
69           7        9        ERR067962
70           7        10       ERR124257
71           7        10       ERR129127
72           5        6        ERR065301
73           7        10       ERR124287
74           7        9        ERR068025
75           4        5        ERR067964
76           7        9        ERR069811
77           7        10       ERR069727
78           7        8        ERR129063
79           7        10       ERR065332
80           7        10       ERR129028
81           7        8        ERR065287
82           7        10       ERR129213
83           7        9        ERR129155
84           7        10       ERR129042
85           7        9        ERR129148
86           7        10       ERR129040
87           6        7        ERR069835
88           7        10       ERR129146
89           7        10       ERR129102
90           7        10       ERR069729
91           7        9        ERR129152
92           7        10       ERR069748
93           3        4        ERR069843
94           7        8        ERR124229
95           7        9        ERR129088
96           7        10       ERR069752
97           7        9        ERR065350
98           7        8        ERR129149
99           7        10       ERR129214
100          7        8        ERR069833
101          6        7        ERR124310
102          7        10       ERR068046
103          7        10       ERR129215
104          7        8        ERR129140
105          6        7        ERR069831
106          7        10       ERR068014
107          7        8        ERR124315
108          3        4        ERR124255
109          5        6        ERR065342
110          7        10       ERR124235
111          7        10       ERR129159
112          7        9        ERR129204
113          7        10       ERR129094
114          7        10       ERR069689
115          7        8        ERR069751
116          7        9        ERR068005
117          7        9        ERR069749
118          7        9        ERR067981
119          7        9        ERR067996
120          7        9        ERR129052
121          2        2        ERR069785
122          7        10       ERR069792
123          7        10       ERR124271
124          7        8        ERR069687
125          7        9        ERR124277
126          7        10       ERR124228
127          7        9        ERR129044
128          7        9        ERR065353
129          7        9        ERR129074
130          7        8        ERR069817
131          7        9        ERR065953
132          7        10       ERR129076
133          7        10       ERR129154
134          7        10       ERR069725
135          7        10       ERR068040
136          7        9        ERR129051
137          7        9        ERR129157
138          7        10       ERR124311
139          6        7        ERR069746
140          7        10       ERR068031
141          7        10       ERR067986
142          7        10       ERR124291
143          7        10       ERR129055
144          7        9        ERR065327
145          7        10       ERR069822
146          7        8        ERR129207
147          7        10       ERR124288
148          7        10       ERR129026
149          7        10       ERR124218
150          7        9        ERR068027
151          7        9        ERR069710
152          7        10       ERR065310
153          6        7        ERR129160
154          7        9        ERR065300
155          7        10       ERR069789
156          7        9        ERR065343
157          7        9        ERR069802
158          7        9        ERR129027
159          7        8        ERR129170
160          7        9        ERR129048
161          7        9        ERR065968
162          7        10       ERR065965
163          7        8        ERR068044
164          7        10       ERR129180
165          7        10       ERR068016
166          7        9        ERR065324
167          7        8        ERR129112
168          7        9        ERR129158
169          7        10       ERR069698
170          6        7        ERR069812
171          7        10       ERR124302
172          7        10       ERR129083
173          7        10       ERR065354
174          5        3        ERR069787
175          7        8        ERR068017
176          7        10       ERR129066
177          7        9        ERR129039
178          7        9        ERR065329
179          7        8        ERR124269
180          7        9        ERR129200
181          7        9        ERR067995
182          7        9        ERR068012
183          2        2        ERR124274
184          7        9        ERR067993
185          7        10       ERR069708
186          7        9        ERR129106
187          7        8        ERR069717
188          7        8        ERR067974
189          5        3        ERR069744
190          7        10       ERR129210
191          1        1        ERR129108
192          7        9        ERR129132
193          7        8        ERR069711
194          4        5        ERR068019
195          7        9        ERR129099
196          7        8        ERR129059
197          6        7        ERR065292
198          7        10       ERR067961
199          7        10       ERR069820
200          7        10       ERR129216
201          7        9        ERR129116
202          6        7        ERR124250
203          7        9        ERR069690
204          3        4        ERR065973
205          7        9        ERR065309
206          7        10       ERR124283
207          7        10       ERR065293
208          4        5        ERR069825
209          7        9        ERR069737
210          7        9        ERR124316
211          7        10       ERR065304
