10 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
608       872       4               24               13.2       ERR129105
1         259       3               28               25.7       ERR124319
260       295       1               28               20.2       ERR124319
608       872       4               36               13.2       ERR129195
608       872       4               72               13.2       ERR065301
608       872       4               109              13.2       ERR065342
1         259       3               148              25.7       ERR124288
260       295       1               148              20.2       ERR124288
624       804       6               185              8.9        ERR067993
608       872       4               292              13.2       ERR067998
608       872       4               323              13.2       ERR124320
580       897       5               339              10.7       ERR069742
608       872       4               369              13.2       ERR069818
580       897       5               374              10.7       ERR065294
187       217       1               387              1.4        ERR129134
564       629       3               387              0.7        ERR129134
871       897       1               387              16.0       ERR129134
608       872       4               403              13.2       ERR069714
608       872       4               416              13.2       ERR129053
197       283       1               455              7.2        ERR065955
284       361       3               455              1.9        ERR065955
362       393       5               455              0.4        ERR065955
596       897       5               470              10.6       ERR065352
608       872       4               519              13.2       ERR069799
1         259       3               585              25.7       ERR124297
260       295       1               585              20.2       ERR124297
1         259       3               604              25.7       ERR124286
260       295       1               604              20.2       ERR124286
