3 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
449       616       1               5                3.8        ERR069735
449       596       1               12               2.9        ERR069712
457       534       2               35               0.6        ERR124271
449       596       1               39               2.9        ERR129051
449       596       1               46               2.9        ERR065968
449       596       1               60               2.9        ERR129132
457       534       2               64               0.6        ERR069820
449       596       1               66               2.9        ERR069690
449       534       1               69               2.2        ERR068018
581       596       1               69               3.1        ERR068018
457       534       2               78               0.6        ERR129041
449       534       1               81               2.2        ERR069768
581       596       1               81               3.1        ERR069768
449       534       1               86               2.2        ERR129090
581       596       1               86               3.1        ERR129090
449       534       1               101              2.2        ERR068020
581       596       1               101              3.1        ERR068020
457       534       2               103              0.6        ERR124289
449       534       1               105              2.2        ERR067977
581       596       1               105              3.1        ERR067977
449       534       1               107              2.2        ERR069715
581       596       1               107              3.1        ERR069715
457       534       2               116              0.6        ERR124309
457       534       2               121              0.6        ERR129184
457       534       2               146              0.6        ERR065318
449       534       1               150              2.2        ERR124265
581       596       1               150              3.1        ERR124265
449       534       1               157              2.2        ERR129113
581       596       1               157              3.1        ERR129113
1003      1137      4               158              17.2       ERR069839
449       534       1               160              2.2        ERR068013
581       596       1               160              3.1        ERR068013
449       534       1               164              2.2        ERR124304
581       596       1               164              3.1        ERR124304
449       534       1               165              2.2        ERR124282
581       596       1               165              3.1        ERR124282
457       534       2               169              0.6        ERR129110
449       534       1               177              2.2        ERR129058
581       596       1               177              3.1        ERR129058
457       534       2               188              0.6        ERR129084
449       534       1               206              2.2        ERR124237
581       596       1               206              3.1        ERR124237
