Recipient	Events
ERR069773	19
ERR065302	19
ERR129040	16
ERR068039	15
ERR129124	16
ERR065321	15
ERR129188	14
ERR129056	13
ERR069775	14
ERR069819	21
ERR069786	24
ERR129176	25
ERR124319	32
ERR129117	24
ERR069685	23
ERR129213	23
ERR129042	27
ERR124235	28
ERR129157	23
ERR124288	30
ERR069708	26
ERR129167	25
ERR069798	22
ERR124308	25
ERR129043	26
ERR065971	22
ERR124227	25
ERR129168	27
ERR065303	26
ERR068023	23
ERR129172	20
ERR124294	27
ERR067982	20
ERR129162	11
ERR065958	10
ERR129065	15
ERR129029	16
ERR124287	14
ERR129146	12
ERR129052	14
ERR129076	11
ERR129055	12
ERR069830	13
ERR124219	14
ERR069800	14
ERR065966	14
ERR067976	10
ERR065307	11
ERR069790	14
ERR065355	13
ERR069777	11
ERR069807	14
ERR065306	8
ERR065313	11
ERR129082	11
ERR069743	13
ERR067980	12
ERR065955	16
ERR129205	10
ERR129192	8
ERR069736	12
ERR129098	11
ERR065339	12
ERR065331	12
ERR129133	10
ERR129171	11
ERR069709	21
ERR068001	18
ERR065353	19
ERR069710	17
ERR068004	17
ERR069734	17
ERR129092	21
ERR069827	16
ERR069788	16
ERR069784	17
ERR068043	15
ERR067975	17
ERR129179	18
ERR124241	18
ERR124293	18
ERR069703	19
ERR129087	17
ERR067962	17
ERR129148	17
ERR069749	17
ERR124277	17
ERR129074	17
ERR065300	17
ERR065324	17
ERR065329	17
ERR129200	18
ERR068019	17
ERR129099	17
ERR124250	18
ERR124316	17
ERR129086	17
ERR069834	15
ERR069726	16
ERR129143	17
ERR124299	17
ERR068002	17
ERR124236	17
ERR068029	17
ERR124279	17
ERR129163	17
ERR129134	17
ERR065351	17
ERR067988	16
ERR129035	16
ERR124244	28
ERR069706	14
ERR068003	16
ERR069791	14
ERR065314	14
ERR069842	12
ERR129078	12
ERR069699	11
ERR069793	11
ERR069735	24
ERR065295	17
ERR069782	16
ERR069813	15
ERR069838	20
ERR068016	23
ERR129066	21
ERR065304	22
ERR065959	22
ERR069742	19
ERR067991	21
ERR129038	18
ERR065352	16
ERR068014	17
ERR129187	19
ERR129094	17
ERR069792	17
ERR068031	18
ERR065354	16
ERR129206	14
ERR069692	16
ERR069723	16
ERR069697	17
ERR124258	14
ERR069810	16
ERR068009	24
ERR129095	14
ERR069826	13
ERR069780	13
ERR069824	15
ERR069729	14
ERR124311	21
ERR129057	20
ERR069772	13
ERR069806	13
ERR129151	20
ERR069730	10
ERR065290	19
ERR129135	19
ERR069816	11
ERR065956	10
ERR124255	18
ERR129107	16
ERR129155	15
ERR069802	14
ERR129147	14
ERR065345	14
ERR067967	16
ERR129161	12
ERR068015	15
ERR065346	13
ERR129208	10
ERR069694	13
ERR124245	12
ERR124238	11
ERR065348	10
ERR129122	10
ERR129100	9
ERR065969	19
ERR069693	16
ERR069779	17
ERR124297	24
ERR124286	24
ERR069820	14
ERR129084	16
ERR067993	36
ERR069803	32
ERR069841	27
ERR124256	13
ERR069712	16
ERR069809	12
ERR068048	13
ERR129164	15
ERR129088	15
ERR065350	14
ERR067981	15
ERR129051	14
ERR065968	14
ERR129158	14
ERR068012	14
ERR129132	15
ERR069690	13
ERR068018	14
ERR069768	13
