StrainIndex  Lineage  Cluster  Name
1            3        3        ERR069786
2            3        3        ERR069735
3            3        3        ERR129105
4            3        3        ERR129196
5            3        3        ERR129195
6            3        3        ERR069819
7            3        3        ERR065301
8            1        1        ERR129028
9            3        3        ERR065342
10           2        2        ERR124228
11           1        1        ERR129083
12           2        2        ERR067961
13           1        1        ERR129216
14           3        3        ERR129144
15           3        3        ERR129077
16           3        3        ERR065295
17           3        3        ERR069782
18           2        2        ERR124292
19           3        3        ERR067998
20           2        2        ERR124312
21           3        3        ERR069813
22           3        3        ERR124320
23           3        3        ERR065957
24           2        2        ERR069718
25           2        2        ERR124224
26           1        1        ERR129136
27           3        3        ERR069818
28           3        3        ERR069714
29           3        3        ERR069838
30           2        2        ERR124243
31           3        3        ERR129053
32           2        2        ERR124276
33           3        3        ERR068010
34           2        2        ERR129067
35           1        1        ERR129202
36           3        3        ERR129182
37           1        1        ERR129138
38           3        3        ERR069799
39           2        2        ERR129073
40           1        1        ERR129103
41           1        1        ERR129030
