StrainIndex  Lineage  Cluster  Name
1            1        1        ERR065974
2            4        4        ERR129065
3            4        4        ERR069700
4            4        4        ERR124247
5            4        4        ERR124222
6            4        4        ERR065305
7            4        4        ERR129179
8            4        4        ERR129176
9            4        4        ERR069709
10           4        4        ERR129212
11           4        4        ERR069814
12           4        4        ERR124241
13           4        4        ERR069795
14           4        4        ERR124293
15           4        4        ERR069735
16           4        4        ERR069773
17           4        4        ERR067966
18           4        4        ERR129029
19           4        4        ERR124226
20           4        4        ERR069823
21           4        4        ERR124319
22           4        4        ERR068001
23           4        4        ERR129117
24           4        4        ERR068007
25           4        4        ERR068008
26           4        4        ERR067969
27           4        4        ERR069703
28           4        4        ERR065325
29           4        4        ERR124256
30           4        4        ERR129087
31           4        4        ERR129129
32           4        4        ERR065960
33           4        4        ERR069796
34           4        4        ERR069712
35           2        2        ERR124244
36           4        4        ERR129075
37           4        4        ERR069826
38           1        1        ERR065341
39           4        4        ERR069771
40           4        4        ERR069706
41           4        4        ERR065970
42           1        1        ERR129130
43           4        4        ERR129107
44           4        4        ERR069809
45           4        4        ERR065302
46           2        2        ERR129187
47           4        4        ERR124314
48           4        4        ERR068048
49           4        4        ERR065972
50           4        4        ERR129164
51           4        4        ERR067962
52           4        4        ERR124257
53           4        4        ERR124287
54           4        4        ERR068025
55           4        4        ERR067964
56           4        4        ERR069811
57           4        4        ERR129063
58           4        4        ERR065332
59           4        4        ERR129028
60           4        4        ERR065287
61           4        4        ERR129213
62           4        4        ERR129155
63           4        4        ERR129042
64           4        4        ERR129148
65           4        4        ERR129040
66           4        4        ERR069835
67           4        4        ERR129146
68           4        4        ERR129102
69           4        4        ERR129152
70           4        4        ERR069748
71           4        4        ERR069843
72           4        4        ERR124229
73           4        4        ERR129088
74           3        3        ERR069752
75           4        4        ERR065350
76           4        4        ERR129149
77           4        4        ERR069833
78           4        4        ERR124310
79           4        4        ERR129140
80           4        4        ERR069831
81           4        4        ERR124315
82           4        4        ERR124255
83           4        4        ERR124235
84           2        2        ERR129204
85           4        4        ERR069689
86           4        4        ERR069751
87           4        4        ERR068005
88           4        4        ERR069749
89           4        4        ERR067981
90           4        4        ERR129052
91           4        4        ERR069785
92           4        4        ERR069792
93           4        4        ERR124271
94           4        4        ERR069687
95           4        4        ERR124277
96           4        4        ERR124228
97           4        4        ERR129044
98           4        4        ERR065353
99           4        4        ERR129074
100          4        4        ERR069817
101          4        4        ERR065953
102          4        4        ERR129076
103          4        4        ERR069725
104          3        3        ERR068040
105          4        4        ERR129051
106          4        4        ERR129157
107          4        4        ERR124311
108          4        4        ERR069746
109          4        4        ERR068031
110          4        4        ERR129055
111          4        4        ERR069780
112          4        4        ERR065327
113          4        4        ERR129207
114          4        4        ERR124288
115          4        4        ERR129026
116          4        4        ERR124218
117          4        4        ERR068027
118          4        4        ERR069710
119          4        4        ERR129160
120          4        4        ERR065300
121          4        4        ERR069789
122          4        4        ERR069802
123          4        4        ERR129027
124          4        4        ERR129170
125          4        4        ERR129048
126          4        4        ERR065968
127          1        1        ERR065965
128          4        4        ERR068044
129          2        2        ERR068044
130          4        4        ERR129180
131          4        4        ERR065324
132          4        4        ERR129112
133          4        4        ERR129158
134          4        4        ERR069698
135          4        4        ERR069812
136          4        4        ERR129083
137          4        4        ERR065354
138          4        4        ERR069787
139          4        4        ERR068017
140          4        4        ERR129066
141          4        4        ERR129039
142          4        4        ERR065329
143          4        4        ERR124269
144          4        4        ERR129200
145          4        4        ERR068012
146          4        4        ERR124274
147          3        3        ERR067993
148          4        4        ERR069708
149          4        4        ERR129106
150          4        4        ERR069717
151          4        4        ERR067974
152          4        4        ERR069744
153          4        4        ERR129108
154          4        4        ERR129132
155          4        4        ERR069711
156          4        4        ERR068019
157          4        4        ERR129099
158          4        4        ERR129059
159          4        4        ERR065292
160          4        4        ERR067961
161          4        4        ERR129216
162          4        4        ERR129116
163          4        4        ERR124250
164          4        4        ERR069690
165          4        4        ERR065973
166          4        4        ERR065309
167          4        4        ERR124283
168          4        4        ERR065293
169          4        4        ERR069825
170          4        4        ERR069737
171          4        4        ERR124316
172          4        4        ERR065304
173          4        4        ERR124232
174          4        4        ERR068018
175          4        4        ERR067960
176          4        4        ERR068050
177          4        4        ERR068039
178          4        4        ERR068004
179          4        4        ERR129032
180          4        4        ERR129086
181          4        4        ERR065317
182          4        4        ERR069834
183          4        4        ERR069720
184          4        4        ERR129050
185          4        4        ERR129064
186          4        4        ERR069830
187          4        4        ERR069774
188          4        4        ERR124221
189          4        4        ERR068026
190          4        4        ERR129147
191          4        4        ERR069829
192          4        4        ERR067994
193          4        4        ERR069726
194          4        4        ERR129041
195          4        4        ERR065297
196          4        4        ERR129120
197          4        4        ERR129061
198          4        4        ERR124219
199          4        4        ERR065345
200          4        4        ERR124305
201          2        2        ERR124305
202          4        4        ERR069769
203          4        4        ERR069768
204          4        4        ERR129197
205          4        4        ERR065967
206          4        4        ERR124223
207          4        4        ERR069734
208          4        4        ERR129167
209          4        4        ERR129143
210          4        4        ERR124299
211          4        4        ERR129092
212          4        4        ERR129090
213          4        4        ERR068002
214          4        4        ERR068003
215          4        4        ERR129181
216          4        4        ERR069696
217          4        4        ERR129072
218          4        4        ERR065344
219          4        4        ERR129111
220          4        4        ERR068006
221          4        4        ERR068035
222          1        1        ERR124278
223          4        4        ERR067984
224          4        4        ERR124236
225          4        4        ERR068045
226          4        4        ERR129045
227          4        4        ERR069781
228          4        4        ERR069832
229          4        4        ERR065320
230          4        4        ERR124292
231          4        4        ERR129186
232          4        4        ERR124308
233          4        4        ERR129043
234          4        4        ERR069805
235          4        4        ERR124220
236          4        4        ERR069800
237          4        4        ERR068021
238          4        4        ERR124312
239          4        4        ERR129183
240          4        4        ERR068034
241          4        4        ERR065311
242          4        4        ERR068020
243          4        4        ERR067967
244          4        4        ERR069691
245          4        4        ERR129161
246          4        4        ERR069716
247          4        4        ERR124289
248          4        4        ERR129153
249          4        4        ERR129057
250          4        4        ERR067977
251          4        4        ERR124281
252          4        4        ERR069750
253          4        4        ERR069715
254          4        4        ERR124227
255          4        4        ERR069683
256          4        4        ERR124253
257          4        4        ERR069724
258          4        4        ERR065966
259          4        4        ERR124267
260          4        4        ERR124254
261          4        4        ERR065298
262          4        4        ERR065303
263          4        4        ERR068042
264          4        4        ERR069692
265          4        4        ERR124249
266          4        4        ERR069759
267          4        4        ERR069723
268          4        4        ERR067976
269          4        4        ERR065307
270          4        4        ERR065962
271          4        4        ERR069745
272          4        4        ERR129081
273          4        4        ERR129198
274          4        4        ERR069718
275          4        4        ERR124224
276          4        4        ERR069790
277          4        4        ERR069827
278          4        4        ERR129142
279          4        4        ERR124309
280          4        4        ERR067978
281          4        4        ERR069741
282          4        4        ERR129136
283          4        4        ERR129062
284          4        4        ERR129203
285          4        4        ERR068032
286          4        4        ERR065316
287          4        4        ERR124217
288          4        4        ERR067991
289          4        4        ERR124284
290          4        4        ERR069722
291          4        4        ERR069701
292          4        4        ERR129162
293          4        4        ERR129124
294          4        4        ERR065299
295          4        4        ERR129184
296          4        4        ERR124233
297          4        4        ERR124266
298          4        4        ERR068029
299          4        4        ERR124239
300          4        4        ERR124279
301          4        4        ERR129175
302          4        4        ERR068015
303          4        4        ERR129128
304          4        4        ERR129163
305          4        4        ERR068028
306          4        4        ERR065355
307          4        4        ERR068023
308          4        4        ERR069777
309          4        4        ERR069791
310          4        4        ERR124263
311          4        4        ERR069704
312          4        4        ERR129134
313          4        4        ERR129025
314          4        4        ERR065351
315          4        4        ERR069807
316          4        4        ERR129209
317          4        4        ERR069761
318          4        4        ERR129034
319          4        4        ERR065315
320          4        4        ERR065346
321          4        4        ERR069731
322          4        4        ERR069828
323          4        4        ERR069755
324          4        4        ERR067988
325          4        4        ERR068036
326          4        4        ERR129071
327          4        4        ERR129035
328          4        4        ERR069697
329          4        4        ERR065306
330          4        4        ERR069838
331          4        4        ERR065313
332          4        4        ERR129038
333          2        2        ERR124294
334          4        4        ERR124294
335          4        4        ERR124243
336          4        4        ERR067975
337          4        4        ERR129046
338          4        4        ERR124272
339          1        1        ERR065289
340          4        4        ERR124285
341          2        2        ERR124285
342          4        4        ERR129126
343          3        3        ERR129151
344          4        4        ERR124225
345          4        4        ERR065321
346          4        4        ERR068011
347          3        3        ERR124252
348          4        4        ERR129082
349          4        4        ERR069743
350          4        4        ERR067980
351          4        4        ERR065288
352          4        4        ERR124301
353          4        4        ERR129091
354          3        3        ERR067982
355          4        4        ERR124276
356          4        4        ERR129118
357          4        4        ERR065318
358          4        4        ERR129067
359          4        4        ERR065349
360          4        4        ERR069728
361          4        4        ERR067997
362          4        4        ERR065291
363          4        4        ERR069763
364          4        4        ERR124300
365          4        4        ERR129202
366          4        4        ERR124290
367          3        3        ERR069841
368          4        4        ERR065955
369          2        2        ERR124265
370          4        4        ERR124265
371          4        4        ERR129121
372          4        4        ERR069739
373          4        4        ERR069766
374          4        4        ERR069765
375          4        4        ERR129123
376          4        4        ERR069842
377          4        4        ERR129185
378          4        4        ERR069810
379          4        4        ERR129174
380          4        4        ERR129113
381          4        4        ERR069839
382          4        4        ERR069788
383          4        4        ERR067983
384          4        4        ERR069784
385          4        4        ERR065347
386          4        4        ERR065290
387          4        4        ERR065322
388          4        4        ERR129169
389          4        4        ERR068013
390          4        4        ERR129138
391          4        4        ERR065337
392          4        4        ERR124231
393          4        4        ERR129036
394          4        4        ERR124304
395          1        1        ERR065296
396          4        4        ERR065958
397          4        4        ERR124282
398          4        4        ERR067989
399          4        4        ERR129054
400          4        4        ERR069747
401          4        4        ERR069732
402          4        4        ERR129208
403          4        4        ERR124251
404          4        4        ERR065975
405          4        4        ERR129135
406          4        4        ERR069699
407          4        4        ERR069793
408          4        4        ERR129119
409          4        4        ERR124234
410          4        4        ERR124273
411          4        4        ERR068038
412          4        4        ERR068043
413          4        4        ERR129125
414          4        4        ERR069705
415          4        4        ERR065328
416          4        4        ERR129031
417          4        4        ERR129049
418          4        4        ERR129205
419          4        4        ERR067990
420          4        4        ERR069694
421          4        4        ERR068009
422          4        4        ERR124303
423          4        4        ERR065330
424          4        4        ERR129060
425          4        4        ERR129173
426          4        4        ERR124313
427          4        4        ERR069758
428          4        4        ERR069719
429          4        4        ERR124317
430          4        4        ERR129188
431          4        4        ERR124280
432          3        3        ERR069837
433          4        4        ERR129056
434          4        4        ERR124245
435          4        4        ERR129033
436          4        4        ERR069775
437          4        4        ERR068000
438          4        4        ERR069770
439          4        4        ERR069684
440          4        4        ERR124306
441          4        4        ERR129073
442          3        3        ERR069815
443          4        4        ERR129192
444          4        4        ERR069721
445          4        4        ERR069736
446          4        4        ERR129098
447          4        4        ERR069733
448          4        4        ERR129190
449          4        4        ERR069797
450          4        4        ERR069757
451          4        4        ERR065339
452          4        4        ERR124238
453          4        4        ERR069753
454          4        4        ERR129199
455          4        4        ERR068049
456          4        4        ERR069776
457          4        4        ERR129104
458          4        4        ERR129103
459          4        4        ERR069695
460          4        4        ERR067963
461          4        4        ERR129115
462          4        4        ERR068022
463          4        4        ERR069762
464          4        4        ERR067970
465          4        4        ERR069794
466          4        4        ERR124295
467          4        4        ERR067973
468          4        4        ERR069821
469          4        4        ERR067992
470          4        4        ERR065340
471          4        4        ERR069740
472          4        4        ERR065963
473          4        4        ERR129145
474          4        4        ERR124275
475          4        4        ERR065331
476          4        4        ERR067972
477          4        4        ERR124297
478          4        4        ERR068024
479          4        4        ERR067999
480          4        4        ERR065323
481          4        4        ERR124237
482          4        4        ERR129141
483          4        4        ERR065319
484          4        4        ERR129193
485          4        4        ERR069808
486          4        4        ERR129089
487          4        4        ERR129047
488          4        4        ERR129133
489          4        4        ERR065312
490          4        4        ERR065348
491          4        4        ERR067979
492          4        4        ERR124286
493          4        4        ERR129201
494          4        4        ERR068033
495          4        4        ERR124270
496          4        4        ERR129194
497          4        4        ERR129171
498          4        4        ERR129122
499          4        4        ERR129100
500          4        4        ERR129030
