4 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
171       194       2               2                1.7        ERR065974
258       276       3               9                1.5        ERR069786
258       276       3               24               1.5        ERR129105
258       276       3               26               1.5        ERR129196
258       276       3               36               1.5        ERR129195
171       194       2               37               0.9        ERR065325
171       194       2               42               0.9        ERR065960
171       194       2               50               1.7        ERR065341
171       194       2               54               1.7        ERR129130
171       194       2               59               0.9        ERR129187
258       276       3               72               1.5        ERR065301
258       276       3               74               1.5        ERR068025
258       276       3               76               1.5        ERR069811
258       276       3               91               1.5        ERR129152
171       194       2               106              0.9        ERR068014
258       276       3               109              1.5        ERR065342
171       194       2               113              0.9        ERR129094
171       194       2               122              0.9        ERR069792
120       155       4               138              0.1        ERR124311
171       193       4               138              1.6        ERR124311
171       194       2               140              0.9        ERR068031
258       276       3               145              1.5        ERR065327
258       276       3               150              1.8        ERR124218
171       194       2               163              1.7        ERR065965
171       194       2               174              0.9        ERR065354
258       276       3               178              1.5        ERR129039
120       155       4               200              0.1        ERR069820
171       193       4               200              1.6        ERR069820
171       194       2               210              0.9        ERR069737
258       276       3               213              1.5        ERR129144
258       276       3               214              1.5        ERR124232
171       194       2               228              0.9        ERR129050
171       194       2               232              0.9        ERR129206
258       276       3               240              1.5        ERR067994
171       194       2               273              1.7        ERR124278
171       194       2               280              0.9        ERR129045
258       276       3               292              1.5        ERR067998
120       155       4               306              0.1        ERR129057
171       193       4               306              1.6        ERR129057
258       276       3               321              1.5        ERR124254
258       276       3               323              1.5        ERR124320
258       276       3               324              1.5        ERR065298
171       194       2               329              0.9        ERR069692
258       276       3               352              1.5        ERR129203
171       194       2               365              0.9        ERR065299
258       276       3               369              1.5        ERR069818
258       276       3               403              1.5        ERR069714
171       194       2               407              0.9        ERR069697
258       276       3               416              1.5        ERR129053
171       194       2               418              1.7        ERR065289
171       193       4               421              3.0        ERR129151
258       276       3               425              1.5        ERR124264
258       276       3               434              1.8        ERR124258
258       276       3               442              1.5        ERR068010
258       276       3               447              1.5        ERR067997
258       276       3               461              1.5        ERR069766
171       194       2               468              0.9        ERR069810
258       276       3               475              1.5        ERR129182
120       155       4               480              0.1        ERR065290
171       193       4               480              1.6        ERR065290
258       276       3               483              1.5        ERR129169
171       194       2               492              1.7        ERR065296
120       155       4               505              0.1        ERR129135
171       193       4               505              1.6        ERR129135
258       276       3               521              1.5        ERR069799
171       194       2               525              0.9        ERR068009
258       276       3               533              1.5        ERR124317
258       276       3               545              1.8        ERR124306
120       155       4               546              0.1        ERR129084
171       193       4               546              1.6        ERR129084
171       193       4               548              3.0        ERR069815
171       194       2               598              0.9        ERR069808
171       194       2               600              0.9        ERR129047
258       276       3               602              1.8        ERR065312
171       194       2               605              0.9        ERR129095
