StrainIndex  Lineage  Cluster  Name
1            4        10       ERR069738
2            4        10       ERR129065
3            3        8        ERR129037
4            4        10       ERR124247
5            3        5        ERR124222
6            4        10       ERR065305
7            3        5        ERR069786
8            4        10       ERR129179
9            3        8        ERR129176
10           2        9        ERR069709
11           3        8        ERR067985
12           4        10       ERR129212
13           4        10       ERR068037
14           4        6        ERR069814
15           4        10       ERR124241
16           4        10       ERR069795
17           4        10       ERR124293
18           3        7        ERR069735
19           2        9        ERR069773
20           2        2        ERR067966
21           2        9        ERR129029
22           3        7        ERR129105
23           3        7        ERR124226
24           3        7        ERR129196
25           4        10       ERR069823
26           2        9        ERR124319
27           2        9        ERR068001
28           2        3        ERR129117
29           4        4        ERR069764
30           4        6        ERR068007
31           4        10       ERR068008
32           2        2        ERR067969
33           4        10       ERR069703
34           3        7        ERR129195
35           3        7        ERR065325
36           3        5        ERR124256
37           4        10       ERR129087
38           3        7        ERR069819
39           4        10       ERR129129
40           3        7        ERR065960
41           4        10       ERR069796
42           3        8        ERR065326
43           4        6        ERR069712
44           4        10       ERR124244
45           3        5        ERR129075
46           3        8        ERR069713
47           4        10       ERR069826
48           4        10       ERR069771
49           3        5        ERR069706
50           4        10       ERR065970
51           4        10       ERR129096
52           4        10       ERR129107
53           3        5        ERR069809
54           2        9        ERR065302
55           4        10       ERR129187
56           2        2        ERR124314
57           4        10       ERR069686
58           3        7        ERR069824
59           3        5        ERR068048
60           3        8        ERR065972
61           4        10       ERR129164
62           4        10       ERR069688
63           4        10       ERR069685
64           4        10       ERR124307
65           4        10       ERR067962
66           4        6        ERR124257
67           3        8        ERR129127
68           3        7        ERR065301
69           2        9        ERR124287
70           4        10       ERR068025
71           4        10       ERR067964
72           4        10       ERR069811
73           3        8        ERR069727
74           4        10       ERR129063
75           4        10       ERR065332
76           4        10       ERR129028
77           4        10       ERR065287
78           2        3        ERR129213
79           4        10       ERR129155
80           2        3        ERR129042
81           4        10       ERR129148
82           2        9        ERR129040
83           4        10       ERR069835
84           2        9        ERR129146
85           4        4        ERR129102
86           3        7        ERR069729
87           4        10       ERR129152
88           4        10       ERR069748
89           3        5        ERR069843
90           4        10       ERR124229
91           4        10       ERR129088
92           3        8        ERR069752
93           3        5        ERR065350
94           4        10       ERR129149
95           3        8        ERR129214
96           4        10       ERR069833
97           4        4        ERR124310
98           3        8        ERR068046
99           3        8        ERR129215
100          4        10       ERR129140
101          4        10       ERR069831
102          4        4        ERR068014
103          4        10       ERR124315
104          3        5        ERR124255
105          3        7        ERR065342
106          2        3        ERR124235
107          3        8        ERR129159
108          4        10       ERR129204
109          4        4        ERR129094
110          4        10       ERR069689
111          4        10       ERR069751
112          2        2        ERR068005
113          4        10       ERR069749
114          4        10       ERR067981
115          3        7        ERR067996
116          2        9        ERR129052
117          4        6        ERR069785
118          4        6        ERR069792
119          3        8        ERR124271
120          4        10       ERR069687
121          4        10       ERR124277
122          2        9        ERR124228
123          2        2        ERR129044
124          2        9        ERR065353
125          4        10       ERR129074
126          4        10       ERR069817
127          2        9        ERR065953
128          2        9        ERR129076
129          3        8        ERR129154
130          4        10       ERR069725
131          3        8        ERR068040
132          4        6        ERR129051
133          2        3        ERR129157
134          2        3        ERR124311
135          4        10       ERR069746
136          4        6        ERR068031
137          3        8        ERR067986
138          3        8        ERR124291
139          2        9        ERR129055
140          4        10       ERR069780
141          4        10       ERR065327
142          3        8        ERR069822
143          4        10       ERR129207
144          2        9        ERR124288
145          4        10       ERR129026
146          3        7        ERR124218
147          4        10       ERR068027
148          2        9        ERR069710
149          3        8        ERR065310
150          4        10       ERR129160
151          4        10       ERR065300
152          4        6        ERR069789
153          4        10       ERR065343
154          4        10       ERR069802
155          2        9        ERR129027
156          4        10       ERR129170
157          4        4        ERR129048
158          4        6        ERR065968
159          4        10       ERR068044
160          4        10       ERR129180
161          4        4        ERR068016
162          4        10       ERR065324
163          4        10       ERR129112
164          4        10       ERR129158
165          4        10       ERR069698
166          4        10       ERR069812
167          3        8        ERR124302
168          4        10       ERR129083
169          4        6        ERR065354
170          4        10       ERR069787
171          4        10       ERR068017
172          4        4        ERR129066
173          4        10       ERR129039
174          4        10       ERR065329
175          4        10       ERR124269
176          4        10       ERR129200
177          4        10       ERR067995
178          4        10       ERR068012
179          4        10       ERR124274
180          2        3        ERR069708
181          4        10       ERR129106
182          4        10       ERR069717
183          4        10       ERR067974
184          2        2        ERR069744
185          3        8        ERR129210
186          4        10       ERR129108
187          4        6        ERR129132
188          4        10       ERR069711
189          4        10       ERR068019
190          4        10       ERR129099
191          4        10       ERR129059
192          4        10       ERR065292
193          2        9        ERR067961
194          2        2        ERR069820
195          4        10       ERR129216
196          4        10       ERR129116
197          4        10       ERR124250
198          4        6        ERR069690
199          3        5        ERR065973
200          4        4        ERR065309
201          4        10       ERR124283
202          4        10       ERR065293
203          2        2        ERR069825
204          4        10       ERR069737
205          4        10       ERR124316
206          4        4        ERR065304
207          3        7        ERR129144
208          4        10       ERR124232
209          4        6        ERR068018
210          3        8        ERR124296
211          4        10       ERR067960
212          4        10       ERR068050
213          2        9        ERR068039
214          2        9        ERR068004
215          4        10       ERR129032
216          4        10       ERR124248
217          3        8        ERR068041
218          4        10       ERR129086
219          4        10       ERR065317
220          4        10       ERR069834
221          3        5        ERR069720
222          3        7        ERR129050
223          2        3        ERR129064
224          4        10       ERR069830
225          4        10       ERR069774
226          4        4        ERR129206
227          3        8        ERR069801
228          4        10       ERR124221
229          3        8        ERR129080
230          4        10       ERR068026
231          4        10       ERR129147
232          4        10       ERR069829
233          3        7        ERR129077
234          4        10       ERR067994
235          4        10       ERR069726
236          4        10       ERR065338
237          3        8        ERR129041
238          4        10       ERR065297
239          4        10       ERR129120
240          4        10       ERR129061
241          2        9        ERR124219
242          4        10       ERR065345
243          4        4        ERR124305
244          3        7        ERR069769
245          3        7        ERR065295
246          4        6        ERR069768
247          4        10       ERR129197
248          4        10       ERR065967
249          4        10       ERR124223
250          2        9        ERR069734
251          4        6        ERR129167
252          4        10       ERR129143
253          4        10       ERR124299
254          2        9        ERR129092
255          4        6        ERR129090
256          4        10       ERR068002
257          3        5        ERR068003
258          3        8        ERR124268
259          4        10       ERR129181
260          4        10       ERR069696
261          4        10       ERR129072
262          4        10       ERR065344
263          4        4        ERR129111
264          4        10       ERR068006
265          3        5        ERR068035
266          4        10       ERR069798
267          3        8        ERR069760
268          4        10       ERR067984
269          3        7        ERR069782
270          4        10       ERR124236
271          4        10       ERR068045
272          4        4        ERR065959
273          3        7        ERR129045
274          4        10       ERR069781
275          4        10       ERR069832
276          4        10       ERR065320
277          2        9        ERR124292
278          4        10       ERR129186
279          2        3        ERR124308
280          2        3        ERR129043
281          4        10       ERR069805
282          4        10       ERR124220
283          2        9        ERR069800
284          4        6        ERR068021
285          3        7        ERR067998
286          2        9        ERR124312
287          4        10       ERR065971
288          4        10       ERR129183
289          4        10       ERR068034
290          4        10       ERR065311
291          4        6        ERR068020
292          4        10       ERR069767
293          4        10       ERR067967
294          4        10       ERR069691
295          4        10       ERR129161
296          4        10       ERR069716
297          3        8        ERR124289
298          4        10       ERR129153
299          2        3        ERR129057
300          4        6        ERR067977
301          3        8        ERR129131
302          3        7        ERR069772
303          4        10       ERR124281
304          4        10       ERR069750
305          4        6        ERR069715
306          2        3        ERR124227
307          4        10       ERR069683
308          3        7        ERR069813
309          4        4        ERR124253
310          4        10       ERR069724
311          2        9        ERR065966
312          4        10       ERR124267
313          4        10       ERR124254
314          4        10       ERR129168
315          3        7        ERR124320
316          4        10       ERR065298
317          3        8        ERR069804
318          2        3        ERR065303
319          3        7        ERR065957
320          4        10       ERR068042
321          4        6        ERR069692
322          4        10       ERR124249
323          2        2        ERR069759
324          4        6        ERR069723
325          2        9        ERR067976
326          2        9        ERR065307
327          4        10       ERR065962
328          4        10       ERR069745
329          4        10       ERR129081
330          4        10       ERR129198
331          4        6        ERR069742
332          2        9        ERR069718
333          2        9        ERR124224
334          2        9        ERR069790
335          2        9        ERR069827
336          4        10       ERR129142
337          3        8        ERR124309
338          3        7        ERR069806
339          3        8        ERR129068
340          4        10       ERR067978
341          2        2        ERR069741
342          4        10       ERR129136
343          1        1        ERR129062
344          4        10       ERR129203
345          4        10       ERR068032
346          4        4        ERR065316
347          4        4        ERR124217
348          4        4        ERR067991
349          4        10       ERR124284
350          3        8        ERR129079
351          2        3        ERR069722
352          4        10       ERR124260
353          4        10       ERR069701
354          4        4        ERR129162
355          2        9        ERR129124
356          3        8        ERR124246
357          3        7        ERR065299
358          3        8        ERR129184
359          3        5        ERR124233
360          4        4        ERR124266
361          3        7        ERR069818
362          4        10       ERR068029
363          4        10       ERR124239
364          4        10       ERR124279
365          4        10       ERR129175
366          4        6        ERR065294
367          3        8        ERR129139
368          4        10       ERR069778
369          4        10       ERR068015
370          2        2        ERR129128
371          4        10       ERR129163
372          4        10       ERR068028
373          2        9        ERR065355
374          2        3        ERR068023
375          4        10       ERR069777
376          3        5        ERR069791
377          4        10       ERR124263
378          4        10       ERR069704
379          4        10       ERR129134
380          4        10       ERR129025
381          4        10       ERR065351
382          4        10       ERR069807
383          4        10       ERR129209
384          4        10       ERR069761
385          4        10       ERR129034
386          4        10       ERR129172
387          3        8        ERR124240
388          2        3        ERR065315
389          4        10       ERR065346
390          3        5        ERR069731
391          4        10       ERR069828
392          4        10       ERR069755
393          4        10       ERR129156
394          4        10       ERR067988
395          3        7        ERR069714
396          3        5        ERR068036
397          4        4        ERR129071
398          4        10       ERR129035
399          4        6        ERR069697
400          4        10       ERR065306
401          3        7        ERR069838
402          2        9        ERR065313
403          4        4        ERR129038
404          2        9        ERR124294
405          2        9        ERR124243
406          4        4        ERR067975
407          3        8        ERR129046
408          3        7        ERR129053
409          4        10       ERR124272
410          4        10       ERR124285
411          4        10       ERR129126
412          4        10       ERR129151
413          4        10       ERR124225
414          2        9        ERR065321
415          4        10       ERR068011
416          4        10       ERR124264
417          3        8        ERR069707
418          2        9        ERR124252
419          4        10       ERR129082
420          4        10       ERR069743
421          4        10       ERR067980
422          4        10       ERR069836
423          3        8        ERR068047
424          4        10       ERR065288
425          4        10       ERR124258
426          3        5        ERR065314
427          4        10       ERR124301
428          4        10       ERR129091
429          3        8        ERR067982
430          2        9        ERR124276
431          4        10       ERR129118
432          3        8        ERR065318
433          3        7        ERR068010
434          2        9        ERR129067
435          2        3        ERR065349
436          3        5        ERR068030
437          4        10       ERR069728
438          4        10       ERR067997
439          4        10       ERR065291
440          3        7        ERR069730
441          4        10       ERR069763
442          4        10       ERR124300
443          4        10       ERR129202
444          4        10       ERR124290
445          3        8        ERR129178
446          4        10       ERR065955
447          3        7        ERR124265
448          4        10       ERR129121
449          3        8        ERR067968
450          2        3        ERR069739
451          4        10       ERR069766
452          4        10       ERR069765
453          4        10       ERR129123
454          4        10       ERR067965
455          4        10       ERR065969
456          3        5        ERR069842
457          4        6        ERR129185
458          4        6        ERR069810
459          4        10       ERR129174
460          3        7        ERR124318
461          3        8        ERR129177
462          4        6        ERR065352
463          4        6        ERR129113
464          3        8        ERR069839
465          3        7        ERR129182
466          2        9        ERR069788
467          4        10       ERR067983
468          2        9        ERR069784
469          3        5        ERR065347
470          2        3        ERR065290
471          4        10       ERR065322
472          3        5        ERR069693
473          4        10       ERR129169
474          4        6        ERR068013
475          3        8        ERR124242
476          4        10       ERR129138
477          4        10       ERR065337
478          2        3        ERR129137
479          4        10       ERR124231
480          3        5        ERR129036
481          4        6        ERR124304
482          3        8        ERR065308
483          4        4        ERR065958
484          4        6        ERR124282
485          4        10       ERR067989
486          3        5        ERR129078
487          4        10       ERR129054
488          4        10       ERR069747
489          4        10       ERR069732
490          4        10       ERR129208
491          4        10       ERR124251
492          4        10       ERR129110
493          4        10       ERR065975
494          2        3        ERR129135
495          3        5        ERR069699
496          3        8        ERR069702
497          3        5        ERR069793
498          4        10       ERR129119
499          4        10       ERR124234
500          4        10       ERR124273
501          4        10       ERR068038
502          2        9        ERR068043
503          3        8        ERR065964
504          4        10       ERR129125
505          4        10       ERR069705
506          4        10       ERR065328
507          3        5        ERR129031
508          3        5        ERR129049
509          2        9        ERR129205
510          3        7        ERR069799
511          3        5        ERR067990
512          4        10       ERR069694
513          4        6        ERR129058
514          2        9        ERR068009
515          2        2        ERR124303
516          4        10       ERR065330
517          4        10       ERR129060
518          4        10       ERR129173
519          4        10       ERR124313
520          3        7        ERR069758
521          4        10       ERR069719
522          4        10       ERR124317
523          2        9        ERR129188
524          4        10       ERR124280
525          3        8        ERR069837
526          2        9        ERR129056
527          4        10       ERR124245
528          4        10       ERR069779
529          3        8        ERR129033
530          2        9        ERR069775
531          3        8        ERR068000
532          4        10       ERR069770
533          4        10       ERR069684
534          4        10       ERR124306
535          2        2        ERR129084
536          2        9        ERR129073
537          4        10       ERR069815
538          4        4        ERR069840
539          2        2        ERR129192
540          4        10       ERR069721
541          2        9        ERR069736
542          2        9        ERR129098
543          4        10       ERR069733
544          4        10       ERR129190
545          4        6        ERR069797
546          4        4        ERR069757
547          4        10       ERR065339
548          3        7        ERR069816
549          4        10       ERR124238
550          4        10       ERR069753
551          4        10       ERR129199
552          4        10       ERR068049
553          4        10       ERR069776
554          4        10       ERR129104
555          4        10       ERR069783
556          4        10       ERR129103
557          2        3        ERR069695
558          4        10       ERR067963
559          2        9        ERR129115
560          2        3        ERR068022
561          4        4        ERR124230
562          3        5        ERR069762
563          4        10       ERR067970
564          4        10       ERR069794
565          4        10       ERR124295
566          4        10       ERR067973
567          4        6        ERR069821
568          4        10       ERR067992
569          4        10       ERR065340
570          4        10       ERR069740
571          2        2        ERR065963
572          4        4        ERR129145
573          4        10       ERR124275
574          2        9        ERR065331
575          4        6        ERR067972
576          2        9        ERR124297
577          4        10       ERR068024
578          3        5        ERR067999
579          4        10       ERR065323
580          4        6        ERR124237
581          4        10       ERR067987
582          4        10       ERR129141
583          4        10       ERR065319
584          3        7        ERR065956
585          3        5        ERR129193
586          3        8        ERR129093
587          4        6        ERR069808
588          4        10       ERR129089
589          4        10       ERR129047
590          2        9        ERR129133
591          3        7        ERR065312
592          4        10       ERR065348
593          2        2        ERR067979
594          4        4        ERR129095
595          2        9        ERR124286
596          3        8        ERR129211
597          3        5        ERR129201
598          4        10       ERR068033
599          4        10       ERR124270
600          3        8        ERR124298
601          2        2        ERR129194
602          2        9        ERR129171
603          4        10       ERR129122
604          4        10       ERR129100
605          4        10       ERR129030
