12 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
316       384       6               5                4.6        ERR069700
425       597       5               5                0.9        ERR069700
173       181       1               46               3.8        ERR124244
182       188       5               46               2.0        ERR124244
351       384       7               46               0.4        ERR124244
433       462       8               46               2.5        ERR124244
491       505       3               276              2.6        ERR069782
1         73        3               351              3.5        ERR129062
419       432       6               453              0.5        ERR124290
27        46        2               549              5.3        ERR069840
1         76        3               574              4.4        ERR067970
409       432       7               574              4.5        ERR067970
