6 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
1         108       3               6                3.1        ERR124247
1         108       3               27               3.1        ERR069823
1         32        3               31               5.3        ERR069764
552       585       2               31               7.0        ERR069764
265       378       4               38               24.4       ERR124256
265       378       4               57               24.4       ERR069809
265       378       4               63               24.4       ERR068048
1         108       3               65               3.1        ERR129164
1         108       3               75               3.1        ERR067964
1         19        3               79               0.3        ERR065332
539       555       5               79               11.4       ERR065332
1         108       3               87               3.1        ERR069835
1         108       3               95               3.1        ERR129088
265       378       4               97               24.4       ERR065350
1         108       3               116              2.0        ERR068005
1         108       3               118              3.1        ERR067981
1         108       3               128              2.0        ERR065353
1         19        3               134              0.3        ERR069725
539       555       5               134              11.4       ERR069725
1         108       3               139              3.1        ERR069746
1         19        3               149              0.3        ERR129026
539       555       5               149              11.4       ERR129026
1         108       3               159              2.0        ERR129027
1         108       3               169              3.1        ERR129158
1         19        3               170              0.3        ERR069698
539       555       5               170              11.4       ERR069698
1         108       3               171              3.1        ERR069812
1         108       3               183              3.1        ERR068012
1         19        3               184              0.3        ERR124274
539       555       5               184              11.4       ERR124274
614       690       1               185              10.2       ERR067993
1         108       3               198              3.1        ERR065292
1         19        3               207              0.3        ERR124283
539       555       5               207              11.4       ERR124283
1         19        3               208              0.3        ERR065293
539       555       5               208              11.4       ERR065293
1         108       3               220              2.0        ERR068004
1         19        3               234              0.3        ERR124221
539       555       5               234              11.4       ERR124221
1         19        3               236              0.3        ERR068026
539       555       5               236              11.4       ERR068026
1         19        3               244              0.3        ERR065297
539       555       5               244              11.4       ERR065297
1         19        3               246              0.3        ERR129061
539       555       5               246              11.4       ERR129061
1         108       3               254              3.1        ERR065967
1         108       3               255              2.0        ERR124223
646       744       1               265              10.5       ERR129181
1         108       3               268              3.1        ERR065344
1         19        3               283              0.3        ERR065320
539       555       5               283              11.4       ERR065320
1         108       3               314              3.1        ERR069683
1         19        3               317              0.3        ERR069724
539       555       5               317              11.4       ERR069724
614       690       1               319              10.2       ERR069803
1         19        3               328              0.3        ERR068042
539       555       5               328              11.4       ERR068042
1         19        3               330              0.3        ERR124249
539       555       5               330              11.4       ERR124249
1         108       3               331              2.0        ERR069759
1         108       3               335              3.1        ERR065962
1         19        3               338              0.3        ERR129198
539       555       5               338              11.4       ERR129198
1         19        3               348              0.3        ERR067978
539       555       5               348              11.4       ERR067978
1         108       3               349              2.0        ERR069741
1         19        3               353              0.3        ERR068032
539       555       5               353              11.4       ERR068032
1         39        3               359              4.2        ERR069722
1         19        3               371              0.3        ERR124239
539       555       5               371              11.4       ERR124239
1         19        3               380              0.3        ERR068028
539       555       5               380              11.4       ERR068028
265       378       4               398              24.4       ERR069731
1         108       3               400              3.1        ERR069755
1         19        3               417              0.3        ERR124272
539       555       5               417              11.4       ERR124272
1         108       3               420              3.1        ERR129126
539       555       5               421              11.1       ERR129151
539       555       5               427              11.1       ERR124252
539       555       5               438              11.1       ERR067982
1         39        3               444              4.2        ERR065349
1         19        3               451              0.3        ERR124300
539       555       5               451              11.4       ERR124300
614       690       1               455              10.2       ERR069841
1         108       3               462              3.1        ERR069765
1         108       3               478              2.0        ERR069784
265       378       4               479              24.4       ERR065347
1         108       3               489              3.1        ERR124231
1         19        3               498              0.3        ERR129054
539       555       5               498              11.4       ERR129054
1         108       3               527              3.1        ERR065330
1         19        3               528              0.3        ERR129060
539       555       5               528              11.4       ERR129060
1         108       3               532              3.1        ERR069719
1         108       3               543              3.1        ERR069770
539       555       5               548              10.8       ERR069815
1         108       3               551              3.1        ERR069721
1         108       3               562              3.1        ERR129199
1         19        3               563              0.3        ERR068049
539       555       5               563              11.4       ERR068049
1         108       3               570              2.0        ERR129115
1         39        3               571              4.2        ERR068022
1         108       3               581              3.1        ERR069740
1         84        3               598              4.9        ERR069808
1         108       3               604              2.0        ERR067979
265       378       4               608              24.4       ERR129201
