4 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
1306      1394      2               2                5.7        ERR129037
1306      1394      2               10               5.7        ERR067985
1188      1305      2               12               1.7        ERR069814
1188      1305      2               22               1.7        ERR068007
1306      1394      2               31               5.7        ERR065326
1205      1394      3               33               0.0        ERR124244
1306      1394      2               35               5.7        ERR069713
1188      1305      2               51               1.7        ERR124257
1306      1394      2               52               5.7        ERR129127
1306      1394      2               57               5.7        ERR069727
1306      1394      2               70               5.7        ERR069752
1306      1394      2               73               5.7        ERR129214
1306      1394      2               75               5.7        ERR068046
1306      1394      2               76               5.7        ERR129215
1306      1394      2               83               5.7        ERR129159
1306      1394      2               98               5.7        ERR068040
1306      1394      2               104              5.7        ERR067986
1306      1394      2               105              5.7        ERR124291
1306      1394      2               107              5.7        ERR069822
1306      1394      2               112              5.7        ERR065310
1188      1305      2               114              1.7        ERR069789
1306      1394      2               123              5.7        ERR124302
1306      1394      2               136              5.7        ERR129210
1306      1394      2               155              5.7        ERR124296
1306      1394      2               160              5.7        ERR068041
1306      1394      2               166              6.6        ERR069801
1306      1394      2               168              5.7        ERR129080
1306      1394      2               193              5.7        ERR124268
1188      1305      2               207              1.7        ERR068021
1306      1394      2               220              5.7        ERR129131
1306      1394      2               229              5.7        ERR069804
1306      1394      2               244              5.7        ERR129068
1306      1394      2               251              5.7        ERR129079
1306      1394      2               255              5.7        ERR124246
1306      1394      2               264              5.7        ERR129139
1306      1394      2               295              5.7        ERR069707
1306      1394      2               298              5.7        ERR068047
1306      1394      2               314              5.7        ERR129178
1306      1394      2               317              6.6        ERR067968
1188      1305      2               324              1.7        ERR129185
1306      1394      2               327              5.7        ERR129177
1306      1394      2               329              5.7        ERR069839
1306      1394      2               339              5.7        ERR124242
245       386       2               342              0.8        ERR124231
1306      1394      2               345              5.7        ERR065308
1306      1394      2               355              5.7        ERR069702
1306      1394      2               359              5.7        ERR065964
1306      1394      2               377              5.7        ERR069837
1306      1394      2               382              5.7        ERR068000
1306      1394      2               418              5.7        ERR129093
1306      1394      2               425              5.7        ERR129211
1306      1394      2               427              5.7        ERR124298
