14 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
1315      1911      3               101              47.0       ERR124310
1315      1911      3               249              47.0       ERR124305
1         292       3               263              8.1        ERR068003
445       490       1               263              2.6        ERR068003
491       615       3               263              1.1        ERR068003
698       816       4               263              9.7        ERR068003
873       1309      1               263              18.7       ERR068003
1310      1617      3               263              31.6       ERR068003
1618      1765      1               263              18.0       ERR068003
428       615       3               315              7.3        ERR069813
616       1027      1               315              6.6        ERR069813
1272      1803      1               315              36.5       ERR069813
1804      1808      4               315              0.6        ERR069813
1310      1911      3               368              46.5       ERR124266
1         347       4               414              13.0       ERR067975
356       494       1               414              14.8       ERR067975
495       579       3               414              4.0        ERR067975
580       658       4               414              6.7        ERR067975
659       1010      3               414              25.7       ERR067975
1025      1027      3               414              2.8        ERR067975
1053      1093      3               414              0.1        ERR067975
1094      1271      4               414              17.7       ERR067975
1792      1915      3               414              18.4       ERR067975
91        520       4               445              24.4       ERR068030
521       610       3               445              0.5        ERR068030
611       900       1               445              11.6       ERR068030
901       948       3               445              5.8        ERR068030
949       956       1               445              0.2        ERR068030
1169      1521      1               445              19.4       ERR068030
1594      2040      3               445              10.4       ERR068030
2694      2701      4               502              8.8        ERR129110
1304      1911      3               582              45.9       ERR129145
2110      2822      4               609              43.6       ERR124270
