StrainIndex  Lineage  Cluster  Name
1            3        9        ERR065974
2            3        9        ERR129065
3            2        7        ERR129037
4            3        10       ERR065305
5            2        8        ERR069786
6            2        8        ERR129176
7            3        10       ERR069709
8            2        7        ERR067985
9            3        9        ERR129212
10           1        1        ERR069814
11           3        4        ERR069795
12           3        3        ERR069735
13           3        2        ERR069773
14           3        9        ERR129029
15           3        10       ERR129105
16           3        9        ERR124226
17           3        10       ERR069823
18           3        10       ERR068001
19           2        8        ERR129117
20           1        1        ERR069764
21           1        1        ERR068007
22           2        6        ERR068008
23           3        10       ERR129195
24           3        5        ERR065325
25           3        3        ERR069819
26           2        8        ERR129129
27           3        5        ERR065960
28           3        10       ERR069796
29           2        7        ERR065326
30           2        8        ERR124244
31           2        7        ERR069713
32           3        9        ERR069826
33           3        9        ERR065341
34           3        10       ERR069771
35           3        4        ERR065970
36           3        9        ERR129130
37           3        9        ERR129107
38           3        2        ERR065302
39           3        10       ERR129187
40           3        9        ERR069824
41           2        6        ERR065972
42           2        8        ERR069685
43           2        7        ERR124257
44           2        7        ERR129127
45           3        10       ERR124287
46           2        6        ERR068025
47           3        10       ERR067964
48           2        6        ERR069811
49           2        7        ERR069727
50           3        10       ERR129063
51           3        9        ERR129028
52           2        8        ERR065287
53           2        8        ERR129213
54           3        9        ERR129155
55           2        8        ERR129042
56           3        2        ERR129040
57           3        10       ERR069835
58           3        10       ERR129146
59           3        9        ERR069729
60           2        6        ERR129152
61           3        9        ERR069748
62           2        8        ERR124229
63           2        7        ERR069752
64           3        4        ERR129149
65           2        7        ERR129214
66           2        8        ERR069833
67           3        10       ERR124310
68           2        7        ERR068046
69           2        7        ERR129215
70           3        10       ERR129140
71           3        10       ERR069831
72           3        10       ERR068014
73           3        10       ERR124315
74           2        8        ERR124235
75           2        7        ERR129159
76           3        10       ERR129094
77           3        9        ERR069689
78           3        4        ERR069751
79           3        10       ERR068005
80           3        9        ERR129052
81           3        10       ERR069792
82           2        8        ERR069687
83           3        5        ERR124228
84           3        10       ERR065353
85           2        6        ERR069817
86           3        10       ERR065953
87           3        10       ERR129076
88           2        7        ERR129154
89           2        7        ERR068040
90           2        8        ERR129157
91           3        10       ERR124311
92           3        10       ERR069746
93           3        10       ERR068031
94           2        7        ERR067986
95           2        7        ERR124291
96           3        10       ERR129055
97           3        9        ERR069780
98           2        6        ERR065327
99           2        7        ERR069822
100          2        8        ERR129207
101          3        3        ERR124218
102          3        9        ERR068027
103          3        10       ERR069710
104          2        7        ERR065310
105          3        10       ERR129160
106          2        7        ERR069789
107          3        9        ERR069802
108          3        10       ERR129027
109          3        10       ERR129170
110          3        10       ERR129048
111          3        9        ERR065965
112          2        8        ERR068044
113          3        9        ERR129180
114          3        5        ERR068016
115          3        10       ERR129112
116          2        8        ERR069698
117          3        10       ERR069812
118          2        7        ERR124302
119          3        9        ERR129083
120          3        10       ERR065354
121          3        10       ERR068017
122          3        5        ERR129066
123          2        6        ERR129039
124          3        10       ERR124269
125          2        8        ERR069708
126          3        9        ERR129106
127          3        10       ERR069717
128          2        6        ERR067974
129          2        7        ERR129210
130          3        10       ERR129108
131          3        4        ERR069711
132          3        10       ERR129059
133          3        10       ERR065292
134          3        5        ERR067961
135          3        9        ERR069820
136          3        9        ERR129216
137          3        9        ERR129116
138          3        10       ERR065309
139          3        9        ERR069737
140          3        5        ERR065304
141          2        6        ERR124232
142          2        7        ERR124296
143          3        4        ERR067960
144          3        2        ERR068039
145          3        10       ERR068004
146          3        4        ERR129032
147          2        7        ERR068041
148          3        10       ERR065317
149          3        5        ERR129050
150          3        5        ERR129064
151          3        9        ERR069830
152          2        8        ERR069774
153          3        10       ERR129206
154          2        7        ERR069801
155          2        8        ERR124221
156          2        7        ERR129080
157          3        9        ERR129147
158          2        8        ERR069829
159          2        6        ERR067994
160          3        10       ERR129120
161          3        9        ERR124219
162          3        9        ERR065345
163          3        10       ERR124305
164          3        9        ERR069769
165          3        3        ERR065295
166          3        10       ERR129197
167          3        10       ERR065967
168          3        10       ERR124223
169          3        10       ERR069734
170          2        8        ERR129167
171          3        10       ERR129092
172          2        7        ERR124268
173          3        10       ERR129181
174          3        10       ERR069696
175          3        10       ERR129072
176          3        10       ERR065344
177          3        10       ERR129111
178          3        9        ERR068006
179          2        8        ERR069798
180          3        9        ERR124278
181          2        7        ERR069760
182          3        10       ERR067984
183          2        8        ERR068045
184          3        5        ERR065959
185          3        10       ERR129045
186          3        10       ERR069781
187          3        9        ERR069832
188          3        5        ERR124292
189          2        8        ERR129186
190          2        8        ERR124308
191          2        8        ERR129043
192          3        10       ERR069805
193          2        8        ERR124220
194          3        9        ERR069800
195          2        7        ERR068021
196          3        10       ERR067998
197          3        5        ERR124312
198          2        8        ERR065971
199          3        10       ERR129183
200          3        4        ERR068034
201          3        9        ERR065311
202          3        9        ERR067967
203          3        4        ERR069691
204          3        9        ERR129161
205          3        9        ERR069716
206          3        10       ERR129153
207          3        10       ERR129057
208          2        7        ERR129131
209          3        9        ERR069772
210          3        10       ERR124281
211          3        9        ERR069750
212          2        8        ERR124227
213          3        3        ERR069813
214          3        10       ERR124253
215          3        9        ERR065966
216          3        9        ERR069803
217          2        8        ERR124267
218          2        6        ERR124254
219          2        8        ERR129168
220          2        6        ERR065298
221          2        7        ERR069804
222          2        8        ERR065303
223          3        3        ERR065957
224          3        10       ERR069692
225          3        10       ERR069759
226          3        10       ERR069723
227          3        10       ERR067976
228          3        10       ERR065307
229          3        10       ERR065962
230          2        6        ERR069745
231          2        8        ERR129081
232          3        5        ERR069718
233          3        5        ERR124224
234          3        9        ERR069790
235          3        10       ERR069827
236          3        10       ERR129142
237          3        9        ERR069806
238          2        7        ERR129068
239          3        10       ERR069741
240          3        9        ERR129136
241          2        6        ERR129203
242          3        10       ERR065316
243          3        10       ERR124217
244          3        10       ERR067991
245          3        10       ERR124284
246          2        7        ERR129079
247          2        8        ERR069722
248          3        9        ERR069701
249          3        9        ERR129162
250          3        2        ERR129124
251          2        7        ERR124246
252          3        5        ERR065299
253          3        10       ERR124266
254          2        8        ERR129175
255          2        7        ERR129139
256          3        9        ERR068015
257          3        9        ERR065355
258          2        8        ERR068023
259          3        5        ERR069777
260          2        8        ERR124263
261          2        8        ERR069704
262          3        10       ERR129025
263          3        9        ERR069807
264          3        10       ERR129209
265          3        4        ERR069761
266          2        8        ERR129034
267          2        8        ERR129172
268          2        7        ERR124240
269          1        1        ERR065315
270          3        9        ERR065346
271          2        8        ERR069828
272          3        10       ERR069755
273          3        10       ERR069714
274          3        10       ERR069697
275          3        9        ERR065306
276          3        3        ERR069838
277          3        10       ERR065313
278          3        5        ERR129038
279          3        5        ERR124243
280          3        5        ERR067975
281          2        6        ERR129046
282          1        1        ERR129053
283          3        9        ERR065289
284          2        8        ERR124225
285          3        2        ERR065321
286          3        10       ERR068011
287          2        6        ERR124264
288          2        7        ERR069707
289          2        8        ERR124252
290          3        10       ERR129082
291          3        9        ERR069743
292          3        5        ERR067980
293          2        7        ERR068047
294          3        4        ERR065288
295          3        3        ERR124258
296          3        4        ERR129091
297          3        2        ERR067982
298          3        5        ERR124276
299          3        10       ERR129118
300          3        5        ERR129067
301          2        8        ERR065349
302          2        8        ERR068030
303          2        6        ERR067997
304          2        8        ERR065291
305          3        9        ERR069730
