StrainIndex  Lineage  Cluster  Name
1            2        2        ERR129176
2            2        2        ERR129117
3            2        2        ERR069685
4            2        2        ERR065287
5            2        2        ERR129213
6            2        2        ERR129042
7            2        2        ERR124235
8            2        2        ERR124271
9            2        2        ERR129157
10           2        2        ERR068027
11           2        2        ERR069708
12           2        2        ERR129106
13           2        2        ERR129116
14           1        1        ERR069801
15           2        2        ERR129041
16           2        2        ERR129167
17           2        2        ERR069798
18           2        2        ERR124308
19           2        2        ERR129043
20           1        1        ERR124220
21           2        2        ERR065971
22           2        2        ERR065311
23           2        2        ERR124289
24           2        2        ERR124227
25           2        2        ERR129168
26           2        2        ERR065303
27           2        2        ERR124309
28           2        2        ERR129184
29           2        2        ERR068023
30           2        2        ERR129172
31           1        1        ERR124294
32           2        2        ERR065318
33           2        2        ERR068030
34           2        2        ERR065955
35           2        2        ERR065969
36           2        2        ERR065322
37           2        2        ERR069693
38           1        1        ERR065964
39           2        2        ERR069779
40           2        2        ERR067973
41           2        2        ERR129141
42           1        1        ERR069808
43           1        1        ERR129211
