StrainIndex  Lineage  Cluster  Name
1            4        10       ERR069738
2            3        8        ERR129065
3            3        8        ERR069700
4            1        3        ERR124247
5            3        4        ERR069709
6            4        2        ERR129212
7            2        1        ERR068037
8            4        9        ERR069814
9            2        5        ERR069773
10           3        8        ERR067966
11           3        8        ERR129029
12           4        9        ERR069823
13           3        4        ERR068001
14           4        9        ERR068007
15           3        8        ERR067969
16           4        9        ERR065325
17           4        10       ERR124256
18           3        6        ERR069819
19           4        9        ERR065960
20           4        9        ERR069712
21           3        8        ERR069826
22           4        7        ERR069706
23           4        10       ERR129096
24           3        8        ERR129107
25           4        10       ERR069809
26           2        5        ERR065302
27           3        8        ERR124314
28           4        10       ERR069686
29           4        10       ERR068048
30           2        5        ERR129164
31           4        10       ERR069688
32           4        10       ERR124307
33           4        10       ERR124257
34           4        7        ERR124287
35           4        10       ERR068025
36           4        9        ERR067964
37           4        7        ERR069811
38           4        10       ERR129028
39           3        8        ERR129155
40           2        5        ERR129040
41           4        9        ERR069835
42           4        7        ERR129146
43           4        7        ERR129152
44           4        2        ERR069748
45           4        7        ERR069843
46           2        5        ERR129088
47           4        9        ERR065350
48           4        10       ERR129204
49           4        2        ERR069689
50           4        10       ERR068005
51           2        5        ERR067981
52           4        10       ERR067996
53           3        8        ERR129052
54           4        10       ERR069792
55           3        6        ERR124271
56           3        6        ERR124228
57           1        3        ERR129044
58           3        4        ERR065353
59           3        4        ERR065953
60           4        7        ERR129076
61           4        9        ERR129051
62           4        10       ERR124311
63           4        9        ERR069746
64           4        10       ERR068031
65           4        7        ERR129055
66           3        8        ERR069780
67           4        7        ERR065327
68           1        3        ERR124218
69           3        8        ERR068027
70           3        4        ERR069710
71           2        1        ERR065343
72           3        8        ERR069802
73           3        4        ERR129027
74           4        9        ERR065968
75           4        2        ERR129180
76           4        10       ERR068016
77           2        5        ERR129158
78           4        9        ERR069812
79           4        10       ERR129083
80           4        10       ERR065354
81           3        8        ERR069787
82           4        10       ERR129066
83           4        7        ERR129039
84           4        10       ERR067995
85           2        5        ERR068012
86           3        8        ERR129106
87           3        8        ERR069744
88           4        9        ERR129132
