StrainIndex  Lineage  Cluster  Name
1            5        10       ERR069738
2            2        6        ERR065974
3            5        10       ERR129065
4            5        9        ERR129037
5            3        4        ERR069700
6            5        9        ERR124247
7            5        9        ERR124222
8            4        8        ERR065305
9            5        10       ERR069786
10           5        10       ERR129179
11           5        10       ERR129176
12           3        3        ERR069709
13           5        9        ERR067985
14           5        10       ERR129212
15           1        2        ERR068037
16           5        9        ERR069814
17           5        10       ERR124241
18           4        8        ERR069795
19           5        10       ERR124293
20           5        9        ERR069735
21           2        6        ERR069773
22           3        4        ERR067966
23           5        10       ERR129029
24           5        5        ERR129105
25           3        7        ERR124226
26           5        5        ERR129196
27           5        10       ERR069823
28           5        9        ERR124319
29           3        3        ERR068001
30           5        10       ERR129117
31           1        2        ERR069764
32           5        9        ERR068007
33           4        8        ERR068008
34           3        4        ERR067969
35           5        10       ERR069703
36           5        5        ERR129195
37           5        10       ERR065325
38           5        10       ERR124256
39           5        10       ERR129087
40           5        9        ERR069819
41           4        8        ERR129129
42           5        10       ERR065960
43           4        8        ERR069796
44           5        9        ERR065326
45           5        10       ERR069712
46           3        7        ERR124244
47           5        9        ERR129075
48           5        9        ERR069713
49           5        9        ERR069826
50           2        6        ERR065341
51           4        8        ERR069771
52           5        9        ERR069706
53           4        8        ERR065970
54           2        6        ERR129130
55           5        10       ERR129096
56           5        10       ERR129107
57           5        10       ERR069809
58           2        6        ERR065302
59           5        5        ERR129187
60           3        4        ERR124314
61           1        2        ERR069686
62           3        7        ERR069824
63           5        10       ERR068048
64           4        8        ERR065972
65           5        9        ERR129164
66           1        2        ERR069688
67           5        10       ERR069685
68           5        10       ERR124307
69           5        10       ERR067962
70           3        7        ERR124257
71           5        9        ERR129127
72           5        5        ERR065301
73           5        10       ERR124287
74           5        1        ERR068025
75           5        10       ERR067964
76           5        1        ERR069811
77           5        9        ERR069727
78           4        8        ERR129063
79           3        7        ERR065332
80           2        6        ERR129028
81           4        8        ERR065287
82           5        10       ERR129213
83           5        10       ERR129155
84           5        10       ERR129042
85           5        10       ERR129148
86           2        6        ERR129040
87           5        10       ERR069835
88           5        10       ERR129146
89           3        7        ERR129102
90           3        7        ERR069729
91           5        1        ERR129152
92           5        10       ERR069748
93           5        9        ERR069843
94           4        8        ERR124229
95           5        9        ERR129088
96           5        9        ERR069752
97           5        10       ERR065350
98           4        8        ERR129149
99           5        9        ERR129214
100          4        8        ERR069833
101          5        10       ERR124310
102          5        9        ERR068046
103          5        9        ERR129215
104          4        8        ERR129140
105          4        8        ERR069831
106          5        5        ERR068014
107          4        8        ERR124315
108          5        9        ERR124255
109          5        5        ERR065342
110          5        10       ERR124235
111          5        9        ERR129159
112          5        10       ERR129204
113          5        5        ERR129094
114          5        10       ERR069689
115          4        8        ERR069751
116          3        3        ERR068005
117          5        10       ERR069749
118          5        9        ERR067981
119          1        2        ERR067996
120          5        10       ERR129052
121          5        10       ERR069785
122          5        5        ERR069792
123          1        2        ERR124271
124          4        8        ERR069687
125          5        10       ERR124277
126          3        7        ERR124228
127          5        9        ERR129044
128          3        3        ERR065353
129          5        10       ERR129074
130          4        8        ERR069817
131          3        3        ERR065953
132          5        10       ERR129076
133          5        9        ERR129154
134          3        7        ERR069725
135          5        9        ERR068040
136          5        10       ERR129051
137          5        10       ERR129157
138          3        4        ERR124311
139          5        10       ERR069746
140          5        5        ERR068031
141          5        9        ERR067986
142          5        9        ERR124291
143          5        10       ERR129055
144          5        9        ERR069780
145          5        1        ERR065327
146          5        9        ERR069822
147          4        8        ERR129207
148          5        9        ERR124288
149          3        7        ERR129026
150          2        6        ERR124218
151          5        10       ERR068027
152          3        3        ERR069710
153          5        9        ERR065310
154          4        8        ERR129160
155          5        10       ERR065300
156          5        9        ERR069789
157          1        2        ERR065343
158          5        10       ERR069802
159          3        3        ERR129027
160          4        8        ERR129170
161          5        10       ERR129048
162          5        10       ERR065968
163          2        6        ERR065965
164          4        8        ERR068044
165          5        10       ERR129180
166          3        7        ERR068016
167          5        10       ERR065324
168          4        8        ERR129112
169          5        9        ERR129158
170          3        7        ERR069698
171          5        10       ERR069812
172          5        9        ERR124302
173          2        6        ERR129083
174          5        5        ERR065354
175          3        4        ERR069787
176          4        8        ERR068017
177          3        7        ERR129066
178          5        1        ERR129039
179          5        10       ERR065329
180          4        8        ERR124269
181          5        10       ERR129200
182          1        2        ERR067995
183          5        9        ERR068012
184          3        7        ERR124274
185          2        6        ERR067993
186          5        10       ERR069708
187          5        10       ERR129106
188          4        8        ERR069717
189          4        8        ERR067974
190          3        4        ERR069744
191          5        9        ERR129210
192          4        8        ERR129108
193          5        10       ERR129132
194          4        8        ERR069711
195          5        10       ERR068019
196          5        10       ERR129099
197          4        8        ERR129059
198          5        10       ERR065292
199          3        7        ERR067961
200          2        6        ERR069820
201          2        6        ERR129216
202          5        10       ERR129116
203          5        10       ERR124250
204          5        10       ERR069690
205          5        9        ERR065973
206          5        10       ERR065309
207          3        7        ERR124283
208          3        7        ERR065293
209          3        4        ERR069825
210          5        10       ERR069737
211          5        10       ERR124316
212          3        7        ERR065304
213          5        5        ERR129144
214          5        1        ERR124232
215          5        10       ERR068018
216          5        9        ERR124296
217          4        8        ERR067960
218          5        10       ERR068050
219          2        6        ERR068039
220          3        3        ERR068004
221          4        8        ERR129032
222          5        10       ERR124248
223          5        9        ERR068041
224          5        10       ERR129086
225          4        8        ERR065317
226          5        10       ERR069834
227          5        9        ERR069720
