StrainIndex  Lineage  Cluster  Name
1            2        8        ERR069738
2            2        3        ERR129065
3            2        5        ERR129037
4            2        7        ERR069700
5            2        7        ERR124247
6            2        6        ERR124222
7            2        9        ERR065305
8            2        8        ERR129179
9            2        7        ERR129176
10           2        7        ERR069709
11           2        5        ERR067985
12           2        8        ERR068037
13           2        5        ERR069814
14           2        8        ERR124241
15           2        9        ERR069795
16           2        8        ERR124293
17           2        2        ERR069735
18           2        6        ERR069773
19           2        7        ERR067966
20           2        3        ERR129029
21           2        4        ERR129105
22           2        3        ERR124226
23           2        4        ERR129196
24           2        7        ERR068001
25           2        3        ERR129117
26           2        6        ERR069764
27           2        5        ERR068007
28           2        9        ERR068008
29           2        7        ERR067969
30           2        8        ERR069703
31           2        4        ERR129195
32           2        4        ERR124256
33           2        8        ERR129087
34           2        2        ERR069819
35           2        9        ERR129129
36           2        9        ERR069796
37           2        5        ERR065326
38           2        2        ERR069712
39           2        6        ERR129075
40           2        5        ERR069713
41           2        3        ERR069826
42           2        9        ERR069771
43           2        6        ERR069706
44           2        9        ERR065970
45           2        8        ERR129096
46           2        3        ERR129107
47           2        4        ERR069809
48           2        6        ERR065302
49           2        6        ERR129187
50           2        7        ERR124314
51           2        4        ERR068048
52           2        9        ERR065972
53           2        8        ERR069688
54           2        8        ERR124307
55           2        8        ERR067962
56           2        5        ERR124257
57           2        5        ERR129127
58           2        4        ERR065301
59           2        7        ERR124287
60           2        4        ERR068025
61           2        4        ERR069811
62           2        5        ERR069727
63           2        9        ERR129063
64           2        9        ERR065332
65           2        9        ERR065287
66           2        7        ERR129213
67           2        3        ERR129155
68           2        7        ERR129042
69           2        8        ERR129148
70           2        7        ERR129146
71           2        8        ERR129102
72           2        4        ERR129152
73           2        6        ERR069843
74           2        9        ERR124229
75           2        5        ERR069752
76           2        4        ERR065350
77           2        9        ERR129149
78           2        5        ERR129214
79           2        9        ERR069833
80           2        4        ERR124310
81           2        5        ERR068046
82           2        5        ERR129215
83           2        9        ERR129140
84           2        9        ERR069831
85           2        6        ERR068014
86           2        9        ERR124315
87           2        6        ERR124255
88           2        4        ERR065342
89           2        7        ERR124235
90           2        5        ERR129159
91           2        8        ERR129204
92           2        6        ERR129094
93           2        9        ERR069751
94           2        7        ERR068005
95           2        8        ERR069749
96           2        8        ERR067996
97           2        3        ERR129052
98           2        6        ERR069785
99           2        6        ERR069792
100          2        7        ERR124271
101          2        9        ERR069687
102          2        8        ERR124277
103          2        6        ERR129044
104          2        7        ERR065353
105          2        8        ERR129074
106          2        7        ERR065953
107          2        7        ERR129076
108          2        5        ERR129154
109          2        9        ERR069725
110          2        5        ERR068040
111          2        2        ERR129051
112          2        3        ERR129157
113          2        6        ERR068031
114          2        5        ERR067986
115          2        5        ERR124291
116          2        7        ERR129055
117          2        3        ERR069780
118          2        4        ERR065327
119          2        5        ERR069822
120          2        9        ERR129207
121          2        9        ERR129026
122          2        4        ERR124218
123          2        3        ERR068027
124          2        7        ERR069710
125          2        5        ERR065310
126          2        9        ERR129160
127          2        8        ERR065300
128          2        5        ERR069789
129          2        8        ERR065343
130          2        3        ERR069802
131          2        7        ERR129027
132          2        9        ERR129170
133          2        4        ERR129048
134          2        2        ERR065968
135          2        9        ERR068044
136          2        8        ERR068016
137          2        8        ERR065324
138          2        9        ERR129112
