StrainIndex  Lineage  Cluster  Name
1            4        6        ERR065974
2            4        9        ERR129065
3            2        8        ERR129037
4            3        7        ERR069700
5            3        7        ERR124247
6            4        9        ERR124222
7            4        9        ERR065305
8            3        7        ERR069786
9            3        5        ERR129179
10           3        4        ERR129176
11           3        7        ERR069709
12           2        8        ERR067985
13           4        9        ERR129212
14           3        7        ERR069814
15           3        5        ERR124241
16           5        10       ERR069795
17           3        5        ERR124293
18           2        8        ERR069735
19           4        6        ERR069773
20           3        7        ERR067966
21           4        9        ERR129029
22           5        10       ERR129105
23           1        1        ERR124226
24           5        10       ERR129196
25           4        6        ERR069823
26           2        8        ERR124319
27           3        7        ERR068001
28           3        4        ERR129117
29           3        7        ERR069764
30           3        7        ERR068007
31           5        10       ERR068008
32           3        7        ERR067969
33           3        5        ERR069703
34           5        10       ERR129195
35           5        10       ERR065325
36           2        3        ERR124256
37           3        5        ERR129087
38           2        8        ERR069819
39           5        10       ERR129129
40           5        10       ERR065960
41           5        10       ERR069796
42           2        8        ERR065326
43           5        10       ERR069712
44           1        1        ERR124244
45           4        9        ERR129075
46           2        8        ERR069713
47           4        9        ERR069826
48           4        6        ERR065341
49           5        10       ERR069771
50           4        9        ERR069706
51           5        10       ERR065970
52           4        6        ERR129130
53           5        10       ERR129107
54           2        3        ERR069809
55           4        6        ERR065302
56           3        7        ERR129187
57           3        7        ERR124314
58           5        2        ERR069824
59           2        3        ERR068048
60           5        10       ERR065972
61           5        10       ERR129164
62           3        7        ERR069685
63           3        5        ERR067962
64           3        7        ERR124257
65           2        8        ERR129127
66           5        10       ERR065301
67           4        9        ERR124287
68           5        10       ERR068025
69           4        6        ERR067964
70           5        10       ERR069811
71           2        8        ERR069727
72           5        10       ERR129063
73           5        10       ERR065332
74           2        3        ERR129028
75           3        4        ERR129213
76           5        10       ERR129155
77           3        4        ERR129042
78           3        5        ERR129148
79           4        6        ERR129040
80           4        6        ERR069835
81           4        9        ERR129146
82           5        2        ERR129102
83           5        2        ERR069729
84           5        10       ERR129152
85           4        9        ERR069748
86           4        9        ERR069843
87           5        10       ERR124229
88           5        10       ERR129088
89           2        8        ERR069752
90           2        3        ERR065350
91           5        10       ERR129149
92           2        8        ERR129214
93           5        10       ERR069833
94           4        6        ERR124310
95           2        8        ERR068046
96           2        8        ERR129215
97           5        10       ERR129140
98           5        10       ERR069831
99           3        7        ERR068014
100          5        10       ERR124315
101          4        9        ERR124255
102          5        10       ERR065342
103          3        4        ERR124235
