StrainIndex  Lineage  Cluster  Name
1            1        9        ERR069738
2            3        4        ERR065974
3            3        10       ERR129065
4            2        8        ERR129037
5            3        7        ERR069700
6            3        10       ERR124247
7            1        9        ERR124222
8            3        10       ERR065305
9            3        7        ERR069786
10           2        6        ERR129179
11           3        2        ERR129176
12           2        5        ERR069709
13           2        8        ERR067985
14           1        9        ERR129212
15           1        9        ERR068037
16           2        8        ERR069814
17           2        6        ERR124241
18           3        10       ERR069795
19           2        6        ERR124293
20           2        5        ERR069735
21           3        7        ERR069773
22           3        7        ERR067966
23           3        10       ERR129029
24           2        3        ERR129105
25           2        6        ERR124226
26           2        3        ERR129196
27           3        10       ERR069823
28           3        2        ERR124319
29           2        5        ERR068001
30           3        2        ERR129117
31           3        7        ERR069764
32           2        8        ERR068007
33           3        10       ERR068008
34           3        7        ERR067969
35           2        6        ERR069703
36           2        3        ERR129195
37           2        5        ERR065325
38           2        8        ERR124256
39           2        6        ERR129087
40           2        5        ERR069819
41           3        4        ERR129129
42           2        5        ERR065960
43           3        10       ERR069796
44           2        8        ERR065326
45           1        9        ERR069712
46           3        7        ERR124244
47           1        9        ERR129075
48           2        8        ERR069713
49           3        7        ERR069826
50           3        4        ERR065341
51           3        10       ERR069771
52           1        9        ERR069706
53           3        10       ERR065970
54           3        4        ERR129130
55           1        9        ERR129096
56           3        10       ERR129107
57           2        8        ERR069809
58           3        7        ERR065302
59           2        8        ERR129187
60           3        7        ERR124314
61           1        9        ERR069686
62           3        4        ERR069824
63           2        8        ERR068048
64           3        10       ERR065972
65           2        6        ERR129164
66           1        9        ERR069688
67           3        2        ERR069685
68           1        9        ERR124307
69           2        6        ERR067962
70           2        8        ERR124257
71           2        8        ERR129127
72           2        3        ERR065301
73           3        10       ERR124287
74           3        1        ERR068025
75           3        10       ERR067964
76           3        1        ERR069811
77           2        8        ERR069727
78           3        10       ERR129063
79           2        3        ERR065332
80           1        9        ERR129028
81           3        4        ERR065287
82           3        2        ERR129213
83           3        10       ERR129155
84           3        2        ERR129042
85           2        6        ERR129148
86           3        7        ERR129040
87           3        10       ERR069835
88           3        10       ERR129146
89           3        2        ERR129102
90           3        4        ERR069729
91           3        1        ERR129152
92           1        9        ERR069748
93           1        9        ERR069843
94           3        4        ERR124229
95           3        7        ERR129088
96           2        8        ERR069752
97           2        8        ERR065350
98           3        10       ERR129149
99           2        8        ERR129214
100          3        4        ERR069833
101          2        5        ERR124310
102          2        8        ERR068046
103          2        8        ERR129215
104          3        10       ERR129140
105          3        10       ERR069831
106          3        7        ERR068014
107          3        10       ERR124315
108          1        9        ERR124255
109          2        3        ERR065342
110          3        2        ERR124235
111          2        8        ERR129159
112          1        9        ERR129204
113          3        7        ERR129094
114          1        9        ERR069689
115          3        10       ERR069751
116          2        5        ERR068005
117          2        6        ERR069749
118          3        7        ERR067981
119          1        9        ERR067996
120          3        10       ERR129052
121          3        7        ERR069785
122          2        5        ERR069792
123          3        10       ERR124271
124          3        4        ERR069687
125          2        6        ERR124277
126          1        9        ERR124228
127          3        7        ERR129044
128          2        5        ERR065353
129          2        6        ERR129074
130          3        10       ERR069817
131          2        5        ERR065953
132          3        10       ERR129076
133          2        8        ERR129154
134          2        3        ERR069725
135          2        8        ERR068040
136          1        9        ERR129051
137          3        2        ERR129157
138          3        7        ERR124311
139          3        10       ERR069746
140          2        5        ERR068031
141          2        8        ERR067986
142          2        8        ERR124291
143          3        10       ERR129055
144          3        7        ERR069780
145          3        1        ERR065327
146          2        8        ERR069822
147          3        4        ERR129207
148          3        2        ERR124288
149          2        3        ERR129026
150          3        4        ERR124218
151          3        10       ERR068027
152          2        5        ERR069710
153          2        8        ERR065310
154          3        10       ERR129160
155          2        6        ERR065300
156          2        8        ERR069789
157          1        9        ERR065343
158          3        10       ERR069802
159          2        5        ERR129027
160          3        10       ERR129170
161          2        5        ERR129048
162          1        9        ERR065968
163          3        4        ERR065965
164          3        4        ERR068044
165          1        9        ERR129180
166          3        7        ERR068016
167          2        6        ERR065324
168          3        10       ERR129112
169          3        7        ERR129158
170          2        3        ERR069698
171          3        10       ERR069812
172          2        8        ERR124302
173          1        9        ERR129083
174          2        5        ERR065354
175          3        7        ERR069787
176          3        10       ERR068017
177          3        7        ERR129066
178          3        1        ERR129039
179          2        6        ERR065329
180          3        10       ERR124269
181          2        6        ERR129200
182          1        9        ERR067995
183          3        7        ERR068012
184          2        3        ERR124274
185          3        7        ERR067993
186          3        2        ERR069708
187          3        10       ERR129106
188          3        10       ERR069717
